Table 10,,,,,,,,,,,
Salary and Wage Index by NSIC,,,,,,,,,,,
(2023/24 = 100),,,,,,,,,,,
Mid-Month*,,,,,,,,,,,
S.N.,Nepal Standard Industrial Classification (NSIC),Weight %,2023/24,2024/25,,2025/26,,% Change,,% Change,
,,,2080/81,2081/82,,2082/83,,,,,
,,,Mar/Apr,Dec/Jan,Mar/Apr,Dec/Jan,Mar/Apr,3 over 1,3 over 2,5 over 3,5 over 4
,,,Chait,Poush,Chait,PoushR,ChaitP,,,,
,,,3rd Quarter,2nd Quarter,3rd Quarter,2nd Quarter,3rd Quarter,,,,
,,,1,2,3,4,5,,,,
,Overall Index (National),100,100.33229021412868,102.79232592386903,102.94228693240044,108.80289393938268,109.42840190388114,2.6013526778881726,0.14588735801393682,6.300729432735437,0.5749001169462815
1,"Agriculture, Forestry and Fishing",19.357309390151492,100.3585433959961,104.69963073730469,105.05319213867188,110.64442443847656,110.70184326171875,4.677876525321395,0.3376911636434414,5.376943820603344,0.051894908879134505
2,Manufacturing,18.17458422756986,100.27095794677734,101.89814758300781,102.0781021118164,107.60596466064453,108.99266052246094,1.8022607961901258,0.17660235546676972,6.773792094087256,1.2886793647448798
3,Construction,19.01449734181683,100.30756378173828,102.17320251464844,102.10369873046875,109.2815170288086,109.2245864868164,1.79062762668498,-0.06802545331758836,6.974172184638718,-0.0520953071846435
4,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,15.123218976262432,100.42354583740234,102.14850616455078,102.3583984375,109.78175354003906,111.2079849243164,1.9266921755883857,0.2054775745923223,8.645686745694789,1.2991515787340546
5,Transportation and Storage,5.351388060371274,100.34791564941406,102.6576156616211,102.73638153076172,107.41880798339844,106.25953674316406,2.3801848457842,0.07672676657546162,3.429316041608317,-1.0792069489483964
6,Accommodation and Food Service Activities,4.405493749841761,100.60221099853516,102.87428283691406,102.69086456298828,109.95079803466797,110.33323669433594,2.076150756252801,-0.17829361125806997,7.442114898799005,0.3478270885741068
7,Information and Communication,1.027169400605086,100.11589050292969,104.26580810546875,104.24137878417969,107.56818389892578,107.394287109375,4.120712766500617,-0.023429848895773375,3.0246226229634345,-0.16166191828077103
8,Financial and Insurance Activities,2.083996924305197,100.2353744506836,102.31735229492188,103.68175506591797,107.7565689086914,107.75263977050781,3.4382877642962484,1.3335008582545242,3.926326962734848,-0.0036463096620309443
9,Public Administartion and Defence,2.6435020555234003,100.00000762939453,100.00000762939453,100.00000762939453,100.00000762939453,100.00000762939453,0,0,0,0
10,Education,9.298556556538177,100.25553894042969,103.15093231201172,103.146728515625,107.82699584960938,109.68133544921875,2.8838202913788393,-0.004075383801676935,6.335253698912879,1.7197359390367382
11,Human Health and Social Work Activities,3.520283317014478,100.45732116699219,104.1340103149414,104.3147201538086,108.9011001586914,109.81381225585938,3.839838592156127,0.1735358489706158,5.271635771003886,0.8381109978117536
,"R Revised
P Provisional",,,,,,,,,,
,"*Salary and Wage Index has been published quarterly since fiscal year 2024/25. This index is based on the data of mid April 2026( 2082, Chait).",,,,,,,,,,
