Table 11,,,,,,,,,,,,,,,
Salary and Wage Index by NSCO,,,,,,,,,,,,,,,
(2023/24 = 100),,,,,,,,,,,,,,,
Mid-Month*,,,,,,,,,,,,,,,
S.N.,Nepal Standard Classification of Occupations,Weight %,2023/24,2024/25,,2025/26,,% Change,,% Change,,,,,
,,,2080/81,2081/82,,2082/83,,,,,,,,,
,,,Mar/Apr,Dec/Jan,Mar/Apr,Dec/Jan,Mar/Apr,3 over 1,3 over 2,5 over 3,5 over 4,,,,
,,,Chait,Poush,Chait,PoushR,ChaitP,,,,,,,,
,,,3rd Quarter,2nd Quarter,3rd Quarter,2nd Quarter,3rd Quarter,,,,,,,,
,,,1,2,3,4,5,,,,,,,,
,Overall Index (National),100,100.33229007638873,102.792325479502,102.94228793970565,108.80289530294742,109.42840166264983,2.601353822712298,0.14588877088257846,6.3007281582309105,0.5748986347842759,,,,
1,Managers,2.2825514325354583,100.15160369873047,102.08119201660156,102.39495086669922,106.19319152832031,106.59651184082031,2.239951318919495,0.30736205553579055,4.1032892135382895,0.3797986544103793,,,,
2,Professionals,10.037835817069725,100.20671081542969,103.27555847167969,103.2945556640625,107.6538314819336,109.0904541015625,3.0814751063132917,0.018394664394890015,5.611039614081491,1.3344835012862433,,,,
3,Technicians and Associate Professionals,5.494457074750557,100.2936782836914,102.73390197753906,102.9300537109375,107.13361358642578,108.0236587524414,2.6286556364886877,0.19093184394118623,4.948608164344776,0.8307804957009353,,,,
4,Clerical Support Workers,2.4759124775564514,100.24158477783203,103.64710998535156,104.42710876464844,110.57435607910156,110.65190124511719,4.175436767178908,0.7525523667829361,5.960897083244745,0.0701294303356832,,,,
5,Service and Sales Workers,19.6053876763532,100.4237289428711,102.07232666015625,102.20950317382812,109.10444641113281,110.37567138671875,1.7782393163003434,0.13439148313783278,7.989636931315843,1.1651449756645604,,,,
6,"Skilled Agricultural, Forestry and Fishery Workers",12.954188642508779,100.28353881835938,105.16650390625,105.4759292602539,109.58915710449219,109.0254135131836,5.177709625205139,0.2942242467998568,3.3652078515199406,-0.5144154825199223,,,,
7,Craft and Related Trades Workers,25.14737198556744,100.37568664550781,101.78665161132812,101.86315155029297,109.14623260498047,110.19526672363281,1.4818976133516912,0.07515714266439488,8.179714692241788,0.961127190206355,,,,
8,Plant and Machine Operators and Assemblers,5.837005092040502,100.12897491455078,102.14689636230469,102.1417465209961,106.6514892578125,105.6607666015625,2.0101789798237633,-0.005041603310516507,3.4452319452390014,-0.9289346666834604,,,,
9,Elementary Occupations,15.738015361547378,100.40764617919922,103.3380126953125,103.49616241455078,109.683837890625,109.9322509765625,3.075977132099524,0.15304118505217446,6.218673631812692,0.2264810301269904,,,,
10,Others,0.427274440070489,100.00000762939453,100.00000762939453,100.00000762939453,100.00000762939453,100.00000762939453,0,0,0,0,,,,
,"R Revised
P Provisional",,,,,,,,,,,,,,
,"*Salary and Wage Index has been published quarterly since fiscal year 2024/25. This index is based on the data of mid April 2026( 2082, Chait).",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
