,Table 19,,,,,,,,,
,Imports of Major Commodities from India,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,,A. Major Commodities,784148.2361492999,640124.6552193,848278.0448514,696804.6616888002,774770.4708670999,8.854526381284632,11.189048160116943,
,1,Agri. Equip.& Parts,5274.223268600001,4093.7804809,7636.2813164,5775.054361,7470.4877168,41.068979832801865,29.357876996787624,
,2,"Aluminium Bars, Rods, Profiles, Foil etc.",8376.0173246,6907.2110391,7286.410364400001,5778.656727899999,10055.2734944,-16.33878427648345,74.00710870836156,
,3,Baby Food & Milk Products,7043.0519316,5885.0531551,5953.945479399999,5007.9383471,4330.6072381,-14.904110207397036,-13.525148714984258,
,4,Bitumen,9010.7308019,6865.1063571,10865.5127743,7102.0342892,7093.8790012,3.451190990726083,-0.11483031013242995,
,5,Books and Magazines,1126.2992227,958.098459,1156.9682777,967.4525115,1024.8230608,0.9763143247055295,5.930063607054881,
,6,Cement,298.34130689999995,253.630895,487.6763912,345.4910226,1217.283651,36.21803550391603,252.33437958512096,
,7,Chemical Fertilizer,470.7384713,280.9825405,797.5832966,692.7761009,219.9895414,146.55485699119438,-68.2452178829196,
,8,Chemical,11622.6160349,9415.4133623,13144.5149901,10610.3041639,11623.0409782,12.690794929773674,9.54484243482565,
,9,Coal,19573.713799,15827.1120837,21916.206251400003,18048.107999900003,18584.8359522,14.032856433027717,2.9738737839056117,
,10,Coldrolled Sheet Incoil,131.096038,128.96532820000002,211.79256,202.3020937,145.56651340000002,56.86548975882029,-28.04497929919347,
,11,Cooking Stoves,648.8609637999999,545.3949782999999,620.0071711,515.7561243,669.1346577999999,-5.434383369715734,29.738577260361176,
,12,Cosmetic Goods,3969.3509707,3311.7102811,4158.7484821,3446.6083436999998,3495.7937755,4.073365456207512,1.4270676240282887,
,13,Cuminseeds and Peppers,2612.5725921,1972.4049658,3036.4741761,2568.623195,2349.2865047,30.227982566357838,-8.539076137245583,
,14,Dry Cell Battery,3760.9416191,3041.3100206999998,4227.5248903,3355.8891858,3120.6924488,10.343541531737554,-7.008477454953043,
,15,Electrical Equipment,38677.010964,30539.146988599998,34431.0195827,27473.2095896,30115.0398032,-10.039368159642725,9.616023220672654,
,16,Enamel & other paints,5337.478641899999,4289.5001164000005,7075.0823735,5724.0119346,6103.0223586,33.442400729060374,6.621412190093312,
,17,Ferrous products obtained by direct reduction of iron (Sponge Iron),39026.7212583,31313.468288099997,48766.014276,41499.31454380001,48052.1718973,32.528642825460885,15.790278527573886,
,18,Fruits,10879.950466299999,9411.9794846,9828.8088217,8382.8990579,8564.8949503,-10.933730023357946,2.1710376224617356,
,19,Glass Sheet and G.Wares,6233.2828076000005,4936.4407943999995,7570.3412321999995,6083.2161825,7244.856777100001,23.230814180956582,19.09582957024889,
,20,Hot rolled sheet in coil,20711.812477299998,16858.896734,27649.5143453,24728.9736751,16537.0749789,46.68204014339861,-33.12672334820168,
,21,Incense Sticks,1231.3884881,1004.1970774,1311.3376994,1078.3857865,1097.677122,7.387863475174061,1.7889085465983223,
,22,Insecticides,4257.5467911999995,3430.6799232,4562.610462,3544.976032,3684.740048,3.331587654886481,3.9425941032709355,
,23,Live Animals,26.9146954,26.412465,102.6407206,85.6784065,0.05061,224.3862566405672,-99.94093027395415,
,24,M.S. Billet,13851.903986399999,10216.710432,13832.4836803,12273.1693795,10574.9936832,20.128386344971826,-13.836488716080774,
,25,"M.S. Wire Rod, Bars, Coils & Others",9939.459572,8681.667003,15949.737285899999,13747.478947399999,11970.107654599999,58.35068245130201,-12.928707144055284,
,26,Medicine,35328.4422717,29191.2374097,38705.3114463,32238.1264051,31348.7822543,10.437683585100599,-2.7586719514174574,
,27,Molasses Sugar,426.3932569,398.12906219999996,388.8218273,353.2649028,477.3925375,-11.268747664912349,35.13726773199275,
,28,Other Machinery and Parts,44257.689858699996,34501.4788557,47753.7030066,38235.132093,46321.6232886,10.82171941937835,21.149374287320576,
,29,Other Stationary Goods,1545.239401,1263.5756558,1562.793793,1343.4964805,1258.1412972,6.324973446041904,-6.353212274008624,
,30,Paper,9987.2649181,8396.5479711,10196.186947200002,8325.5375987,9222.834439600001,-0.8457091252787485,10.777644449532131,
