,Table 20,,,,,,,,,
,Imports of Major Commodities from China,,,,,,,,,
,(Rs. in million),,,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26,
,,A. Major Commodities,197284.6903075001,158997.62791749998,226796.08181670003,188865.4934443,234032.7516554,18.785101336415998,23.915039951128335,
,1,"Aluminium scrap, flake, foil, bars, & rods",64.1555934,55.0677874,116.2616452,100.0273186,35.253968799999996,81.64397612968195,-64.75565946041465,
,2,Apple,7574.689106100001,6261.1391177,9741.607157,7754.5884617,9801.0164975,23.85267785822034,26.389898650422673,
,3,Bags,1923.3064354,1586.5849618,2064.8148559,1609.2041153,1631.7195649,1.4256503146442556,1.3991667922004014,
,4,Camera,1251.7908565,947.0407548,1571.88046,1231.530489,1519.3966328,30.03986182834124,23.374666431015157,
,5,Ceramic Products,989.855048,832.7362928,1144.5630254,921.0096794,1335.2409541,10.600401034904916,44.975778644352005,
,6,Chemical,2619.7973006999996,2112.2524529,3791.9472045,3028.8835077,2963.7300517,43.395904383565444,-2.151071701317253,
,7,Chemical Fertilizer,11837.3844092,6679.013730199999,9312.243269,9238.042871,30327.9700656,38.3144764208079,228.2943204431899,
,8,Computer and Parts,10883.549115200001,8607.514646799998,13013.5041355,10504.600094700001,12250.357976700001,22.039874757637268,16.618984694912896,
,9,Cosmetic Goods,1866.8095845999999,1532.0309654,2223.5449902,1762.2928798,2380.3871555,15.02984728117951,35.073300402266085,
,10,Dry Cell Battery,126.78609370000001,103.689376,152.3102127,119.91639620000001,127.6929267,15.649645919365952,6.484960144257568,
,11,Electrical Goods,18353.239951400003,13063.917609299999,21346.9294689,17918.1849555,18375.8185356,37.157822724971304,2.5540175036508295,
,12,Fastener,442.0273482,376.9273922,437.45308939999995,366.33911889999996,366.6815548,-2.809101572109096,0.09347511153825483,
,13,Garlic,2223.9125111999997,1757.683266,6699.9617583,6502.3201707,2166.8617414,269.9369673978565,-66.6755606535024,
,14,Glasswares,1908.2008175,1598.192545,2052.3338906,1710.3161186,2101.6239465,7.015648643261563,22.879269138871795,
,15,Medical Equip.& Tools,2940.6383914000003,2310.7436162,4043.0498026,2777.0957239,3146.3656386,20.181906137510495,13.296981862095048,
,16,Medicine,1355.9019097999999,994.5626154,2087.3673623,1804.8107657,1130.8419234,81.46778671890145,-37.3429090245148,
,17,Metal & Wooden furniture,1613.1112587,1473.0681205,1133.2303966,877.8969482,1039.1633536,-40.40350639710962,18.369628204159195,
,18,Office Equip.& Stationary,1012.1555033999999,879.5853063,1016.8083793,848.1741772,902.061362,-3.5711293577801673,6.353315892956424,
,19,Other Machinery and Parts,24458.722965099998,20020.719163,23902.4975308,19221.4898971,22055.406671200002,-3.9920107734044086,14.743481328820218,
,20,Other Stationaries,1230.5407883,988.3035428,1382.0980624000001,1149.0724622,1308.78128,16.26716008166069,13.898933535855807,
,21,P.V.C. Compound,654.9584992,546.0706357,1624.4749369,1349.8902834,1906.938279,147.2006724312497,41.266168254574744,
,22,Parafin Wax,10.105048199999999,10.105048199999999,0.4672356,0.3054779,18.4245302,-96.97697730922253,-,
,23,Pipe and Pipe Fittings,608.8324336000001,486.659615,1336.6286383,1208.5577257,1000.1380766,148.33737759398838,-17.245320158727438,
,24,Plywood & Partical board,131.7076811,120.18640740000001,114.9492406,86.289751,143.05923959999998,-28.20340264201957,65.78937584371982,
,25,Polyethylene terephthalate (Plastic pet chips/Pet Resin),857.6801295,728.1584661,1002.6750122999999,786.7160422999999,718.3758743999999,8.041872604136957,-8.686764248534251,
,26,Polythene Granules,219.58158790000002,202.1483154,375.3527499,279.6312905,453.71542669999997,38.329765423313525,62.254884240145515,
,27,Raw Silk,2696.9856619,2246.8538645,3088.1475812,2603.6043427,2680.9432186999998,15.877778427721157,2.9704542557260183,
,28,Raw Wool,323.7462067,245.7227026,328.53964060000004,262.14176230000004,319.3879331,6.681946570776498,21.837867533096976,
,29,Readymade Garments,23084.7567749,20000.366048,28083.9837782,24681.8844618,24693.791364099998,23.407163661727793,0.04824146356581238,
,30,Seasoning Powder & Flavour for Instant Noodles,606.3215876,479.3120482,717.3125124,583.5660215,496.079664,21.750751664080536,-14.991681194036078,
,31,Shoes and Sandles,8277.1038432,7088.2354445,8141.6826123,6633.7508882,6519.1039719,-6.411815181063851,-1.728236682868689,
,32,Silver,15.9222,0,1320.83857,1117.925645,2115.5708466,-,89.24074745597235,
,33,Smart Cards,320.59720589999995,297.76594689999996,270.9283547,156.7066095,259.6532481,-47.3725551455931,65.69387145090391,
,34,Solar Panel,923.401237,681.9980716,1856.106623,1619.6809135,1542.8390493,137.49054153483917,-4.744259413043961,
,35,Steel Rod & Sheet,202.48215230000002,134.5061294,739.9921284,593.3945272999999,739.3677762000001,341.1654174772499,24.599695848930715,
,36,Storage Battery,569.7934325,442.98855910000003,918.1950229,783.1033331,584.6749013,76.7773268661827,-25.33872905565341,
,37,Telecommunication Equipments and Parts,25998.1786724,21703.256915,30737.2218425,25056.6195218,36381.4062396,15.450964894040187,45.19678605466753,
,38,Textiles,19740.9098744,16536.9101975,21975.7617843,17923.1823266,21901.0768852,8.38289688063718,22.194130964657788,
,39,Thread,1917.5976729000001,1683.6195766,912.8457435,691.4720427000001,921.6444805000001,-58.92943677357333,33.28730933231121,
,40,Toys,2463.2190864,2065.0569377,2810.1368267,2338.5594877,2491.9954484,13.244310362919997,6.561131393364983,
,41,Transport Equip.& Parts,6540.0703498,5674.5501575,6690.8828462,5220.7809505,6523.2313343999995,-7.996567030080048,24.947424460994917,
,42,"Tyre, Tubes and Flapes",481.0265197,385.6049349,1004.2447973999999,818.4437317999999,1014.5444085,112.24928877330092,23.960190429794935,
,43,Video Television & Parts,3227.7461476999997,2555.5390847,3619.8786971,3069.2080434,3680.0215546,20.100219236533444,19.901339451833145,
,44,Welding Rods,459.4501127,396.7241565,746.0202209,592.9949176,601.1969747999999,49.47285358964524,1.3831580940348864,
,45,Wheat Products,353.31584610000004,292.1882849,249.5597742,208.7565521,359.35445730000004,-28.554099226994712,72.14044478367299,
,46,Writing & Printing Paper,1922.6253560999999,1812.3271071,894.84795,752.530643,999.8446709,-58.477107137454674,32.864313260928554,
,,B. Others,101489.95402659985,81834.71028570004,114308.51534959997,88279.25295410005,102376.44272089997,7.875072381756998,15.9688593809574,
,,Total (A+B),298774.64433409995,240832.33820320002,341104.5971663,277144.74639840005,336409.1943763,15.077878853861293,21.38393339511704,
,"R= Revised, P= Provisional",,,,,,,,,
