,Table 21,,,,,,,,
,Imports of Major Commodities from Other Countries,,,,,,,,
,(Rs. in million),,,,,,,,
,S.N.,Heading,2023/24R,,2024/25R,,2025/26P,Percent Change,
,,,Annual,Ten Months,Annual,Ten Months,Ten Months,2024/25,2025/26
,,A. Major Commodities,228918.84143829998,189973.89595010004,325358.8300009999,260742.36545030004,327056.4403564001,37.25168089345738,25.43279638948437
,1,Aircraft Spareparts,13405.9687179,10845.6799162,7111.8602143,5905.3758652,8265.9911178,-45.55089297463736,39.974005151999805
,2,Bags,68.5229548,63.431971,79.5554615,71.2423567,55.4337794,12.313011210072599,-22.189857315598882
,3,Betelnut,689.0238813,467.713539,1044.2681249,731.9868606,1862.348097,56.503243879797104,154.42370583994608
,4,Camera,877.345979,821.0309506,1418.07046,1234.0178754,1653.7821927,50.301017823773144,34.01606456988604
,5,Chemical,1458.7772837999999,1214.1452989000002,1797.4132194000001,1541.0053897,1470.2499127,26.92100287306065,-4.5915139215557454
,6,Chemical Fertilizer,24123.625504,18597.255911099997,21087.538902099997,14386.8385381,18744.2370645,-22.63999265873928,30.287394376884833
,7,Cigarette Paper,162.0167288,150.74250709999998,206.973797,168.6701888,86.060412,11.892917296451166,-48.977105787172746
,8,Clove,286.43755189999996,231.64372219999998,372.2785593,346.6065192,263.0849862,49.629144234153564,-24.096930776944248
,9,Coal,5962.6380921,5953.0425983000005,3655.5339574,3652.8204694,5391.0461591,-38.63943674041356,47.58585055743283
,10,Coconut Oil,21.1863756,16.5610674,41.0799165,33.8557133,34.0033181,104.42953634739753,0.4359819528599429
,11,Computer and Parts,1847.3593366,1479.1199525999998,2811.898006,2186.9362339,4484.7160998,47.85387960292196,105.06844371051143
,12,"Copper Wire Rod,Scrapes & Sheets",4180.386726,3561.0104138,3622.4408454,3030.7483909000002,2372.7325416,-14.890774282632623,-21.711332134192716
,13,Cosmetic Goods,1967.4806679,1656.1637005,2488.933893,1913.0806366,2315.3723739,15.51277425187112,21.0284778175879
,14,Crude Palm Oil,10598.3415975,10214.6773615,6817.016779,4602.969979,11488.0695138,-54.93768607563669,149.579501196221
,15,Crude Soyabean Oil,13444.647813799998,11525.5057353,108002.3028691,80940.11929830001,100603.9151718,-,24.294251162430648
,16,Door Locks,9.6125573,8.2329185,11.3554288,10.0375791,10.3418195,21.920059089616895,3.031013723219367
,17,Dry Cell Battery,23.9341555,17.059530600000002,47.846827299999994,44.4552837,37.8068955,160.58913778084843,-14.955226120849163
,18,Edible Oil,18238.8367057,13960.996120799999,29624.9295383,25129.1607532,17982.6767067,79.99547120968644,-28.43900803806173
,19,Electrical Goods,2829.6848181,2107.9077203,2968.8990639,2254.3490775,2500.49488,6.94723757542659,10.918708418173107
,20,Flash Light,34.457936700000005,27.3008739,40.6620336,33.0063467,27.843521199999998,20.898498783952846,-15.641917437654506
,21,Glasswares,1166.2421545999998,983.4188789,1319.6707482,1097.9850912,1397.0153633,11.649787771834074,27.23445650552383
,22,Gold,25934.737041700002,23469.7963995,19925.7107259,19609.396480400002,27919.653745099997,-16.448374128981534,42.378954767966825
,23,Insecticides,151.58927,110.2013048,129.1225238,103.6104207,64.6507805,-5.980767752216298,-37.602048072757235
,24,Medical Equip.& Tools,10483.960427299999,8265.2713946,9220.4614649,7100.6016901,7867.388921899999,-14.091124766464668,10.798905012079342
,25,Medicine,9219.6757097,6897.3893496,5562.5203581000005,4599.0256924,5765.5717872,-33.32222585539976,25.365070187099526
,26,Office Equip.& Stationary,1005.5188991,811.6716559,1307.2652228,1010.2817177999999,993.8801451,24.469261733647272,-1.623465258355472
,27,Oil seeds,10751.1195923,8071.0720583,14989.812048700001,12895.6879839,12673.9957303,59.77664293851197,-1.7191192426241897
,28,Other Machinery and Parts,10135.4642476,7427.0804695,10627.6336519,8715.714439700001,10515.8801349,17.35047809825001,20.65425281719031
,29,Other Stationaries,4159.0636118,3113.2006624,4030.5952745,3243.1859034,3198.6381226999997,4.175292732328817,-1.3735808561975538
,30,P.V.C. Compound,2650.2381365,2288.5126748000002,2683.5164293000003,2323.4922216,1737.0479566,1.5284838570123638,-25.23977741557334
,31,Palm Oil,2176.0749705999997,1597.456383,5959.6789469,4740.2367663,4931.436274600001,196.73653795779416,4.033543422541763
,32,Peas,3683.464776,3263.4737205,2461.1393052,2361.1222456,1817.7841563,-27.650030371985036,-23.011857616119702
,33,Petroleum Products,3012.9948679,2424.3367727,3298.5948889,2839.450536,2220.94703,17.122776339265975,-21.782506796941792
,34,Pipe and Pipe Fittings,248.3277431,240.90950080000002,177.8002213,162.273887,63.453129700000005,-32.641142644383415,-60.89751045403873
,35,Polythene Granules,7654.8874559,6745.3240379,7346.959580600001,6242.8421636,7452.323200100001,-7.449336332497902,19.37388459942322
,36,Powder Milk,179.58900469999998,140.5559854,108.7652237,108.19847440000001,112.300916,-23.02108366848673,3.791589135382467
,37,"Preparations, used in animals feeding",1082.1179585,868.7045229,1211.1399526,979.487648,1015.5913542000001,12.752681974093116,3.6859787128219024
,38,Pulses,5272.603834,4675.198458,7287.1570148,6388.9987171,4346.6842977,36.6572729370968,-31.96611096405131
,39,Raw Wool,1623.5946867,1311.7656227999998,1102.9040098,953.5602418,1416.0982371,-27.307117580608697,48.50642623552386
,40,Readymade Garments,786.8983575,646.8699872000001,817.5331736,695.6991279,662.3469759,7.548524690619618,-4.794048269210149
,41,Shoes and Sandles,551.3820135,497.81048480000004,598.1933654,508.2171543,402.6470217,2.090488211428676,-20.772642502673587
,42,Silver,3269.3477575,3018.4622565,5705.0165513,5094.9980243,28366.7565258,68.79449174255394,-
,43,Small Cardamom,1419.7452187000001,1407.0751817,410.452224,372.0961408,193.3264792,-73.55534760051408,-48.04394402361939
,44,Steel Rod & Sheet,23.184793199999998,23.184793199999998,40.5685605,36.130415299999996,9.555805900000001,55.83669428632212,-73.55190683346504
,45,Storage Battery,319.2857757,270.2114895,228.0593044,200.832194,129.7103573,-25.675923562088222,-35.41356357437393
,46,Synthetic & Natural Rubber,225.43072080000002,194.1420516,327.60693410000005,241.4881862,239.4066563,24.387366987111815,-0.8619593085502197
,47,Synthetic Carpet,18.357557,15.904698699999999,18.7518487,16.6377563,52.770227299999995,4.609063106615152,217.1715365250301
