,Table 24,,,,,,,,,,,,,,,,,,,,,
,Imports from India against Payment in Convertible Currency,,,,,,,,,,,,,,,,,,,,,
,(Rs. in million),,,,,,,,,,,,,,,,,,,,,
,Mid-Month,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24R,2024/25P,2025/26P,
,August,957.5,2133.8,3417.43,3939.5,2628.646,3023.9850000000006,3350.8,5513.375582999998,6551.1245,9220.529767999999,6774.635442,10222.84742041,15961.640973000001,14150.708143,9264.188017100489,18858.22994655,13372.13045597,17299.417383689997,13981.32851827,13427.48429926,
,Sepember,1207.954,1655.209,2820.1,4235.2,4914.036,5135.26,3193.1,6800.915908000001,6873.778996,2674.870955,7496.830683999999,10897.021828150004,13388.809525999997,11499.361485,12184.013974,17407.17988492,12858.129334790001,14842.01358061,15952.13973909,14323.538977290002,
,October,865.719,2411.6,1543.517,4145.5,4589.347,3823.28,2878.583504,5499.626733,4687.56,1943.288387,5574.761507,11232.899983620002,16730.626995,10080.376043,12475.614233,17904.05672664,8359.83274032,13436.649121639999,14197.45978783,13040.13442746,
,November,1188.259,2065.7,1571.367,3894.8,2064.913,3673.03,4227.3,4878.920368,6661.43,1729.7318549999995,7059.7193449999995,10915.065040760002,12548.618104999996,10066.474215,10332.102783,17229.088230259997,8097.170205169998,8264.83601334,13107.50440519,14191.957268780001,
,December,1661.361,2859.9,2301.56,4767.4,3784.984,5468.766,3117,6215.803716,6053,6048.755077999999,6728.449017000002,10634.35526915999,14508.155257999999,13362.637471,17550.468602,20943.49528431,7508.08581037,9814.84067055,15602.568413829998,14469.35344653,
,January,1643.985,3805.5,2016.824,4917.8,4026.84,5113.109,3147.629993000001,7250.6900829999995,6521.12,5194.902522,6554.532821,9930.57142645,15977.455362,14151.708198,21200.208146,18563.928331919997,10361.584719030001,12591.64971606,15716.65268475,17405.15404739,
,February,716.981,2962.1,2007.5,5107.5,5404.078,5923.4,3693.200732,7103.718668,5399.75,5664.369971,9021.868793000001,10744.747126419987,14058.7,14351.673253,21127.620879,17265.4445772,11227.62359067,11930.67682022,15387.221298350001,17065.64766818,
,March,1428.479,1963.1,2480.095,3755.8,4548.177,5524.553,2894.6,6370.281666999998,7039.43,7382.366038000001,7526.048635000002,14545.606895260007,12063.57144,14823.957399,17229.759378,18860.80411532,13333.109410370002,10110.535076639999,15544.05060692,16481.72575284,
,April,2052.853,3442.1,3768.18,4382.1,4505.977,4638.701,3614.076429,7574.0239679999995,6503.97,6771.428519000001,9922.831429,15617.396315309961,13564.03491,6442.289812,17913.921123,20492.96156401,16552.14874562,12728.25883641,16064.94914542,20123.47962069,
,May,2714.843,3420.2,3495.035,3427.2,3263.921,5139.568,3358.239235000001,5302.327289999998,4403.9783418,5899.446292999999,8227.599132000001,15113.34865286,13444.679898,2588.987114,15807.049103,16414.491136149998,17926.09441199,10996.9844787,16927.02143577,20268.164287509997,
,June,1711.2,2205.73,3452.1,3016.2,4066.715,5497.373,3799.3208210000007,5892.200164999999,7150.519439000001,7405.390267999999,11514.789676,16104.892137779936,15458.06367,8608.621024,18172.572454,16938.78459662,18875.160294759997,15114.76097548,14815.787559040002,,
,July,1571.796,3091.435,4253.095,2113.92,3970.419,7717.93,4485.520859,6628.0436819999995,10623.366396,10266.2,8599.868225,15974.142931410008,14519.526403,12862.926868,17284.582073,12653.541154389999,15948.768668799981,14630.33287976,13852.84822534,,
,Total,17720.93,32016.374,33126.803,47702.92,47768.05300000001,60678.955,41759.371573,75029.927831,78469.0276728,70201.279654,95001.934706,151932.8950275899,172223.88254,132989.721025,190542.1007651005,213532.00554829,154419.83838785999,151760.9555531,181149.53181980003,160796.63979593,
,* The monthly data are updated based on the latest information from custom office and differ from earlier issues.,,,,,,,,,,,,,,,,,,,,,
,"R= Revised, P= Provisional",,,,,,,,,,,,,,,,,,,,,
