,,,,,,,,Table 27,,,,,,,,,,,,,,,,
,No. of Tourist Arrival by Month,,,,,,,,,,,,,,,,,,,,,,,
,Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024R,2025R,2026P,
,Month,,,,,,,,,,,,,,,,,,,,,,,
,Jan,25477,28769,33192,36913,29278,33645,42622,52501,47846,70196,38616,42235,62632,73187,81273,79702,8874,16975,55074,79100,79991,92573,
,Feb,20338,25728,39934,46675,40617,49264,56339,66459,67264,69009,58523,60821,84061,89507,102423,98190,9146,19766,73255,97426,96880,105441,
,Mar,29875,36873,54722,58735,49567,63058,67565,89151,88697,79914,79187,76444,106291,124686,127351,42776,14977,42006,99426,128167,121687,120516,
,Apr,23414,21983,40942,38475,43337,45509,59751,69796,65152,80053,65729,60214,88591,98650,109399,14,22450,61589,98773,111376,116490,107934,
,May,25541,22870,35854,30410,30037,32542,46202,50317,52834,62558,17569,46683,62773,68825,78329,31,1468,53608,77703,90211,86216,102626,
,Jun,22608,26210,31316,24349,31749,33263,46115,53630,54599,50731,18368,38852,55956,65159,74883,102,1143,46957,72250,76736,76425,,
,July,23996,25183,35437,25427,30432,38991,42661,49995,54011,46546,22967,48115,42240,73281,70916,196,2991,44462,57726,64599,70193,,
,Aug,36910,33150,44683,40011,44174,54672,71398,71964,68478,59761,38606,66341,73778,87679,94749,267,5917,41304,67153,72719,88680,,
,Sep,36066,33362,45552,41622,42771,54848,63033,66383,66755,52894,39050,74670,68634,91874,92604,584,9898,58314,91012,96305,78711,,
,Oct,51498,49670,70644,66421,72522,79130,96996,86379,99426,80993,56584,89281,112492,130745,134096,2025,23284,88582,117306,124393,128443,,
,Nov,41505,44119,52273,52399,54423,67537,83460,83173,75485,76305,58304,72990,99804,147859,130302,1953,26135,72653,108630,114501,116553,,
,Dec,38170,36009,42156,38840,41049,50408,60073,63344,57069,61158,45467,76356,82966,121620,100866,4245,23550,67932,96568,92034,98190,,
,Total,375398,383926,526705,500277,509956,602867,736215,803092,797616,790118,538970,753002,940218,1173072,1197191,230085,149833,614148,1014876,1147567,1158459,529090,
,Source: Nepal Tourism Board,,,,,,,,,,,,,,,,,,,,,,,
,R= Revised,,,,,,,,,,,,,,,,,,,,,,,
,P = Preliminary,,,,,,,,,,,,,,,,,,,,,,,
