Table 2(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Consumer Price Index*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Base Year 2023/24=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Groups & Sub-Groups,Weights %,2023/24R,2024/25 R,,2025/26,,% Change,,% Change,,,,,,,,,,,,,,,,,,,,
,,,2080/81,2081/82,,2082/83,,,,,,,,,,,,,,,,,,,,,,,,
,,,Apr/May,Mar/Apr,Apr/May,Mar/Apr,Apr/MayP,3 over 1,3 over 2,5 over 3,5 over 4,,,,,,,,,,,,,,,,,,,
,,,Baisakh,Chait,Baisakh,Chait,Baisakh,,,,,,,,,,,,,,,,,,,,,,,
,,,10th month,9th month,10th month,9th month,10th month,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
,Overall Index,100.0000042,101.36901,103.58144,104.172775,108.21069,109.424385,2.765899558454791,0.5708889546235412,5.041249981101117,1.1216036049673193,,,,,,,,,,,,,,,,,,,
A,Food and Beverages,35.494131200000005,101.35609,102.319855,102.8981,106.4201,107.664375,1.5213787351110426,0.565134694532162,4.632034022008185,1.1692105156826642,,,,,,,,,,,,,,,,,,,
A.1,Cereal grains and their products,8.083736,102.10492,105.10916,104.53257,103.34513,103.91862,2.377603351532926,-0.5485630367515029,-0.5873289061964186,0.5549269714015566,,,,,,,,,,,,,,,,,,,
A.2,Pulses and Legumes,1.758044,101.08999,107.29213,106.312325,104.314415,104.54165,5.166025835001079,-0.9132123670207619,-1.6655406605019607,0.21783662401789172,,,,,,,,,,,,,,,,,,,
A.3,Vegetable,4.645346,101.65886,92.80153,93.412766,101.32241,98.45759,-8.111534990654036,0.6586486235733418,5.400572337189956,-2.8274297857700077,,,,,,,,,,,,,,,,,,,
A.4,Meat and Fish,6.75658,101.95835,99.64545,101.47254,104.0595,105.69175,-0.47647887593316796,1.8335909968794368,4.157982051104668,1.5685737486726339,,,,,,,,,,,,,,,,,,,
A.5,Milk products and Eggs,4.277592,100.41515,102.647575,103.2051,105.54148,105.74807,2.778415408431883,0.5431448331828506,2.4639964497878566,0.19574294391171065,,,,,,,,,,,,,,,,,,,
A.6,Ghee and Oil,2.970016,100.62968,111.71676,111.78349,126.092186,127.42536,11.08401616699966,0.05973141362139245,13.993005586066417,1.0573010448085824,,,,,,,,,,,,,,,,,,,
A.7,Fruit,3.234068,102.57447,105.86384,108.8806,118.22307,129.13155,6.147855309415689,2.849660469523883,18.599227043201452,9.22703157683182,,,,,,,,,,,,,,,,,,,
A.8,Sugar and Sugar products,1.10089,99.393295,100.64025,100.97666,101.58825,102.1163,1.5930299926167066,0.33426983736626426,1.1286172467974325,0.5197943659822784,,,,,,,,,,,,,,,,,,,
A.9,Spices,1.801496,97.74943,96.3636,95.60322,94.785904,94.97712,-2.1956240563244336,-0.789073882669399,-0.6548942598376897,0.20173463767353894,,,,,,,,,,,,,,,,,,,
A.10,Non-alcoholic drinks,0.8663632,101.17023,105.55541,105.92071,108.27184,108.69072,4.6955314819389145,0.34607416142857517,2.6151731800136133,0.3868780654323416,,,,,,,,,,,,,,,,,,,
B,Non-food and Services,64.50587300000001,101.37612,104.27635,104.875984,109.19872,110.39467,3.452355446233298,0.5750431425725964,5.262106527648896,1.0952051452617866,,,,,,,,,,,,,,,,,,,
B.1,Alcoholic drinks,1.257288,103.31816,106.30437,106.30437,111.376755,111.376755,2.890305053825969,0,4.77156771636011,0,,,,,,,,,,,,,,,,,,,
B.2,Tobacco products,1.034892,102.27191,104.78595,104.78595,108.523544,108.523544,2.458192088130545,0,3.5668846825361697,0,,,,,,,,,,,,,,,,,,,
B.3,Clothes and Footwear,5.654848,102.29245,107.63386,107.645386,112.72874,112.73481,5.232972716950272,0.010708526108800243,4.727953690462854,0.0053846073326155874,,,,,,,,,,,,,,,,,,,
B.4,Housing and Utilities,16.65808,100.72468,102.474434,102.794464,103.925934,105.707405,2.054892604275338,0.31230228605116395,2.833752798205154,1.7141736729544306,,,,,,,,,,,,,,,,,,,
B.5,Furnishing and Household equipment,5.909037,101.96989,106.03753,106.03753,109.09544,109.09544,3.9890599077825755,0,2.883799726379891,0,,,,,,,,,,,,,,,,,,,
B.6,Health,5.507497,100.507256,102.47645,103.632484,104.87393,105.98087,3.109455102425642,1.128097235999121,2.2660713218067627,1.055495870136653,,,,,,,,,,,,,,,,,,,
B.7,Transportation,6.264277,101.302475,104.191696,103.84055,116.72437,119.727196,2.505442241169334,-0.3370191804920779,15.299077287244728,2.5725784598366204,,,,,,,,,,,,,,,,,,,
B.8,Communication,3.604037,100.13822,102.45005,102.426,102.885284,103.02457,2.284622195201777,-0.0234748543314538,0.5843926346826009,0.1353799052544673,,,,,,,,,,,,,,,,,,,
B.9,Recreation and Culture,1.523169,100.89053,102.63203,102.63203,104.87805,104.87805,1.7261283095648423,0,2.188420125763855,0,,,,,,,,,,,,,,,,,,,
B.10,Education,4.673977,102.07454,102.77063,108.07707,110.44235,114.06187,5.880535929919461,5.16338179497393,5.53752983866049,3.2772935382124615,,,,,,,,,,,,,,,,,,,
B.11,Restaurants and Accomodation Services,7.999518,101.41593,104.6233,104.6233,107.84083,107.84083,3.162589940258883,0,3.0753474608428633,0,,,,,,,,,,,,,,,,,,,
B.12,Insurance and Financial Services,0.928642,100.00001,100.14751,100.14751,100.34318,100.34318,0.14749998524999341,0,0.19538179231814468,0,,,,,,,,,,,,,,,,,,,
B.13,Miscellaneous goods and services,3.490611,103.363,111.44178,112.70601,133.66206,135.13966,9.03902750500663,1.1344309109204858,19.904572968202828,1.105474507874547,,,,,,,,,,,,,,,,,,,
,"P= Provisional,   R=Revised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Prices are collected for 525 items from 87 market centers and weights are based on Nepal Living Standard Survey-IV.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
