Table 3,,,,,,,,,,,,,,,,,,,,,
Provincial Consumer Price Index,,,,,,,,,,,,,,,,,,,,,
(Base Year 2023/24=100),,,,,,,,,,,,,,,,,,,,,
Mid-Month,,,,,,,,,,,,,,,,,,,,,
S.N.,Groups & Sub-Groups,Strata Weight %,Overall,,,,,,Food and Beverage,,,,,,Non-food and Services,,,,,,
,,,Group Weight %,2024/25,2025/26,,% Change,,Group Weight %,2024/25,2025/26,,% Change,,Group Weight %,2024/25,2025/26,,% Change,,
,,,,2081/82,2082/83,,,,,2081/82,2082/83,,,,,2081/82,2082/83,,,,
,,,,Apr/May,Mar/Apr,Apr/MayP,3 over 2,3 over 1,,Apr/May,Mar/Apr,Apr/MayP,6 over 5,6 over 4,,Apr/May,Mar/Apr,Apr/MayP,9 over 8,9 over 7,
,,,,Baisakh,Chait,Baisakh,,,,Baisakh,Chait,Baisakh,,,,Baisakh,Chait,Baisakh,,,
,,,,10th month,9th month,10th month,,,,10th month,9th month,10th month,,,,10th month,9th month,10th month,,,
,,,,1,2,3,,,,4,5,6,,,,7,8,9,,,
National,,99.99999999999999,100,104.172775,108.21069,109.424385,1.1216036049673193,5.041249981101117,35.494131200000005,102.8981,106.4201,107.664375,1.1692105156826642,4.632034022008185,64.50587300000001,104.875984,109.19872,110.39467,1.0952051452617866,5.262106527648896,
,Rural,26.07916385510759,100,104.59368,108.03796,109.14247,1.0223351125845141,4.349010379977059,40.6809976,103.344284,105.76001,106.78436,0.9685608010059781,3.328753044532192,59.31962500000001,105.45076,109.60486,110.763756,1.0573399756178787,5.038366722060616,
,Urban,71.30027263330011,100,104.024284,108.27163,109.52384,1.1565448862273655,5.286800147550181,33.664214300000005,102.70788,106.70151,108.03955,1.2540028721243175,5.1911012085927695,66.3357869,104.69465,109.070595,110.27823,1.1072049253971699,5.333204705302521,
I,Koshi,17.05079673985474,100,105.96037,110.36553,111.93908,1.4257621922351973,5.642401965942568,36.67227,102.79554,106.44809,107.69214,1.1686917069155527,4.763436234684889,63.32773,107.800575,112.63658,114.39982,1.5654239501945284,6.121715955596713,1
I.1,Rural,5.661104590402557,100,107.26991,110.68805,112.04963,1.2301056889158133,4.455788207522502,38.98722,103.28579,106.643906,107.84788,1.1289665252883765,4.416958034595069,61.01278,109.815765,113.27226,114.73455,1.2909515533635414,4.4791246502721975,2
I.2,Urban,11.389692149452182,100,105.30949,110.20523,111.88413,1.523430421587065,6.243160041891755,35.52165,102.52809,106.341255,107.607185,1.1904410945686124,4.953857035666999,64.47835,106.85278,112.3376,114.242386,1.6955907906168477,6.915689044309374,1
II,Madhesh,14.133084805979045,100,103.898796,108.45925,109.58411,1.037126847179934,5.47197293797322,43.532,102.206024,105.53476,107.074394,1.458888047881075,4.763290664745938,56.468,105.20378,110.71379,111.518875,0.7271768042625979,6.002726327894294,2
II.1,Rural,3.37427046108602,100,104.60352,110.191765,110.925446,0.6658219876957077,6.043702927014309,45.08212,101.95047,105.882774,106.21602,0.31473108175272557,4.183943438416719,54.91788,106.78141,113.72902,114.79142,0.9341503162517313,7.501315069729841,4
II.2,Urban,10.758814344893025,100,103.67778,107.915886,109.16342,1.1560244244299724,5.291046934068234,43.04584,102.28996,105.42045,107.356346,1.8363571773787726,4.952965080834915,56.95416,104.726685,109.80193,110.52921,0.6623562992016616,5.540636562686956,3
III,Bagmati,30.98467052402862,100,103.661385,107.4163,108.37723,0.8945849000570547,4.549278402946271,30.22984,102.856415,106.432755,107.103424,0.6301340221814229,4.129065746652742,69.77016,104.01016,107.842445,108.92914,1.007669104683245,4.729326442724442,3
III.1,Rural,4.205843478461125,100,103.50503,105.52662,106.25602,0.6912000024259299,2.6578321845807977,40.00847,103.839386,104.357086,105.47837,1.0744684841046563,1.57838375508112,59.99152,103.28204,106.30659,106.774635,0.4402784436976077,3.381609232350584,7
III.2,Urban (Excl. Ktm. Valley),7.74877609603436,100,103.12548,107.02899,107.99198,0.8997468816626366,4.7190083381915,32.33024,103.15327,106.20111,106.79839,0.5624046678984769,3.5336931151091875,67.66976,103.112206,107.42453,108.56223,1.0590690971605738,5.285527496133668,6
III.3,Kathmandu Valley,19.030050949533134,100,103.914154,107.99164,109.00291,0.9364335980081506,4.897076869816999,27.21341,102.39342,107.21924,107.77901,0.5220798058259106,5.259703211397749,72.78659,104.48272,108.280426,109.460495,1.0898267060752005,4.764208856737255,5
