Table 41,,,,,,,,,,,,,,,,,,,,,,,
Other Depository Corporation Survey,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,
1. Total Deposits,6452386.435051818,6852199.203820435,7263874.904280913,7949281.307786005,399812.76876861695,6.196354988856244,685406.4035050916,9.435823338603369,,,,,,,,,,,,,,,
1.1 Demand Deposits,374672.1937859969,377662.6699129186,517349.03199204453,541617.7549259299,2990.4761269217124,0.7981580102605093,24268.72293388541,4.69097677450735,,,,,,,,,,,,,,,
a.  Residential,353378.39788994496,353509.56414019637,492744.5198183363,510905.733583849,131.1662502514082,0.0371177896087067,18161.213765512686,3.685726179604862,,,,,,,,,,,,,,,
b. Non-Residential,21293.795896051903,24153.10577272225,24604.512173708237,30712.02134208096,2859.309876670348,13.4279012094809,6107.509168372722,24.82272001677421,,,,,,,,,,,,,,,
1.2 Saving Deposits,1954389.0016313286,2459908.175243382,2672596.2525514704,3670222.4844746827,505519.1736120533,25.865842122018513,997626.2319232123,37.32798139527434,,,,,,,,,,,,,,,
a.  Residential,1934153.6766563358,2433112.4811488576,2644888.382403364,3632735.1359053017,498958.8044925218,25.79726784456423,987846.7535019377,37.34927946578595,,,,,,,,,,,,,,,
b. Non-Residential,20235.324974992785,26795.6940945242,27707.870148106325,37487.34856938116,6560.369119531413,32.420379349671165,9779.478421274835,35.294948218685825,,,,,,,,,,,,,,,
1.3 Fixed Deposits,3642260.654014253,3483900.6339715896,3508695.500089126,3036470.4137879466,-158360.02004266344,-4.3478497308568445,-472225.0863011796,-13.458708123551455,,,,,,,,,,,,,,,
a.  Residential,3622636.1007036283,3463780.2946889396,3487824.217313461,3014523.5243778815,-158855.8060146887,-4.38508869228775,-473300.69293557946,-13.570084483791591,,,,,,,,,,,,,,,
