Table 42,,,,,,,,,,,,,,,,,,,,,
Other Depository Corporation Survey (y-o-y),,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,(Rs. in million),,,,,,,,,,,,,,,
Heading,2024,2025,2026,Changes,,,,,,,,,,,,,,,,,
,May,May (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,
,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,
1. Total Deposits,6153097.661689927,6852199.203820435,7949281.307786005,699101.5421305085,11.361781992884907,1097082.1039655693,16.010656890329347,,,,,,,,,,,,,,
1.1 Demand Deposits,306245.0917961834,377662.6699129186,541617.7549259299,71417.57811673521,23.320399258599732,163955.08501301135,43.41310329951756,,,,,,,,,,,,,,
a.  Residential,283454.57398999605,353509.56414019637,510905.733583849,70054.99015020032,24.714715012033203,157396.16944365262,44.52387867538196,,,,,,,,,,,,,,
b. Non-Residential,22790.517806187316,24153.10577272225,30712.02134208096,1362.5879665349348,5.978749487495237,6558.915569358709,27.15557838017726,,,,,,,,,,,,,,
1.2 Saving Deposits,1788460.5772217668,2459908.175243382,3670222.4844746827,671447.5980216151,37.54332673436147,1210314.3092313008,49.2016052229898,,,,,,,,,,,,,,
a.  Residential,1769207.251939926,2433112.4811488576,3632735.1359053017,663905.2292089316,37.52557697697447,1199622.654756444,49.30403604645564,,,,,,,,,,,,,,
b. Non-Residential,19253.325281840753,26795.6940945242,37487.34856938116,7542.368812683446,39.17436963368202,10691.654474856961,39.90064387636759,,,,,,,,,,,,,,
1.3 Fixed Deposits,3628674.4270923813,3483900.6339715896,3036470.4137879466,-144773.79312079167,-3.9897156945214673,-447430.22018364305,-12.842795107895483,,,,,,,,,,,,,,
a.  Residential,3605342.342302591,3463780.2946889396,3014523.5243778815,-141562.0476136515,-3.926452308083491,-449256.77031105803,-12.970128936870202,,,,,,,,,,,,,,
b. Non-Residential,23332.08478979,20120.339282650002,21946.8894100649,-3211.7455071399963,-13.765360172809931,1826.5501274148992,9.078127867306662,,,,,,,,,,,,,,
1.4 Call Deposits,388852.141262844,485167.8035142408,650459.1475325394,96315.6622513968,24.769225119501755,165291.34401829867,34.068902103774285,,,,,,,,,,,,,,
a.  Residential,375568.35684906394,474925.67480998987,640554.8822351549,99357.31796092592,26.45518882221921,165629.207425165,34.874763823082546,,,,,,,,,,,,,,
b. Non-Residential,13283.784413780002,10242.1287042509,9904.265297384616,-3041.6557095291028,-22.89750883320438,-337.8634068662832,-3.2987615819166196,,,,,,,,,,,,,,
1.5 Margin Deposits,40865.42431675133,45559.921178305274,50511.507064907084,4694.496861553947,11.487698806615855,4951.58588660181,10.868293356397764,,,,,,,,,,,,,,
a.  Residential,40861.52552584132,45559.185265624474,50509.843680529884,4697.65973978315,11.496535382195393,4950.658414905411,10.866433159507801,,,,,,,,,,,,,,
b. Non-Residential,3.89879091,0.7359126808,1.6633843772,-3.1628782292000004,-81.12459227006867,0.9274716964,126.03012838313357,,,,,,,,,,,,,,
2. Borrowings from Nepal Rastra Bank,0,0,0,0,-,0,-,,,,,,,,,,,,,,
3. Foreign Liabilities,56613.35745614839,39633.820884973844,14179.564748757262,-16979.536571174547,-29.992103161036805,-25454.25613621658,-64.22357362438127,,,,,,,,,,,,,,
4. Other Liabilities,1567780.436065839,1736362.5634136328,1897565.4115514527,168582.1273477939,10.752916892548486,161202.8481378199,9.283939399205906,,,,,,,,,,,,,,
4.1 Paid-up Capital,436455.8449851099,443669.97487091995,472591.0381841058,7214.12988581002,1.652888824539888,28921.063313185878,6.518598271519295,,,,,,,,,,,,,,
4.2 General Reserves,516242.8052240828,624266.4236912265,708587.5216844386,108023.61846714374,20.924963481138395,84321.09799321205,13.507229412504621,,,,,,,,,,,,,,
4.3 Debentures,177170.52288844917,182533.10003259784,191025.1636856745,5362.577144148672,3.026788574488252,8492.06365307665,4.6523417679095385,,,,,,,,,,,,,,
4.4 Other Liabilities,437911.26296819706,485893.0648188886,525361.6879972337,47981.801850691554,10.956969118690193,39468.62317834509,8.122903172749872,,,,,,,,,,,,,,
Assets =  Liabilities,7777491.455211914,8628195.588119041,9861026.284086214,850704.132907127,10.938027226465758,1232830.6959671732,14.288395335691876,,,,,,,,,,,,,,
5. Liquid Funds,570497.355310932,678333.3602540627,827399.2192315238,107836.00494313065,18.902104267312154,149065.85897746112,21.975310033643346,,,,,,,,,,,,,,
5.1 Cash in Hand,95965.48675250328,96261.2409788733,89152.87735181341,295.75422637003066,0.30818811676825664,-7108.3636270598945,-7.384450433814774,,,,,,,,,,,,,,
5.2 Balance with Nepal  Rastra Bank,254011.5330755501,279992.8572350199,331908.1515645898,25981.324159469805,10.228403350387337,51915.29432956991,18.541649541435746,,,,,,,,,,,,,,
5.3 Foreign Currency in Hand,4182.112637946992,4135.683321289663,5220.749085820316,-46.429316657329764,-1.1101880957496641,1085.0657645306537,26.236674334926814,,,,,,,,,,,,,,
5.4 Balance Held Abroad,216173.9452284317,297674.9336023798,400925.4286478002,81500.98837394812,37.70157790654455,103250.49504542036,34.685653170695765,,,,,,,,,,,,,,
5.5 Cash in Transit,164.2776165,268.64511650000003,192.01258149999998,104.36750000000004,63.53117498512041,-76.63253500000005,-28.525564133975255,,,,,,,,,,,,,,
6. Loans and Advances,6596664.686351781,7029037.846489001,7351590.883926023,432373.1601372203,6.554420767085252,322553.03743702173,4.588864713513197,,,,,,,,,,,,,,
6.1 Claims on Government,1146522.0000000002,1141141,1090069.0999999999,-5381.000000000233,-0.4693324681079152,-51071.90000000014,-4.47551179039226,,,,,,,,,,,,,,
6.2 Claims on  Non-Financial Government Enterprises,3921.9664420451,2979.96764029,1239.91150713,-941.9988017551,-24.018532939407226,-1740.05613316,-58.391779482231684,,,,,,,,,,,,,,
6.3 Claims on Other Financial Institutions,271826.2318364075,294426.0405087007,310171.22692800907,22599.808672293206,8.314064658003423,15745.18641930836,5.34775605856883,,,,,,,,,,,,,,
a.Government,563.4434820299999,489.50260218,0,-73.94087984999993,-13.123034023501761,-489.50260218,-100,,,,,,,,,,,,,,
b.Non-Government,271262.7883543775,293936.5379065207,310171.22692800907,22673.749552143214,8.358591935773456,16234.68902148836,5.5231952914446465,,,,,,,,,,,,,,
6.4 Claims on Private Sector,5174370.507599189,5590466.902324821,5950089.673375334,416096.3947256319,8.041488218026599,359622.7710505128,6.432785978948592,,,,,,,,,,,,,,
a.  Principal,5022267.099771813,5442649.77742226,5809707.480755232,420382.677650447,8.370376750164226,367057.7033329727,6.744099259438628,,,,,,,,,,,,,,
i. Non-financial Private Corporations,3197606.714501814,3434189.723174926,3645263.23363416,236583.0086731119,7.398752560787372,211073.510459234,6.1462390687051345,,,,,,,,,,,,,,
ii. Households,1824660.3852699988,2008460.0542473337,2164444.2471210733,183799.66897733486,10.073089242310571,155984.19287373964,7.766357739795547,,,,,,,,,,,,,,
b.  Interest Accrued,152103.40782737636,147817.12490256148,140382.192620101,-4286.282924814877,-2.8180058461802657,-7434.932282460475,-5.029817950634242,,,,,,,,,,,,,,
6.5 Foreign Bills Purchased & Discounted,23.980474139999988,23.93601519000029,20.972115550000062,-0.04445894999969724,-0.18539645938667526,-2.9638996400002284,-12.382594247510555,,,,,,,,,,,,,,
7. NRB Bond,0,0,200000.00000000006,0,-,200000.00000000006,-,,,,,,,,,,,,,,
8. Other Assets,610329.4180255984,920824.3815782391,1482036.2523533716,310494.96355264075,50.87334058992025,561211.8707751324,60.9466779988219,,,,,,,,,,,,,,
