Table 43,,,,,,,,,,,,,,,,,,,,,,,,
Condensed Assets and Liabilities of Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,,
1. Total Deposits,5746999.6900482075,6139174.28262014,6531868.762248276,7184915.488398223,392174.5925719328,6.823988406525269,653046.7261499474,9.997854364807662,,,,,,,,,,,,,,,,
1.1 Demand Deposits,362012.9741386625,365847.2531187963,502851.00209035806,526204.6942969435,3834.278980133764,1.0591551281433114,23353.69220658543,4.644256869232404,,,,,,,,,,,,,,,,
a.  Residential,340752.0661990806,341696.27911678405,478252.6307597598,495506.94612225256,944.2129177034367,0.277096754903253,17254.31536249275,3.607782634688756,,,,,,,,,,,,,,,,
b. Non-Residential,21260.907939581906,24150.97400201225,24598.371330598235,30697.74817469096,2890.0660624303455,13.593333222848141,6099.376844092727,24.795856449673288,,,,,,,,,,,,,,,,
1.2 Saving Deposits,1752142.72596397,2204743.69029443,2391465.654029256,3281181.6348247034,452600.9643304602,25.831284040029008,889715.9807954472,37.20379505749585,,,,,,,,,,,,,,,,
a.  Residential,1731965.6514728072,2178170.236109616,2364035.27064117,3243971.6269935523,446204.5846368086,25.762900335660284,879936.3563523823,37.22179475409127,,,,,,,,,,,,,,,,
b. Non-Residential,20177.074491162784,26573.454184814196,27430.383388086324,37210.00783115116,6396.379693651412,31.70122455786599,9779.624443064837,35.65252553966257,,,,,,,,,,,,,,,,
1.3 Fixed Deposits,3177729.882453583,3073890.7912687804,3112937.989238726,2735619.6009508064,-103839.09118480282,-3.2677129594358965,-377318.3882879196,-12.120973485250614,,,,,,,,,,,,,,,,
a.  Residential,3158976.3703879584,3053836.03894759,3092141.2951841108,2713799.3001813116,-105140.3314403682,-3.328303827339353,-378341.9950027992,-12.23559853464821,,,,,,,,,,,,,,,,
