Table 44,,,,,,,,,,,,,,,,,,,,,,,,
Condensed Assets and Liabilities of Development Banks,,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,,
1. Total Deposits,608251.531505441,608519.1142346755,629321.4174472609,643254.1988270516,267.582729234593,0.043992117631388064,13932.781379790627,2.2139372653653946,,,,,,,,,,,,,,,,
1.1 Demand Deposits,11488.85262449432,12558.43176469035,16678.153630604495,16694.7627267494,1069.5791401960287,9.309712424334506,16.60909614490447,0.09958594046301802,,,,,,,,,,,,,,,,
a.  Residential,11456.35431006432,12557.00343398035,16676.113597494495,16694.7146693594,1100.6491239160296,9.60732440815939,18.601071864904952,0.11154320673193106,,,,,,,,,,,,,,,,
b. Non-Residential,32.49831443,1.42833071,2.04003311,0.04805739,-31.06998372,-95.6049083312411,-1.99197572,-97.64428382243267,,,,,,,,,,,,,,,,
1.2 Saving Deposits,176769.54099116853,225395.84000876718,249682.57253127848,346517.26696876425,48626.29901759865,27.508301908204896,96834.69443748577,38.78312108681714,,,,,,,,,,,,,,,,
a.  Residential,176724.25106978853,225196.99798905718,249425.2432878285,346278.09704071423,48472.746919268655,27.428463623889815,96852.85375288574,38.83041366471506,,,,,,,,,,,,,,,,
b. Non-Residential,45.289921380000024,198.84201970999993,257.3292434499999,239.16992804999984,153.55209832999992,339.04253673049726,-18.159315400000082,-7.056840939078309,,,,,,,,,,,,,,,,
1.3 Fixed Deposits,374405.39279965,325801.87277769996,310027.49813295994,221351.24328566995,-48603.52002195007,-12.981522423732434,-88676.25484729,-28.602706334539345,,,,,,,,,,,,,,,,
a.  Residential,373586.60219465004,325766.84813624,309984.3086819099,221266.41038509994,-47819.754058410064,-12.800179068920277,-88717.89829680999,-28.620125539272944,,,,,,,,,,,,,,,,
