Table 45,,,,,,,,,,,,,,,,,,,,,,,
Condensed Assets and Liabilities of Finance Companies,,,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,
1. Total Deposits,126538.94700404005,125415.99939887713,130256.5482225073,138601.39608659214,-1122.9476051629172,-0.8874323927534061,8344.847864084833,6.406470905270703,,,,,,,,,,,,,,,
1.1 Demand Deposits,2596.9870165200005,1405.6479010320004,1948.7614242419995,1710.0070019069994,-1191.339115488,-45.873895707203474,-238.75442233500007,-12.251598341642422,,,,,,,,,,,,,,,
a.  Residential,2596.5973744800003,1404.9444610320004,1944.6606142419996,1695.7818919069994,-1191.652913448,-45.89286445252771,-248.87872233500025,-12.798054350065065,,,,,,,,,,,,,,,
b. Non-Residential,0.38964204,0.7034400000000001,4.10081,14.225109999999999,0.31379796000000004,80.53493406409638,10.124299999999998,246.88537142662054,,,,,,,,,,,,,,,
1.2 Saving Deposits,25476.755380490064,29768.652940185144,31448.033990935266,42523.59068121516,4291.89755969508,16.84632715428821,11075.556690279893,35.21859806394373,,,,,,,,,,,,,,,
a.  Residential,25463.794818040064,29745.255050185144,31427.876474365265,42485.419871035156,4281.46023214508,16.813912705233705,11057.543396669891,35.18387061782295,,,,,,,,,,,,,,,
b. Non-Residential,12.960562450000001,23.39789,20.15751657,38.170810180000004,10.43732755,80.53143982188827,18.013293610000005,89.36266304158124,,,,,,,,,,,,,,,
1.3 Fixed Deposits,90292.89376102,84299.48492510998,85821.52771744004,79604.58455147,-5993.408835910013,-6.637741450365837,-6216.943165970035,-7.244036934927077,,,,,,,,,,,,,,,
a.  Residential,90240.64312102,84268.92260510998,85790.12844744005,79562.82881147001,-5971.720515910012,-6.617550927580883,-6227.299635970034,-7.258760126213396,,,,,,,,,,,,,,,
