Table 47,,,,,,,,,,,,,,,,,,,,,
Sectorwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,
1. Agriculture*,418598.193524866,426570.1396775649,417888.87017153983,408100.9973540456,7971.946152698889,1.9044387376758545,-9787.872817494208,-2.342219072136659,,,,,,,,,,,,,
1.1 Farming /Farming Service,95114.9598056332,89110.7126845071,81925.2874550783,81014.82418666569,-6004.2471211261,-6.312621204272956,-910.4632684126118,-1.1113336268875977,,,,,,,,,,,,,
1.2 Tea,4712.239331098,3764.3241257499994,3675.98037567,3809.9582289099994,-947.9152053480002,-20.116024224243432,133.9778532399996,3.6446835822832764,,,,,,,,,,,,,
1.3 Animals Farming/Service,155169.5569712028,153358.39027333498,149989.55127632603,150767.44087677263,-1811.1666978678259,-1.1672178056188893,777.8896004465932,0.5186291937186249,,,,,,,,,,,,,
"1.4 Forest, Fish Farming, and Slaughter",2499.26859107,3329.1283336100005,3264.0226700799994,3442.80959063,829.8597425400003,33.20410401287507,178.78692055000056,5.477502414087663,,,,,,,,,,,,,
1.5 Other Agriculture and Agricultural Services,161102.168825862,177007.58426036278,179034.0283943855,169065.9644710673,15905.415434500785,9.872874803872573,-9968.063923318201,-5.567692361454343,,,,,,,,,,,,,
2. Mines,11897.775839580001,12148.83903311,11755.055361309996,13037.956661350001,251.0631935299989,2.110169135098292,1282.9013000400046,10.913613425101186,,,,,,,,,,,,,
"2.1 Metals (Iron, Lead, etc.)",6400.234087470001,6395.31855565,5965.896289199999,6709.493318319999,-4.915531820000979,-0.07680237555098673,743.5970291200001,12.464129329001683,,,,,,,,,,,,,
2.2 Charcoal,227.73479352000004,356.79928758,265.3652379,578.57618498,129.06449405999996,56.673155675997,313.21094708,118.030134451156,,,,,,,,,,,,,
