Table 48,,,,,,,,,,,,,,,,,,,,,,,,,,
Securitywise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mid Month),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Rs. in million),,,,,,,,,,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,,,,,,,,
1. Gold/Silver,58488.944414305006,76455.641517645,83287.016260375,117894.87033525492,17966.69710333999,30.718107983063142,34607.85407487991,41.55251998305178,,,,,,,,,,,,,,,,,,
2. Government Securities,3160.1267662500004,4624.63641695,4605.503625450001,86.60584999000001,1464.5096506999998,46.34338300415323,-4518.897775460001,-98.11951401989097,,,,,,,,,,,,,,,,,,
3. Non Government Securities,81650.69214075251,117262.4449095825,131074.3115706225,149752.96286715253,35611.75276882999,43.614759207969875,18678.651296530035,14.250428686376146,,,,,,,,,,,,,,,,,,
4. Fixed A/c Receipt,41599.250939389996,37956.43679301001,40105.482406219984,32748.852308189995,-3642.814146379984,-8.756922454415236,-7356.630098029989,-18.343203115016127,,,,,,,,,,,,,,,,,,
4.1 On Own Bank,41347.59522298,37678.42540172001,33838.728618289984,32736.33999908999,-3669.169821259995,-8.873961838585375,-1102.3886191999954,-3.257771979660458,,,,,,,,,,,,,,,,,,
4.2 On Other Banks,251.65571641,278.01139129,6266.75378793,12.512309100000001,26.35567488000001,10.472909280972216,-6254.24147883,-99.80033826884824,,,,,,,,,,,,,,,,,,
5. Asset Guarantee,4622564.169709054,4913797.108962467,4941760.860978542,5186602.807901492,291232.9392534131,6.300246541991076,244841.94692295045,4.954548668194116,,,,,,,,,,,,,,,,,,
5.1 Fixed Assets,3938320.1177588184,4108378.544162665,4132446.5994887236,4311473.580868455,170058.4264038466,4.318044783536332,179026.9813797311,4.332227339655901,,,,,,,,,,,,,,,,,,
