Table 49,,,,,,,,,,,,,,,,,,,
Productwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,,,,,,,,,,,,
(Mid-Month),,,,,,,,,,,,,,,,,,,
,,,,,,,,(Rs. in million),,,,,,,,,,,
Heading,2024,2025,2025,2026,Changes during Ten months,,,,,,,,,,,,,,
,Jul,May (R),Jul (R),May (P),2024/25,,2025/26,,,,,,,,,,,,
,,,,,Amount,Percent,Amount,Percent,,,,,,,,,,,
1. Term Loan,1931014.1955746382,2029993.8598739137,2067452.9579374385,2150126.646630645,98979.6642992755,5.125786466309263,82673.68869320629,3.9988183709719993,,,,,,,,,,,
a. Industrial Institutions,657080.1502706421,736441.9820883133,742466.1912050792,773191.9549452193,79361.83181767119,12.077953014557382,30725.76374014013,4.138338432659118,,,,,,,,,,,
b. Business Institutions,496107.5289252925,456908.8177666558,463018.19211977,480001.7295619458,-39198.71115863667,-7.901253029469644,16983.537442175788,3.6680065127511483,,,,,,,,,,,
c. Service Sector Institutions,332438.27602903254,378445.11049776094,403108.5239727284,429087.4124574626,46006.8344687284,13.83921100129593,25978.88848473417,6.444638835395038,,,,,,,,,,,
d. Others,445388.2403496706,458197.9495211836,458860.0506398605,467845.5496660174,12809.709171513037,2.8760770965700044,8985.499026156904,1.9582221232000943,,,,,,,,,,,
2. Overdraft*,124430.93405654797,108426.73731208192,111435.00022405687,110601.94810798836,-16004.19674446604,-12.86191160245803,-833.0521160685166,-0.7475677429833891,,,,,,,,,,,
3. Cash Credit Loan*,648711.5926445511,670470.6549038686,650703.0582639324,653152.6660511217,21759.062259317492,3.3541966115657114,2449.6077871893067,0.37645555158828203,,,,,,,,,,,
a. Industrial Institutions,156239.44258630247,168612.2716302583,165216.7924128083,169140.34429096707,12372.829043955833,7.919145664591971,3923.55187815876,2.3747900082428846,,,,,,,,,,,
b. Business Institutions,437632.2474273246,449132.024849457,429815.2427242838,428584.1482227492,11499.777422132436,2.6277262449774446,-1231.0945015345933,-0.2864241141685873,,,,,,,,,,,
c. Service Sector Institutions,36448.28542709599,46096.4602756436,48667.44815326038,46635.7215627495,9648.174848547613,26.470860660499195,-2031.7265905108798,-4.1747136281168835,,,,,,,,,,,
