Table 4,,,,,,,,,
Consumer Price Index by Ecological Belts,,,,,,,,,
(Base Year 2023/24=100),,,,,,,,,
Mid-Month,,,,,,,,,
,,Over-All,,,,,,,
,Groups & Sub-Groups,Weight %,2024/25,2025/26,,% Change,,,
,,,2081/82,2082/83,,,,,
,,,Apr/May,Mar/Apr,Apr/MayP,3 over 2,3 over 1,,
,,,Baisakh,Chait,Baisakh,,,,
,,,10th month,9th month,10th month,,,,
,,,1,2,3,,,,
,Overall Index,100,104.172775,108.21069,109.424385,1.1216036049673193,5.041249981101117,,
A,Kathmandu Valley,100,103.914154,107.99164,109.00291,0.9364335980081506,4.897076869816999,,
A.1,Food and Beverage,27.21341,102.39342,107.21924,107.77901,0.5220798058259106,5.259703211397749,,
A.2,Non-food and Services,72.78659,104.48272,108.280426,109.460495,1.0898267060752005,4.764208856737255,,
B,Terai,100,104.01949,108.35461,109.82984,1.3614833738961494,5.585828194312441,,
B.1,Food and Beverage,38.3537,102.16834,105.756966,107.261696,1.4228188051461217,4.985258642745876,,
B.2,Non-food and Services,61.6463,105.1712,109.97075,111.42763,1.324788636978468,5.948805376376782,,
C,Hill,100,104.19626,108.02752,109.120316,1.0115903799328123,4.72575119298908,,
C.1,Food and Beverage,35.46897,104.23239,107.06339,108.3535,1.2049964044665415,3.9537709919152775,,
C.2,Non-food and Services,64.53104,104.182816,108.56721,109.5483,0.9036706386762745,5.15006620669574,,
D,Mountain,100.00001,105.37439,108.549126,109.30983,0.7007923767161373,3.734721501116155,,
D.1,Food and Beverage,39.19607,103.29574,106.55676,107.44566,0.8342032922172109,4.017513210128513,,
D.2,Non-food and Services,60.80394,106.714355,109.833466,110.51152,0.6173473574985024,3.558251371148714,,
,"P= Provisional,   R=Revised",,,,,,,,
