,Table 52,,,,,,,,,,,,,,,
,Summary of  Monetary Operation#,,,,,,,,,,,,,,,
,(Rs. in Million),,,,,,,,,,,,,,,
,Details,2022/23,2023/24,2024/25,Mid-May,,,,,,,,,,,
,,,,,2024/25,2025/26,,,,,,,,,,
,A. Liquidity Injection,5518186.199999999,804762.5800000001,2900,2900,12500,,,,,,,,,,
,1. Repo,316500,0,0,0,0,,,,,,,,,,
,2. Outright Purchase,89700,0,0,0,0,,,,,,,,,,
,3. Repo Auction *,97972.6,0,0,0,0,,,,,,,,,,
,4. Standing Liquidity Facility,2727112.3,1200,0,0,0,,,,,,,,,,
,5. OLF,2286901.3,803562.5800000001,2900,2900,12500,,,,,,,,,,
,B. Liquidity Absorption,108200,4673600,24651350,19238550,37266600,,,,,,,,,,
,1. Reverse Repo,88200,0,0,0,0,,,,,,,,,,
,2. Outright Sale,0,0,0,0,0,,,,,,,,,,
,3. Deposit Collection Auction,20000,1151250,3142950,2468650,2794000,,,,,,,,,,
,4. Deposit Collection Auction *,0,0,0,0,0,,,,,,,,,,
,5. Standing Deposit Facility,0,3522350,21508400,16769900,34272600,,,,,,,,,,
,6.NRB Bond,0,0,0,0,200000,,,,,,,,,,
,C. Net Liquidity Injection (+) / Absorption (-),5409986.199999999,-3868837.42,-24648450,-19235650,-37254100,,,,,,,,,,
,* Transaction under Interest Rate Corridor,,,,,,,,,,,,,,,
,# As per Transaction Basis,,,,,,,,,,,,,,,
