Table 53,,,,,,,,,,,,,,,,,,,
Monetary Operations,,,,,,,,,,,,,,,,,,,
(Rs. in Million),,,,,,,,,,,,,,,,,,,
,Outright Sale Auction,,,,Outright Purchase Auction,,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,Check,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,Applicable only on Asar,,,,Applicable only on Asar,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,,,,,,,,,,,,,,,
Total,0,,0,,0,,0,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,
,Reverse Repo Auction (90 days),,,,Reverse Repo Auction (28 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,0,0,,0,0,0,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,
,Reverse Repo Auction (14 days),,,,Reverse Repo Auction (7 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,-,0,,0,0,0,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,
,Reverse Repo Auction (10 days),,,,Repo Auction (7 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,0,0,,0,,0,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,
,Repo Auction (14 days),,,,Repo Auction (45 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/226,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate* (%),,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,0,0,,0,0,0,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,
,Deposit Auction (2 days),,,,Deposit Auction (4 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,40000,2.9984,0,0,0,0,30100,2.7495,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,,,,,,,,,,,,,,,
July,0,0,,,8000,2.921,,,,,,,,,,,,,
Total,40000,2.9984,0,,8000,2.921,30100,,,0,,#DIV/0!,,0,,2.7495,,,
,Deposit Auction (7 days),,,,Deposit Auction (10 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,85700,2.974735705950992,44700,2.749,0,0,78450,2.7325,,,,,,,,,,,
November,16600,2.9955,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,3800,2.7424,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,102300,2.9781,44700,,0,,82250,,,,,,,,,,,,
,Deposit Auction (11 days),,,,Deposit Auction (12 days),,,,,,,,,,,,,,
Mid-month,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate* (%),Amount,Interest Rate* (%),Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,12500,2.7475,0,0,74550,2.7481,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,19200,2.9961,20000,2.4775,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,,12500,,19200,2.9961,94550,,,,,,,,,,,,
Mid-month,Deposit Auction (13 days),,,,Deposit Auction (14 days),,,,,,,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,26650,2.99893320825516,0,0,,,,,,,,,,,
November,32050,2.9962,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,9500,3,0,0,,,,,,,,,,,
January,0,0,0,0,63550,2.9983,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,27800,2.7345,,,,,,,,,,,
May,0,0,0,0,0,0,0,0,,,,,,,,,,,
June,0,0,0,0,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,32050,3,0,,99700,2.9986,27800,,,,,,,,,,,,
Mid-month,Deposit Auction (16 days),,,,Deposit Auction (18 days),,,,,,,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,20250,2.7373,,,,,,,,,,,
January,0,0,25000,2.4891,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,,,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,,25000,,0,,20250,,,0,,#DIV/0!,,0,,#DIV/0!,,,
Mid-month,Deposit Auction (19 days),,,,Deposit Auction (44 days),,,,,,,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
November,0,0,0,0,0,0,0,0,,,,,,,,,,,
December,0,0,0,0,0,0,0,0,,,,,,,,,,,
January,0,0,0,0,0,0,0,0,,,,,,,,,,,
February,0,0,0,0,0,0,0,0,,,,,,,,,,,
March,0,0,0,0,0,0,0,0,,,,,,,,,,,
April,0,0,0,0,0,0,0,0,,,,,,,,,,,
May,0,0,72000,2.737,0,0,0,0,,,,,,,,,,,
June,0,0,,,0,0,14000,2.7478,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,0,,72000,,0,,14000,,,#DIV/0!,,2.7457646464646466,,#DIV/0!,,2.6755469318948073,,,
Mid-month,Deposit Auction (20 days),,,,Deposit Auction (21 days),,,,,,,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,87800,2.9996,0,0,,,,,,,,,,,
September,0,0,0,0,336950,2.944,67900,2.7461,,,,,,,,,,,
October,0,0,0,0,13450,2.9983,0,0,,,,,,,,,,,
November,0,0,0,0,168100,2.91374753123141,0,0,,,,,,,,,,,
December,24050,2.9951,0,0,271000,2.9876,0,0,,,,,,,,,,,
January,0,0,0,0,292050,2.9832,0,0,,,,,,,,,,,
February,11250,2.9988,0,0,311650,2.9982,0,0,,,,,,,,,,,
March,0,0,0,0,183850,2.9954,0,0,,,,,,,,,,,
April,0,0,0,0,167150,2.9982,80000,2.74245,,,,,,,,,,,
May,0,0,0,0,256600,2.9921,0,0,,,,,,,,,,,
June,0,0,,,296850,2.9374,,,,,,,,,,,,,
July,0,0,,,0,0,,,,,,,,,,,,,
Total,35300,2.9988,0,,2385450,2.9732,147900,,,0,,0,,#DIV/0!,,2.6882,,,
Mid-month,Deposit Auction (22 days),,,,Deposit Auction (23 days),,,,,,,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,,,,,,,,,,,
,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,Amount,Interest Rate(%)*,,,,,,,,,,,
August,0,0,0,0,0,0,0,0,,,,,,,,,,,
September,0,0,0,0,0,0,0,0,,,,,,,,,,,
October,0,0,0,0,0,0,0,0,,,,,,,,,,,
