Table 54,,,,,,,,,,,,,,,,,,,,,,
Purchase/Sale of Foreign Currency,,,,,,,,,,,,,,,,,,,,,,
(Amount in Million),,,,,,,,,,,,,,,,,,,,,,
Mid-month,Purchase/Sale of Convertible Currency,,,,,,,,,,,,IC Purchase,,,,,,,,,
,2024/25,,,,,,2025/26,,,,,,2024/25,,2025/26,,,,,,,
,Purchase,,Sale,,"Net 
Injection",,Purchase,,Sale,,"Net 
Injection",,,,,,,,Check,,,
,US$,Nrs.,US$,Nrs.,US$,Nrs.,US$,Nrs.,US$,Nrs.,US$,Nrs.,IC Purchase,US$ Sale,IC Purchase,US$ Sale,,,,,,
August,413.43,55416.93,0,0,413.43,55416.93,554.22,77516.41,0,0,554.22,77516.41,28565.86,341,17540.18,200,,,0,0,0,0
September,421.3,56552.13,0,0,421.3,56552.13,510.23,71903.06,0,0,510.23,71903.06,18553.465,221,15735.19,180,,,0,0,0,0
October,632.55,84820.62,0,0,632.55,84820.62,796.9,112723.27,0,0,796.9,112723.27,25168.822,300,65516.65,740,,,0,0,0,0
November,448.31,60359.55,0,0,448.31,60359.55,240.25,34061.76,0,0,240.25,34061.76,28633.77,340,12415.412,140,,,0,0,0,0
December,316.15,42800.43,0,0,316.15,42800.43,794.6,114083.99,0,0,794.6,114083.99,37210.446,440,35728.22,400,,,0,0,0,0
January,293.03,40107.84,0,0,293.03,40107.84,573.78,82754.43,0,0,573.78,82754.43,22196.04,260,36134.794,400,,,0,0,0,0
February,341.48,47502.61,0,0,341.48,47502.61,486.88,70995.99,0,0,486.88,70995.99,29486.23,340,18156.15,200,,,,,,
March,331.88,46206.41,0,0,331.88,46206.41,692.2,101065.04,0,0,692.2,101065.04,26108.25,300,32739.772,360,,,,,,
April,428.15,50944.41,0,0,428.15,50944.41,621.73,92673.38,0,0,621.73,92673.38,25834.74,300,35446.092,380,,,0,0,0,0
May,583.13,79396.36,0,0,583.13,79396.36,1247.15,188480.75,0,0,1247.15,188480.75,23782.58,280,77528.11,820,,,,,,
June,796.96,109141.7104,0,0,796.96,109141.7104,,,0,0,0,0,29080,340,,,,,0,0,0,0
July,828.53,113754.4,0,0,828.53,113754.4,,,0,0,0,0,60137.82,700,,,,,0,0,0,0
Total,5834.9,787003.4004,0,0,5834.9,787003.4004,6517.939999999999,946258.0800000001,0,0,6517.939999999999,946258.0800000001,354758.02300000004,4162,346940.56999999995,3820,,,0,0,0,0
( Amount in Million),,,,,,,,,,,,,,,,,,,,,,
Mid-month,IC Purchase,,,,,,,,,,,,,,,,,,,,,
,2019/20,,,,,,,,,,,2020/21,,,,,,,,,,
,IC Purchase,US$ Sale,IC Purchase,EUR Sale,IC Purchase,GBP Sale,IC Purchase,JPY Sale,IC Purchase,CNH Sale,Total IC Purchase,IC Purchase,US$ Sale,IC Purchase,EUR Sale,IC Purchase,GBP Sale,IC Purchase,JPY Sale,IC Purchase,CNH Sale,Total IC Purchase
August,29255.412,420,0,0,0,0,0,0,0,0,29255.412,23980.2,320,0,0,0,0,0,0,0,0,23980.2
September,25809.83,360,0,0,0,0,0,0,0,0,25809.83,16260.5,220,0,0,0,0,0,0,0,0,16260.5
October,19924.12,280,0,0,0,0,0,0,0,0,19924.12,22036.05,300,0,0,0,0,0,0,0,0,22036.05
November,25612.583999999995,360,0,0,0,0,0,0,0,0,25612.583999999995,28154.42,380,0,0,0,0,0,0,0,0,28154.42
December,22891.522,320,0,0,0,0,0,0,0,0,22891.522,29541.660000000003,400,0,0,0,0,0,0,0,0,29541.660000000003
January,19973.440000000002,280,0,0,0,0,0,0,0,0,19973.440000000002,30847.33,420,0,0,0,0,0,0,0,0,30847.33
February,28451.51,400,0,0,0,0,0,0,0,0,28451.51,26302.24,360,0,0,0,0,0,0,0,0,26302.24
March,25973.332000000002,360,0,0,0,0,0,0,0,0,25973.332000000002,32031,440,,,,,,,,,32031
April,20912.972,280,0,0,0,0,0,0,0,0,20912.972,43782.6,600,,,,,,,,,43782.6
May,9159.2,120,0,0,0,0,0,0,0,0,9159.2,,,,,,,,,,,0
June,22677.300000000007,300,0,0,0,0,0,0,0,0,22677.300000000007,,,,,,,,,,,0
July,25691.172,340,0,0,0,0,0,0,0,0,25691.172,,,,,,,,,,,0
Total,276332.39400000003,3820,0,0,0,0,0,0,0,0,276332.39400000003,252936,3440,0,0,0,0,0,0,0,0,252936
,,,,,,,,,,,,,,,,,,,,,,
