Table 56,,,,,,,,,,,,,,,,,
Inter-bank Transaction Amount & Weighted Average Interest Rate,,,,,,,,,,,,,,,,,
(Rs. in Million),,,,,,,,,,,,,,,,,
Mid-month,Among Commercial Banks,,,,Among Others#,,,,Overall*,,,,,,,,
,2024/25,,2025/26,,2024/25,,2025/26,,2024/25,,2025/226,,,,,,
,Amount,Interest rate,Amount,Interest rate,Amount,Interest rate,Amount,Interest rate,Amount,Interest rate,Amount,Interest rate,,,,,
August,51500,2.993,87490,2.7491,650,3,7450,2.75,52150,2.9931,94940,2.7492,,,,,
September,138600,2.9979,110600.226,2.7485,2950,3,23200,2.75,141550,2.9979,133800.226,2.748766481904149,,,,,
October,181150,3,44700,2.75,27600,2.969779891304348,21990,2.236,208750,2.996002347305389,66690,2.5805,,,,,
November,99050,2.902751155477031,46120,2.75,30600,2.9428105,12600,2.75,129650,2.912209191284227,58720,2.75,,,,,
December,138250,2.9936721493670886,55800,2.7409946370967737,17010,3.0088183421516757,7050,2.75,155260,2.9953318955300783,62850,2.742004785202864,,,,,
January,137360,2.9988,51700,2.75,13260,3.0041,1590,2.75,150620,2.9993,53290,2.75,,,,,
February,191900,3,163450,2.75,10125.48,3,2480,2.75,202025.48,3,165930,2.75,,,,,
March,224900,3,69850,2.6928,28180,3,37790,2.6554,253080,3,107640,2.6797,,,,,
April,201100.4027,3,119300,2.75,17939.032,3,29050.02636986,2.75,219039.4337,3,148350.02636986,2.75,,,,,
May,107050,2.99971975712284,85850,2.75,1366.08447456,3,1350,2.75,108416.08447455999,2.9997232882911664,87200,2.75,,,,,
June,60350,2.9922,,,650,3,,,61000,2.9923,,,,,,,
July,40650,2.9163,,,1400,3,,,42050,2.9642,,,,,,,
Total,1571860.4027,2.9903,834860.226,,151730.59647455998,2.9843,144550.02636986,,1723590.9981745598,2.9909,979410.25236986,,,,,,
"# Interbank transaction among A & B, A & C, B & B, B & C and C & C class banks and financial institutions.",,,,,,,,,,,,,,,,,
"* Interbank transaction among A, B & C class banks and financial institutions.",,,,,,,,,,,,,,,,,
