Table 58,,,,,
Stock Market Indicators,,,,,
Particulars,Mid-May,,,% Change,
,2024,2025,2026,2 Over 1,3 Over 2
,1,2,3,,
NEPSE Index (Closing)*,1998.89,2620.27,2730.18,31.08625287034303,4.1946058993920445
NEPSE Sensitive Index (Closing)**,356.66,441.45,467.21,23.77334155778611,5.835315437761906
NEPSE Float Index (Closing)***,135.69,177.53,185.31,30.834991524799165,4.382357911338929
Banking Sub-Index,1056.8794,1305.7841,1443.0469,23.550908457483416,10.511906217880878
Market Capitalization (Rs. million),3169484.29,4358710.47,4656451.17,37.52112555825289,6.8309354807868345
Total Paid-up Value of Listed Shares (Rs. million),816697.44,861393.26,934080.3,5.472751328815249,8.438310743225458
Number of Listed Companies,272,271,294,-0.3676470588235361,8.487084870848705
Number of Listed Shares (In million),8281.3046,8737.91159,9480.27691,5.513708431881611,8.495912465509392
Ratio of  Market Capitalization to GDP (in %) †,55.02352404025183,70.30331257212859,70.55123218606266,27.769556382282985,0.3526428625674214
Twelve Months Rolling Standard Deviation of NEPSE Index,89.22509955248867,234.3680353809651,112.48527809397453,162.67052270767465,-52.00485513686635
Ratio of Traded Quantity of Shares (In Percent),18.74724195025987,45.06086814275035,35.41381989020403,140.35998608385023,-21.408926747671615
Ratio of Turnover to Market Capitalization (In Percent),16.65636241408851,40.197704161799955,30.514904765982976,141.33543184554742,-24.08794133327291
Market Concentration Ratio of Group A companies(In Percent),34.538660862079865,45.75543692857397,45.842559753504304,32.47600163563101,0.19040977592746344
Market Concentration Ratio of Top 10 companies(In Percent),27.81731440606067,26.64134812331318,24.337139994104138,-4.227461593097857,-8.648992230211832
Data Source: Nepal Stock Exchange Ltd.,,,,,
"*     Base: February 12, 1994",,,,,
"**   Base: July 16, 2006",,,,,
"*** Base: August 24, 2008",,,,,
†    GDP at Current Prices,,,,,
Share Trading Units (In Million),1552.51621,3937.3788200000004,3357.3281900000006,,
Share Trading Amount (In Million),527920.79,1752101.54,1420911.64,,
Market Capitalization of Group A Companies (In Million),1094697.43,1994347.02,2134636.41,,
Market Capitalization of Top 10 companies (In Million),881665.4099999999,1161219.23,1133247.04,,
Ratio of Turnover to Market Capitalization (In Percent),16.65636241408851,40.197704161799955,30.514904765982976,,
Ratio of Traded Quantity of Shares (In Percent),18.74724195025987,45.06086814275035,35.41381989020403,,
Market Concerntration Ratio Group A,34.538660862079865,45.75543692857397,45.842559753504304,,
Ratio of  Market Capitalization to GDP (in %) †,55.02352404025183,70.30331257212859,70.55123218606266,,
Market Concerntration Ratio Top 10,27.81731440606067,26.64134812331318,24.337139994104138,,
