Table 59,,
Public Issue Approval by SEBON,,
(Mid-July 2025 - Mid-May 2026),,
,,(Rs. Million)
Types of  Securities,Amount of Public Issue,Approval Date
A. Right Share,4941.775500000001,
1 Shiva Shree Hydropower Limited,1476.4,2082-04-04 00:00:00
2 City Hotel Limited,1339.2,2082-04-04 00:00:00
3 River Falls Power Limited,700,2082-04-09 00:00:00
4 Narayani Development Bank,262.467,2082-04-15 00:00:00
5 Buddha Bhumi Nepal Hydropower Company Limited,400,2082-10-21 00:00:00
6 United Ajod Insurance Limited,231,2082-10-27 00:00:00
7 Himalayan Power Partner Limited,532.7085,2082-11-25 00:00:00
B. Ordinary Share,9118.7946,
1 Sagar Distillery Limited (For General Public),145.2,2082-04-12 00:00:00
2 Shreenagar Agritech Industries Ltd. (For Local and public),326.25,2082-04-13 00:00:00
3 SY Panel Nepal Limited (For General Public),523.2548,2082-05-17 00:00:00
4 Solu Hydropower Limited (For Local and General Public),2000,2082-07-24 00:00:00
5 Salapa Bikas Bank Limited (For General Public),172.388,2082-08-08 00:00:00
6 Bhujung Hydropower Limited (For Local and General Public),200,2082-08-11 00:00:00
7 Ridge Line Energy Ltd. (For Local and General Public),260.7,2082-08-22 00:00:00
8 Suryakunda Hydro Electric Limited (For Local and Gen Public),137.935,2082-08-25 00:00:00
9 Super Khudi Hydropower Limited (For local and General Public),310,2082-09-06 00:00:00
10 Palpa Cement Industries Limited (For Local and General Public),750,2082-09-09 00:00:00
11 Shikhar Power Development Limited (For local and General Public),320,2082-09-16 00:00:00
12 Hotel Forest Inn Limited (For General Public),400,2082-09-20 00:00:00
13 Snow Rivers Limited (For local and General Public),187.5,2082-10-18 00:00:00
14 Kalinchock Hydropower Limited (For local and General Public),137.5,2082-10-19 00:00:00
15 Appolo Hydropwer Limited (For local and General Public),141,2082-10-20 00:00:00
16 Beni Hydropower Project Limited (For Local and General Public),208,2082-10-29 00:00:00
17 Taksar Pikhuwa Khola Hydropower Limited (For Local and General Public),423.0668,2082-11-01 00:00:00
18 Yambaling Hydropower Limited (For Local and General Public),280,2082-11-17 00:00:00
19 Sopan Pharmaceuticals Limited (For General Public),429,2082-11-17 00:00:00
20 Kalanga Hydro Limited (For Local and General Public),490,2082-11-26 00:00:00
21 Sanigad Hydro Limited (For Local and General Public),855,2082-11-26 00:00:00
22 Mount Everest Power Development Limited (For local and General Public),258,2083-01-02 00:00:00
23 Sarvottam Paints Industries Limited (For General Public),85,2083-01-02 00:00:00
24 Everest Colour Limited (For General Public),79,2083-01-02 00:00:00
C. Mutual Funds,27225,
1 NI 31,250,2082-04-08 00:00:00
"2 NMB Saral Bachat Fund - E (Total unit 36,00,00,000)",200,2082-04-12 00:00:00
"3 Citizens Sadabahar Yojana (Total unit 6,25,00,000)",125,2082-04-12 00:00:00
"4 Nabil Felxi Cap Fund (Total unit registered 17,50,00,000)",500,2082-04-12 00:00:00
5 HLI Large Cap Fund,4000,2082-04-22 00:00:00
6 RBB Focus 40,1000,2082-04-23 00:00:00
"7 NMB Saral Bachat Fund - E (Total unit 37,00,00,000)",100,2082-05-18 00:00:00
"8 Shubha Laxmi Kosh (Total unit registered 10,00,00,000)",500,1901-05-14 00:00:00
"9 Siddhartha Systematic Investment Plan (Tot unit 25,00,00,000)",500,2082-07-26 00:00:00
10 Machapuchhre SIP Yojana,500,2082-07-27 00:00:00
"11 NMB Saral Bachat Fund - E (Tot unit reg 40,00,00,000)",300,2082-07-28 00:00:00
"12 Nabil Felxi Cap Fund (Total unit registered 22,50,00,000)",500,2082-08-03 00:00:00
"13 NI-31 (Total unit registered 5,00,00,000)",250,2082-08-05 00:00:00
14 Citizen Santulit Yojana,1000,2082-08-09 00:00:00
"15 Citizens Sadabahar Yojana (Total unit reg 11,25,00,000)",500,2082-09-11 00:00:00
16 Nepal Life Samriddhi Lagani Yojana,1600,2082-09-13 00:00:00
"18 NMB Saral Bachat Fund - E (Total unit reg 43,00,00,000)",200,2082-09-28 00:00:00
19 Garima Subarna Yojana,1000,2082-10-21 00:00:00
"20 Siddhartha Systematic Investment Plan (Total unit registered 28,00,00,000)",300,2082-12-05 00:00:00
"21 NIBL Sabhagita Fund (Total unit registered 10,00,00,00,000)",4000,2082-12-05 00:00:00
"22 NMB Saral Bachat Fund E (Total unit registered 10,00,00,00,000)",5700,2082-12-08 00:00:00
LS Horizon 12,1200,2083-01-02 00:00:00
Siddhartha Equity Fund 2,1000,2083-01-02 00:00:00
Sanima Equity Fund II,1000,2083-01-03 00:00:00
Reliable Samriddhi Yojana,1000,2082-01-03 00:00:00
D. Debenture,200,
"1. ICFC Finance Ltd. (7 yrs,8% ICFC Finance Linited Debenture 2089)",200,2082-10-21 00:00:00
E. Further Public Offering,46.6817,
1. Vijay Laghubitta Bittiya Sanstha Limited,46.6817,2082-08-14 00:00:00
Total,41532.251800000005,
