Table 5,,,,,,,,,,,
National Consumer Price Index (Monthly Series),,,,,,,,,,,
(2023/24 = 100),,,,,,,,,,,
(y-o-y),,,,,,,,,,,
Mid-Month,2022/23,,2023/24,,2024/25,,2025/26,,,,
,Index,% Change,Index,% Change,Index,% Change,Index,% Change,,,
August,92.22477974522899,8.26,99.1642,7.52,103.222786,4.0920615,104.961876,1.684792735588431,,,
September,92.3760544332099,8.64,99.9436,8.19,103.80467,3.8625627,105.7418,1.8661299149643327,,,
October,92.94509584327011,8.5,99.9123,7.5,104.728485,4.82282170301744,106.267265,1.4693041725944767,,,
November,94.53887295525134,8.08,99.6274,5.38,105.20294,5.595851604234198,106.36603,1.1055679622641748,,,
December,94.1474848657205,7.38,98.8084,4.95,104.79062,6.053816401779983,106.500824,1.6320201178311464,,,
January,93.53533239630242,7.26,98.4523,5.26,103.77598,5.406829190900169,106.28665,2.419317071252891,,,
February,94.31107207565108,7.88,99.0371,5.01,103.15639,4.159413908110949,106.50496,3.24611010524893,,,
March,94.92464184271032,7.44,99.4983,4.82,103.228836,3.749435102931244,106.96442,3.6187407944810985,,,
April,95.7716972855261,7.76,100.187,4.61,103.58144,3.38808360603997,108.21069,4.469188688629927,,,
May,97.09535634407628,7.41,101.37,4.4,104.172775,2.765899558454791,109.424385,5.041249981101117,,,
June,97.62911114845933,6.83,101.699,4.17,104.46729,2.7231434746299215,,,,,
July,98.77484050637412,7.44,102.3,3.57,104.55471,2.2049167587984613,,,,,
Average,94.83816628564551,7.74,99.99996666666668,5.44,104.05724349999998,4.06,106.72288999999998,2.6552421543956526,,,
