Table 60,,,,,,,,,,,
Listed Companies and  Market Capitalization,,,,,,,,,,,
,Number of Listed Companies,,,Market Capitalization of Listed Companies (Rs  million),,,,,,,
,Mid-May,,,Mid-May,,,,,,,
Particulars,,,,2024,,2025,,2026,,% Change,
,2024,2025,2026,1,2,3,4,5,6,3 Over,5 Over
,,,,Value,Share %,Value,Share %,Value,Share %,1,3
Financial Institutions,134,132,133,1850024.8099999998,58.369899981425675,2285599.2,52.43750899463274,2358806.45,50.656741663386796,23.544245874194544,3.202978457465335
Commercial Banks,19,19,19,816106.32,25.74886780713464,1008307.96,23.13317125848652,1116221.09,23.971497701879706,23.551053985220946,10.702397906290457
Development Banks,16,16,17,150905.44999999998,4.7611988636801215,201882.34,4.63169877711171,216094.81,4.640761841637602,33.78068187729471,7.039976849881953
Finance Companies,20,20,20,69000.02,2.177010948364726,77864.49,1.7864111497490422,75927.73999999999,1.6305924168830384,12.847054247230645,-2.4873340851523125
Microfinance,55,50,50,317937.56,10.03120794771316,352530.43,8.08795242578259,363304.33,7.8021719798162446,10.88039739626862,3.0561617049626193
Insurance Companies,24,27,27,496075.45999999996,15.651614414533032,645013.98,14.798275383502874,587258.48,12.611717723170207,30.023359752566705,-8.954147009340787
Manufacturing & Processing,22,23,28,215316.49000000002,6.793423481521659,244089.09,5.60002989691575,407733.63,8.756317061276874,13.362933791090484,67.04295550448404
Hotel,7,7,9,92448.23000000001,2.9168224714563897,118725.5,2.723867541667966,155311.24999999997,3.335399506249307,28.423767550768673,30.815410337290615
Trading,4,4,4,15695.58,0.49520926951810196,244673.73,5.613443038318067,212178.86999999997,4.556664750522168,1458.8702679353041,-13.280894520224976
Investment,7,7,7,230882.28,7.284537763081955,347366.65,7.969482065714077,322007.79,6.915304743052617,50.45184498351284,-7.300315099333815
Hydro Power,91,91,103,455964.97000000003,14.386093391868492,677324.16,15.539553799407205,813992.1599999998,17.48095549134275,48.54741143820763,20.177635476637917
Others,7,7,10,309151.93,9.754013641127719,440932.15,10.116114663344192,386421.04000000004,8.298616784169493,42.62636173741501,-12.36269797972318
Total,272,271,294,3169484.29,100,4358710.48,100,4656451.1899999995,100,37.52112587376163,6.830935694540543
Source: http://www.nepalstock.com/reports/monthly.php,,,,,,,,,,,
