Table 61,,,,,,,,,
Structure of Share Price Indices,,,,,,,,,
(Mid-July - Mid-May),,,,,,,,,
Group,2023/24,2024/25,,,2025/26,,,% Change,
,Closing,High,Low,Closing,High,Low,Closing,4 Over 1,7 Over 4
,1,2,3,4,5,6,7,,
Commercial Banks,1056.8794,1712.1863,1255.4399,1305.7841,1567.1096,1326.1278,1443.0469,23.550908457483416,10.511906217880878
Development Banks,4102.5679,6126.2744,4653.319,5488.4457,6557.3524,5236.7407,5819.4075,33.78074010670247,6.030155313370415
Life Insurance Companies,9923.3985,14838.884,11086.4548,13336.0523,14495.869,11763.8209,12423.4999,34.3899703312328,-6.84274760980054
Non- Life Insurance Companies,10557.6413,14430.5247,11418.0248,12376.3763,13705.0798,10448.667,10705.0744,17.22671710773126,-13.503968039497963
Finance Companies,2136.609,3975.4904,2313.1544,2406.2076,2719.1056,2157.0252,2346.3574,12.618059738585785,-2.4873248675633874
Microfinance Institutions,4251.1524,5571.144,4608.9222,4649.6131,5688.961,4685.1767,4784.1043,9.373004364651791,2.8925245414505554
Manufacturing & Processing,6346.3761,8328.6077,6580.4385,7142.0619,11881.0841,6982.7858,11239.9517,12.537640181772389,57.37684519368278
Hotel,5114.9858,7780.6673,5761.6258,6568.8317,8457.9976,5895.077,7774.5536,28.423263657936246,18.355195490851145
Trading,2696.4989,5362.3425,3136.637,4358.51,4489.2975,3538.8789,3779.6609,61.63589015371008,-13.280894158783639
Mutual Fund,18.1686,22.3803,18.9038,19.5118,22.3379,19.8252,21.8173,7.392974692601513,11.81592677251713
Investment,74.2333,122.7419,86.1354,110.051,122.4772,98.9412,102.0171,48.25017882810005,-7.300160834522188
Hydro Power,2369.5534,3894.7642,2935.3021,3477.037,4129.684,3147.7499,3818.3964,46.73807309005991,9.817537173173605
Others,1605.7933,2554.4738,1730.3397,2290.2798,2774.995,1970.1019,1977.0957,42.62606526008045,-13.674490776192485
NEPSE Overall Index*,2120.6247,3000.8142,2310.5946,2594.1325,3002.0754,2487.1758,2730.1757,22.32869399285977,5.2442656649187995
NEPSE Sensitive Index**,388.17,535.5156,409.5156,441.4246,518.5973,435.2919,467.2096,13.719401293247799,5.841314688850602
NEPSE Float Index***,145.6489,206.8859,157.6853,176.1478,177.3073,147.605,157.4027,20.940013965090017,-10.641688400309278
Source: http://www.nepalstock.com/reports/monthly.php,,,,,,,,,
"*    Base: February 12, 1994",,,,,,,,,
"**  Base; July 16, 2006",,,,,,,,,
"***Base: August 24, 2008",,,,,,,,,
