Table 62,,,,,,,,,
Securities Market Turnover,,,,,,,,,
(Mid-July - Mid-May),,,,,,,,,
Particulars,2023/24,,,2024/25,,,2025/26,,
,Share Units ('000),Value (Rs                million),% Share of Value,Share Units ('000),Value (Rs                million),% Share of Value,Share Units ('000),"Value 
(Rs Million)",% Share of Value
,1,2,3,4,5,6,7,8,9
Commercial Banks,204159.98,52871.19,10.014985392032012,534785.25,157954.9,9.01516815058561,416357.28,116824.03,8.221765992430043
Development Banks,80890.34,28812.72,5.457773314818687,223822.52,138224.85,7.8890890079350084,161190.26,93469.38,6.578127546340602
Life Insurance Companies,90540.94,48362.62,9.160961438931018,145726.94,97067.56,5.540064761315146,88616.14,50401.07,3.5470938924815907
Non-life Insurance Companies,45504.54,30630.11,5.802027610998233,76774.07,66028.73,3.7685447157360525,36470.76,25297.14,1.780345750422595
Finance Companies,76808.97,34220.5,6.482127744959618,213897.9,161209.84,9.200941630357793,76994.49,46161.77,3.248743180117801
Microfinance,44131.57,36577.57,6.928609498406001,95312.86,114506.75,6.535394632436657,81801.9,84466.5,5.944528683008044
Manufacturing & Processing,81207.78,47889.36,9.071315414571947,95519.96,68225.21,3.893907313157205,131670.05,131196.4,9.23325534865771
Hotel and Tourism,29609.86,17275.62,3.2723886475469164,39445.3,30770.86,1.7562258406553308,38629.31,31208.01,2.1963371346581413
Trading,589.04,2986.19,0.5656511462638173,1001.98,5791.71,0.33055789677577707,510.62,2788.43,0.19624232228824587
Hydropower,541119.88,152378.23,28.863843380746566,1616257.92,631794.36,36.05923204656278,1638134.07,642290.21,45.20268480593206
Investment,63542.15,28474.77,5.393758029495296,207713.25,138059.77,7.8796671795631195,102407.99,72659.72,5.113598759737094
Mutual Fund,164032.37,1434.76,0.2717756199751103,430590.44,4274.96,0.24399042534943494,361512.91,3733.53,0.2627559585619272
Preferred Stock,0,0,0,0,0,0,0,0,0
Promoter Share,80176.87,13702.22,2.595506799419663,135727.06,25076.97,1.4312509536405065,126768.23,23006.49,1.6191358668861355
Debentures,1656.16,1650.02,0.3125506763997682,2443.22,2658.25,0.15171780512218486,2740.26,3377,0.23766432091442366
Others,48545.76,30654.91,5.8067252854353395,118360.15,110456.82,6.304247640807394,93523.92,94031.96,6.617720437563592
,1552516.21,527920.79,100,3937378.8200000003,1752101.54,99.99999999999999,3357328.1900000004,1420911.64,100.00000000000003
Source: http://www.nepalstock.com/reports/monthly.php,,,,,,,,,
"*     Base: February 12, 1994",,,,,,,,,
"**   Base; July 16, 2006",,,,,,,,,
"***Base:August24, 2008",,,,,,,,,
