Table 63,,,,,,,,,,,
Securities Listed  in Nepal Stock Exchange Ltd.,,,,,,,,,,,
(Mid-July - Mid-May),,,,,,,,,,,
Particulars,2023/24,,,2024/25,,,2025/26,,,% Change in Share Value,
,Share Units ('000),Rs  in million,% Share of Value,"Share Units
 ('000)",Rs  in              million,% Share of Value,Share Units ('000),Rs in million,% Share of Value,2024/25,2025/26
1. Institution-wise listing,,,,,,,,,,,
Commercial Banks,528137.1647748001,36524.73077748,29.117928843511375,202551.3988506,10671.57988506,18.26463815825255,375826.50858449994,24532.65085845,17.998982727515944,-70.78259125282928,129.8877122476984
Development Banks,21637.933575,3963.7933575,3.1599809355810726,258780.55681,14628.055681000002,25.036231453065056,28834.391189,2883.4391188999994,2.1155060330159494,269.04183345788863,-80.28829543870808
Insurance Companies,324098.4509,32409.845090000006,25.837495392073013,94654.59668999999,9465.459669000002,16.200337505588184,57308.09769,5730.809769,4.204549546727121,-70.79449271443586,-39.45555768655614
Finance Companies,2306.69911,230.669911,0.18389266428154935,839.24257,353.924257,0.6057489668032444,0,0,0,53.43321348920969,-100
Microfinance,14723.7607178,1472.37607178,1.173794872032642,32253.347520299998,3225.33475203,5.520229696030049,25064.844394199998,2506.48443942,1.83894396052879,119.05644990079165,-22.287618739653652
Manufacturing,0,0,0,0,0,0,107720.312445,10772.0312445,7.903165680248363,,
Hotel,0,0,0,0,0,0,48720.985,4872.0985,3.5745349026581654,,
Trading,0,0,0,0,0,0,0,0,0,,
Hydropower,311635.45290780003,31163.54529078,24.843931083756583,97688.82939099999,9768.882939100002,16.719652948742837,457955.3857995,45795.53857995001,33.59902330383096,-68.65285111835395,368.78992066383705
Others*,196722.94924999998,19672.294925,15.682976208763751,103143.08945000001,10314.308944999999,17.653161271518076,956270.3928400001,39207.15528399999,28.765293845474698,-47.569366033180295,280.1239180740867
Total,1399262.4112354002,125437.25542354002,99.99999999999999,789911.0612818999,58427.546128190006,99.99999999999999,2057700.9179422,136300.20779422,100,-53.42089881438423,133.28073285018237
2. Instrument-wise listing,,,,,,,,,,,
Ordinary Share,994818.064,84992.8207,67.757238798809,296934,20379.84,34.880533841497716,500388.148,45538.81480000001,33.41067158808186,-76.02169238277793,123.45030579239094
Right Share,200106.32771779998,20010.63277178,15.952702970273005,116506.837015,11650.683701500002,19.940395367517933,96369.71923999999,9636.971924,7.070401490912964,-41.7775348017461,-17.284065288294983
Bonus share,204035.7518876,20403.57518876,16.26596111328102,210792.7683219002,21079.276832189993,36.077635001035425,404997.2647021999,40329.84247022001,29.588980914180414,3.3116825712104827,91.3246018413337
Government Bond,0,0,0,0,0,0,0,0,0,,
Convertible Preference Share,0,0,0,0,0,0,88500,8850,6.4930201818630655,,
Debenture,0,0,0,0,0,0,7500,3450,2.5311773590313646,,
Mutual Fund,0,0,0,125000,1250,2.1394018452486447,950000,27500,20.176051412568846,,2100
FPO,302.26763,30.226763,0.024097117636972417,1068.855945,106.88559450000002,0.18293699048303877,9717.286,971.7286,0.712932588824129,253.61244106754015,809.1296208302418
Others,0,0,0,39608.6,3960.86,6.779096954217239,228.5,22.85,0.016764464537352662,,-99.4231050832395
Total,1399262.4112353998,125437.25542354,100,789911.0612819002,58427.54612819,99.99999999999999,2057700.9179421999,136300.20779422,100,-53.42089881438423,133.28073285018243
Source: http://www.nepalstock.com/reports/monthly.php,,,,,,0,,,,,
*others include govt. bond,,,,,,,,,,,
