Table 6,,,,,,,,,,,,
Consumer Price Inflation in Nepal and India (Monthly Series),,,,,,,,,,,,
(y-o-y),,,,,,,,,,,,
Mid-Month,2022/23,,,2023/24,,,2024/25,,,2025/26,,
,Nepal,India,Deviation,Nepal,India,Deviation,Nepal,India,Deviation,Nepal,India,Deviation
August,8.26,7,1.2599999999999998,7.52,6.83,0.6899999999999995,4.09,3.65,0.43999999999999995,1.684792735588431,2.07,-0.38520726441156894
September,8.64,7.41,1.2300000000000004,8.19,5.02,3.17,3.86,5.49,-1.6300000000000003,1.8661299149643327,1.54,0.32612991496433263
October,8.5,6.77,1.7300000000000004,7.5,4.87,2.63,4.82,6.21,-1.3899999999999997,1.4693041725944767,0.25,1.2193041725944767
November,8.08,5.88,2.2,5.38,5.55,-0.16999999999999993,5.6,5.48,0.11999999999999922,1.1055679622641748,0.71,0.3955679622641748
December,7.38,5.72,1.6600000000000001,4.95,5.69,-0.7400000000000002,6.05,5.22,0.8300000000000001,1.6320201178311464,1.33,0.30202011783114635
January,7.26,6.52,0.7400000000000002,5.26,5.1,0.16000000000000014,5.406829190900169,4.31,1.096829190900169,2.419317071252891,2.75,-0.3306829287471089
February,7.88,6.44,1.4399999999999995,5.01,5.09,-0.08000000000000007,4.159413908110949,3.61,0.549413908110949,3.25,3.21,0.040000000000000036
March,7.44,5.66,1.7800000000000002,4.82,4.85,-0.02999999999999936,3.749435102931244,3.34,0.4094351029312442,3.6187407944810985,3.4,0.21874079448109862
April,7.76,4.7,3.0599999999999996,4.61,4.83,-0.21999999999999975,3.38808360603997,3.16,0.22808360603997002,4.469188688629927,3.48,0.9891886886299273
May,7.41,4.31,3.1000000000000005,4.4,4.8,-0.39999999999999947,2.765899558454791,2.82,-0.05410044154520888,5.041249981101117,,
June,6.83,4.87,1.96,4.17,5.08,-0.9100000000000001,2.72,2.1,0.6200000000000001,,,
July,7.44,7.44,0,3.57,3.6,-0.03000000000000025,2.2,1.55,0.6500000000000001,,,
Average,7.74,6.06,1.6800000000000004,5.44,5.109166666666667,0.33916666666666667,4.06,3.9116666666666666,0.15580511386976023,2.6556311438707594,2.082222222222222,0.3083401619562754
Note :,,,,,,,,,,,,
1) CPI in Nepal (2023/24 = 100),,,,,,,,,,,,
2) CPI in India (2024 = 100),,,,,,,,,,,,
