Table 7,,,,,,,,,,
National Wholesale Price Index*,,,,,,,,,,
(2017/18 = 100),,,,,,,,,,
Mid-Month,,,,,,,,,,
Groups and Sub-groups,Weight %,2023/24,2024/25,,2025/26,,% Change,,,
,,2080/81,2081/82,,2082/83,,3 Over 1,3 Over 2,5 Over 3,5 Over 4
,,Apr/May,Mar/Apr,Apr/May,Mar/Apr,Apr/MayP,,,,
,,Baisakh,Chait,Baisakh,Chait,Baisakh,,,,
,,10th month,9th month,10th month,9th month,10th month,,,,
,,1,2,3,4,5,,,,
1. Overall,100,153.86165,158.46347,159.93617,164.68304,169.4728,3.948045,0.92937183,5.962767,2.908468
1.1 Primary,33.587116,161.2736,167.20987,170.79909,154.30266,153.01202,5.9064116,2.1465423,-10.414029,-0.83642966
Food,31.274027,162.25063,168.79973,172.76749,153.93124,150.83356,6.481864,2.3505738,-12.695637,-2.0123837
Nonfood,2.313089,148.064,145.71423,144.18553,159.32443,182.46599,-2.619443,-1.049103,26.549442,14.524807
1.2 Fuel and Power,8.763764,160.91052,153.7426,151.34106,179.29488,211.56084,-5.947066,-1.562044,39.790764,17.996027
Fuel and Power,5.66159,194.28543,183.18996,179.47255,222.7432,272.68875,-7.6242867,-2.0292618,51.93897,22.42293
Electricity,3.1021743,100,100,100,100,100,0,0,0,0
1.3 Manufactured,57.64912,148.47179,154.08536,154.91393,168.50952,172.66487,4.3389654,0.53773063,11.458589,2.4659493
"Food, Beverage & Tobacco",15.156263,164.96698,172.09785,172.10443,177.00096,175.49985,4.3265977,0.003829165,1.9728749,-0.8480867
Textiles,1.0134718,165.86807,169.43547,169.58347,177.8291,182.76703,2.2399695,0.087344505,7.774082,2.7767842
Leather and Leather Products,0.28707272,140.97577,143.00243,143.27237,148.55199,151.62537,1.6290698,0.18876986,5.830158,2.0688977
Wood and Wood Products,2.0731819,164.22818,165.78494,166.50739,169.54118,170.27399,1.3878331,0.43577138,2.26212,0.4322283
Paper and Paper Products,1.0835619,162.37788,164.19795,164.46114,166.70406,165.6458,1.2829641,0.16028018,0.7203318,-0.6348099
Chemicals and Chemical Products,6.549594,154.48354,155.56842,155.35696,159.15762,178.27042,0.5653837,-0.13592046,14.748903,12.008718
Rubber and Plastics Products,1.9205185,119.54922,121.62479,122.46952,122.69214,129.8954,2.4427655,0.6945412,6.063446,5.871
Non-metallic Mineral Products,4.5007596,103.44815,103.99091,106.63569,110.76653,107.591644,3.08129,2.5432765,0.8964733,-2.866285
Basic Metals,12.554123,160.14516,173.28346,175.73103,225.05957,235.2781,9.7323475,1.4124683,33.88535,4.5403733
Electric and Electronic Products,4.454417,104.76849,105.7101,105.77681,106.912895,107.41688,0.96242476,0.063111946,1.5504938,0.47139466
Machinery and Equipment,3.174527,136.71912,138.25143,138.25143,140.73302,140.8418,1.1207876,0,1.8736554,0.07729671
"Transport, Equipments and Parts",3.8028646,147.3124,151.90479,151.90479,154.79721,154.79721,3.1174536,0,1.9041007,0
Other,1.0787641,144.24115,145.30353,147.61215,151.17352,151.58524,2.3370628,1.5888335,2.6915693,0.27235076
2. Broad Economic Classification,100,153.86165,158.46347,159.93617,164.68304,169.4728,3.948045,0.92937183,5.962767,2.908468
Consumption Goods,32.90478,156.78517,170.73373,173.85133,161.1795,158.84094,10.88506,1.826002,-8.634038,-1.4509022
Intermediate Goods,56.298317,157.45448,156.80043,157.60915,172.40309,182.17525,0.0982282,0.5157585,15.586727,5.668204
Capital Goods,10.796903,126.21778,129.73996,129.66202,135.10582,135.64014,2.7288046,-0.06008126,4.6105423,0.39548045
3. Construction Material,14.026107,137.0458,138.18051,140.70277,140.89645,144.17502,2.668429,1.8253394,2.4677908,2.3269367
P=Provisional,,,,,,,,,,
* Prices are collected for 262 items from 24 market centers.,,,,,,,,,,
