Table 9,,,,,,,,,,,
Salary and Wage Index by Province,,,,,,,,,,,
(2023/24 = 100),,,,,,,,,,,
Mid-Month*,,,,,,,,,,,
S.N.,Provinces,Weight %,2023/24,2024/25,,2025/26,,% Change,,% Change,
,,,2080/81,2081/82,,2082/83,,,,,
,,,Mar/Apr,Dec/Jan,Mar/Apr,Dec/Jan,Mar/Apr,3 over 1,3 over 2,5 over 3,5 over 4
,,,Chait,Poush,Chait,PoushR,ChaitP,,,,
,,,3rd Quarter,2nd Quarter,3rd Quarter,2nd Quarter,3rd Quarter,,,,
,,,1,2,3,4,5,,,,
,Overall Index (National),100,100.33229190986965,102.79278225942272,102.94228954154175,108.80289397212125,109.42840165874333,2.6013535442972966,0.14544531126875881,6.300726500340886,0.5748998613789951
1,Koshi Province,15.585547093124354,100.05023956298828,101.17813110351562,101.2134017944336,108.01705932617188,109.76195526123047,1.162578157259702,0.03485999448031407,8.446068717420602,1.6153892227242181
2,Madesh Province,15.985863149623746,101.2920150756836,103.2339859008789,103.36264038085938,106.95015716552734,107.24201965332031,2.044213755278392,0.12462415246079672,3.7531735433292255,0.27289580074318565
3,Bagmati Province,31.889027822786336,100.33184051513672,102.14434814453125,102.25418090820312,106.98210906982422,107.40042877197266,1.91598238724265,0.10752701022327926,5.032799459211816,0.39101837287149976
4,Gandaki Province,9.881677495042258,99.82530975341797,102.5098876953125,103.07273864746094,112.46089935302734,113.79364776611328,3.2531117630033606,0.549069913939789,10.401304223923844,1.1850771430364375
5,Lumbini Province,15.682755063806756,100.0140380859375,103.38743591308594,103.26410675048828,112.3097915649414,112.08152770996094,3.249612481158053,-0.11928834631447671,8.538708402114722,-0.20324483894040668
6,Karnali Province,4.711015471012407,100.69464874267578,103.39034271240234,103.8464126586914,105.46049499511719,105.04134368896484,3.1300212626690183,0.4411146479683197,1.1506714576658368,-0.39744864289869497
7,Sudurpaschim Province,6.264113904604131,99.91119384765625,107.49331665039062,107.98270416259766,112.71875,114.2728042602539,8.078684683969215,0.455272502009322,5.825099627237321,1.378700757641397
,"R Revised
P Provisional",,,,,,,,,,
,"*Salary and Wage Index has been published quarterly since fiscal year 2024/25. This index is based on the data of mid April 2026( 2082, Chait).",,,,,,,,,,
