,,,,,,,,,,,,Annex,,,,,,,,,,
,,,,,,,,,,,,Number of Nepalese Obtaining Labor Permit for Foreign Employment (Countrywise),,,,,,,,,,
,,,,,,,,,,,,a) Institutional and Individual (New),,,,,,,,,,(in Numbers)
Fiscal Year,Month,Afghanistan,Bahrain,Cyprus,Israel,Japan,Jordan,Kuwait,Lebanon,Malaysia,Maldives,Malta,Oman,Poland,Qatar,Romania,Saudi Arabia,South Korea,Turkey,UAE,Other,Total
2072/73,Shrawan,106,201,,7,298,,912,8,9630,,,380,,9558,,12237,356,,3717,702,38112
,Bhadra,108,195,,6,286,,1047,6,6730,,,182,,11600,,14074,624,,4447,614,39919
,Asoj,116,197,,17,336,,723,15,6171,,,225,,12175,,9968,276,,4644,621,35484
,Kartik,117,134,,28,352,,563,28,3104,,,304,,8050,,5873,145,,3785,578,23061
,Mangsir,151,222,,24,510,,869,32,5566,,,332,,12744,,11607,273,,5308,712,38350
,Poush,83,247,,14,399,,1056,11,4134,,,323,,10625,,13091,283,,4506,617,35389
,Magh,104,302,,15,415,,855,11,3675,,,249,,10415,,13656,85,,3826,611,34219
,Fagun,137,536,,14,296,,724,15,3966,,,279,,11418,,12840,96,,4742,638,35701
,Chaitra,155,242,,8,318,,587,14,4291,,,233,,10200,,9382,1199,,4375,611,31615
,Baishak,136,233,,17,301,,938,13,4396,,,284,,12127,,11660,1742,,4261,670,36778
,Jestha,169,368,,19,171,,1070,5,4217,,,148,,11567,,13012,1096,,5044,801,37687
,Asad,37,269,,20,162,,705,9,5099,,,120,,8559,,11129,1257,,4138,894,32398
,Total,1419,3146,,189,3844,,10049,167,60979,,,3059,,129038,,138529,7432,,52793,8069,418713
2073/74,Shrawan,0,305,,15,254,,731,31,6775,,,294,,9551,,10788,774,,5041,926,35485
,Bhadra,0,313,,4,246,,467,12,7334,,,254,,11288,,9255,7,,4797,782,34759
,Asoj,11,275,,12,247,,844,11,5243,,,185,,8495,,6116,5,,2931,574,24949
,Kartik,192,396,,25,293,,1279,6,5334,,,260,,10375,,5721,11,,5729,967,30588
,Mangsir,199,278,,9,355,,1221,5,7191,,,160,,12479,,7017,3,,4011,722,33650
,Poush,151,365,,5,234,,1157,11,6924,,,263,,10588,,5583,15,,3887,819,30002
,Magh,150,360,,9,148,,1510,27,9873,,,397,,13653,,5401,103,,6275,790,38696
,Fagun,152,417,,11,117,,1385,17,8181,,,325,,9644,,5372,213,,5634,773,32241
,Chaitra,147,471,,14,97,,1422,13,12783,,,375,,13923,,7023,1020,,3265,953,41506
,Baishak,154,246,,12,94,,1403,3,9157,,,151,,10174,,4874,874,,4985,989,33116
,Jestha,144,398,,8,94,,1594,3,11474,,,371,,9621,,5286,1168,,6194,1498,37853
,Asad,81,183,,6,72,,563,1,8168,,,151,,6101,,4448,1615,,3777,967,26133
,Total,1381,4007,0,130,2251,0,13576,140,98437,0,0,3186,0,125892,0,76884,5808,0,56526,10760,398978
2074/75,Shrawan,117,454,144,3,58,359,721,2,11231,132,48,180,177,7159,5,4194,904,59,4997,365,31309
,Bhadra,114,253,124,5,40,351,1447,0,12089,119,56,344,200,7418,13,4575,449,40,5297,396,33330
,Asoj,108,357,171,6,78,107,1428,0,75,258,178,253,107,7595,34,3113,383,34,5843,511,20639
,Kartik,118,359,128,14,71,112,849,2,70,157,205,146,131,5060,31,1774,569,25,4730,452,15003
,Mangsir,108,392,134,4,82,72,1350,0,85,116,209,215,73,7283,84,3974,491,53,5096,439,20260
,Poush,137,413,75,5,85,32,1589,0,61,210,121,269,75,6834,99,4650,611,15,5363,414,21058
,Magh,175,367,136,1,55,93,1110,1,62,132,78,190,81,6398,107,3895,309,67,5225,372,18854
,Fagun,169,388,153,7,85,113,854,1,56,117,37,219,64,6592,26,5108,429,63,5590,424,20495
,Chaitra,207,325,142,4,95,101,1205,6,154,117,76,264,75,6497,120,3922,1086,88,4969,366,19819
,Baishak,197,417,136,5,130,162,1658,0,2488,106,214,246,62,5745,86,5333,707,165,5048,456,23361
,Jestha,203,355,189,1,105,73,1549,0,1978,193,87,289,42,5296,156,4634,746,218,5569,474,22157
,Asad,216,419,184,2,82,366,1497,1,2668,88,16,187,43,3446,350,4772,1060,158,6325,557,22437
,Total,1869,4499,1716,57,966,1941,15257,13,31017,1745,1325,2802,1130,75323,1111,49944,7744,985,64052,5226,268722
2075/76,Shrawan,105,403,177,1,54,155,1676,0,409,298,313,227,190,7852,38,2676,843,602,5183,458,21660
,Bhadra,87,438,105,8,37,72,1230,0,1893,182,183,217,165,6426,47,2229,507,93,3835,371,18125
,Asoj,108,357,171,6,78,107,1428,0,75,258,178,253,107,7595,34,3113,383,34,5843,511,20639
,Kartik,118,359,128,14,71,112,849,2,70,157,205,146,131,5060,31,1774,569,25,4730,452,15003
,Mangsir,108,392,134,4,82,72,1350,0,85,116,209,215,73,7283,84,3974,491,53,5096,439,20260
,Poush,137,413,75,5,85,32,1589,0,61,210,121,269,75,6834,99,4650,611,15,5363,414,21058
,Magh,175,367,136,1,55,93,1110,1,62,132,78,190,81,6398,107,3895,309,67,5225,372,18854
,Fagun,169,388,153,7,85,113,854,1,56,117,37,219,64,6592,26,5108,429,63,5590,424,20495
,Chaitra,207,325,142,4,95,101,1205,6,154,117,76,264,75,6497,120,3922,1086,88,4969,366,19819
,Baishak,197,417,136,5,130,162,1658,0,2488,106,214,246,62,5745,86,5333,707,165,5048,456,23361
,Jestha,203,355,189,1,105,73,1549,0,1978,193,87,289,42,5296,156,4634,746,218,5569,474,22157
,Asad,216,419,184,2,82,366,1497,1,2668,88,16,187,43,3446,350,4772,1060,158,6325,557,22437
,Total,1830,4633,1730,58,959,1458,15995,11,9999,1974,1717,2722,1108,75024,1178,46080,7741,1581,62776,5294,243868
2076/77,Shrawan,139,427,217,19,156,369,1535,0,4128,54,14,307,20,7596,70,6584,172,71,9524,364,31766
,Bhadra,133,497,205,22,185,274,1318,2,4878,84,44,460,10,9798,220,8747,690,78,10219,353,38217
,Asoj,120,561,257,51,332,427,1635,2,3821,107,30,370,13,8665,163,7833,716,78,10361,572,36114
