Annex 12,,,,,,,,,,,,,,,,,,,,
Government Budgetary Operations (Annual Series),,,,,,,,,,,,,,,,,,,,
(Rs. in million),,,,,,,,,,,,,,,,,,,,
Fiscal Year,Nepali Year,Expenditure,,,,Revenue**,Foreign Assistance,,,Domestic Loan,,,,,,,,,,
,,Recurrent,Capital,Financial*,Total,,Foreign Grants,Foreign Loan,Total,,,,,,,,,,,
1974/75,2031/32,532,967.3,14.5,1513.8,1007,282.8,104,386.8,100,,,,,,,,,,
1975/76,2032/33,658.4,1238.9,16.1,1913.4,1112,359.7,146,505.7,200,,,,,,,,,,
1976/77,2033/34,792.9,1498.3,39.2,2330.3999999999996,1331.5,392.6,164.3,556.9000000000001,300,,,,,,,,,,
1977/78,2034/35,822.6,1808,44.3,2674.9,1553.4,466.6,381.8,848.4000000000001,240,,,,,,,,,,
1978/79,2035/36,985.1,1978.8,56.6,3020.5,1797.8999999999999,599.2,390.18,989.3800000000001,200,,,,,,,,,,
1979/80,2036/37,1067.1999999999998,2308.6,94.9,3470.7,1857.1,805.6,534.9,1340.5,180,,,,,,,,,,
1980/81,2037/38,1274.9,2731.1,86.3,4092.3,2400.4,868.9,693.3,1562.1999999999998,250,,,,,,,,,,
1981/82,2038/39,1530.6000000000001,3726.9,103.8,5361.3,2676,993.3,729.9,1723.1999999999998,500,,,,,,,,,,
1982/83,2039/40,1903.5,4982.1,93.6,6979.200000000001,2835.2999999999997,1090.1,985.8,2075.8999999999996,1000,,,,,,,,,,
1983/84,2040/41,2107,5163.8,166.5,7437.3,3406.3,876.6,1670.9,2547.5,1576.8,,,,,,,,,,
1984/85,2041/42,2731.4,5488.7,174.7,8394.800000000001,3916.6000000000004,923.4,1754.9,2678.3,1799.9,,,,,,,,,,
1985/86,2042/43,3241.2,6213.1,342.8,9797.099999999999,4644.5,1172.9,2501.1,3674,1403.4,,,,,,,,,,
1986/87,2043/44,3784.6,7378,350.6,11513.2,5975.099999999999,1285.1,2705.8,3990.9,1644.7,,,,,,,,,,
1987/88,2044/45,4279.5,9428,397.5,14105,7290.4,2076.8,3815.8,5892.6,1130,,,,,,,,,,
