Annex 13,,,,,,,,,,,,
Government Budgetary Operations,,,,,,,,,,,,
(Growth rate in Percent),,,,,,,,,,,,
Fiscal Year,Nepali Year,Expenditure,,,,Revenue,Foreign Assistance,,,Domestic Loan,,
,,Recurrent,Capital,Financial*,Total,,Foreign Grants,Foreign Loan,Total,,,
1975/76,2032/33,23.759398496240607,28.078155691098942,11.034482758620683,26.39714625445899,10.427010923535263,27.192362093352187,40.38461538461539,30.739400206825223,100,,
1976/77,2033/34,20.428311057108147,20.93792880781338,143.47826086956525,21.79366572593287,19.739208633093526,9.146510981373382,12.534246575342479,10.124579790389589,50,,
1977/78,2034/35,3.745743473325774,20.670092771808044,13.01020408163265,14.782869893580525,16.66541494555014,18.848700967906268,132.37979306147292,52.3433291434728,-20,,
1978/79,2035/36,19.754437150498433,9.446902654867245,27.765237020316036,12.920109162959363,15.73966782541521,28.418345477925413,2.1948664222105805,16.617161716171623,-16.666666666666657,,
1979/80,2036/37,8.334179271139973,16.66666666666667,67.66784452296821,14.904817083264348,3.29273040769786,34.44592790387182,37.09057358142397,35.48889203339462,-10,,
1980/81,2037/38,19.462143928036,18.301134886944467,-9.062170706006327,17.909931714063447,29.255290506704,7.857497517378349,29.613011777902415,16.538604998135014,38.888888888888886,,
1981/82,2038/39,20.056475017648438,36.461499029695005,20.27809965237543,31.009456784693214,11.481419763372756,14.316952468638505,5.279099956728686,10.30597874791961,100,,
1982/83,2039/40,24.36299490395922,33.67946550752637,-9.826589595375722,30.17738235129542,5.95291479820628,9.7452934662237,35.059597205096594,20.467734447539442,100,,
1983/84,2040/41,10.69083267664827,3.6470564621344295,77.88461538461539,6.563789546079761,20.13896236729802,-19.58535914136317,69.49685534591197,22.71785731489959,57.68000000000001,,
1984/85,2041/42,29.63455149501661,6.291878074286373,4.924924924924909,12.874295779382308,14.981064498135808,5.338809034907598,5.027230833682438,5.134445534838079,14.148909183155766,,
1985/86,2042/43,18.664421175953706,13.198025033250133,96.22209502003437,16.704388430933406,18.58499719144156,27.019709768247793,42.52094136418029,37.176567225478834,-22.029001611200613,,
1986/87,2043/44,16.765395532518838,18.74909465484218,2.275379229871646,17.51640791662841,28.64893960598556,9.566032909881471,8.184398864499641,8.625476320087103,17.19395753170869,,
1987/88,2044/45,13.076679173492579,27.785307671455683,13.377067883628072,22.51155195775283,22.013020702582395,61.606100692553156,41.02298765614606,47.650905810719394,-31.294460995926315,,
1988/89,2045/46,20.156560345834777,30.76792532880779,34.36477987421384,27.649769585253424,6.669044222539242,-19.077426810477675,48.49834897007179,24.681804296914777,17.69911504424779,,
1989/90,2046/47,14.147916220999221,5.423885536305235,50.19659239842727,9.243543460149965,19.433942854203636,17.54135427823398,5.174361146406909,8.00326663944466,61.65413533834587,,
1990/91,2047/48,16.3844214256508,22.942873629544152,-7.878334579905271,19.728714290798337,15.530959635655009,9.587931558165437,4.985233908315976,6.131064902331445,111.75348837209302,,
1991/92,2048/49,27.331547436066344,3.337401045089024,63.32882273342355,12.180145903574541,25.929135912920273,-24.0668883961567,8.953601738935873,0.4654752716261896,-54.33918334175324,,
1992/93,2049/50,13.65538489837212,17.56697834407248,32.38608119304061,16.956113588359557,12.104908715504692,130.76408322180316,1.5256201499215223,26.634912004916885,-22.07042524533385,,
1993/94,2050/51,6.319920697537967,9.141014546503484,18.793416358971143,8.737543571204327,29.259195690633987,-36.89926976511217,32.404745047609424,7.868062944503549,12.345679012345684,,
1994/95,2051/52,58.04300256873748,-6.57582994308153,39.77452323253607,16.25899623185127,25.507259699602145,64.48445855614972,-20.202758741106123,-2.663274841657156,4.395604395604408,,
1995/96,2052/53,12.65658955327207,26.196646610995742,7.323232323232332,19.156169994879676,13.501009147433194,22.554672220670042,29.4243945133542,27.020107739079407,15.789473684210535,,
1996/97,2053/54,10.759094600948998,6.253113428474208,21.27480245829676,8.983978050122062,8.892163294865014,24.10704441358726,-4.440854193302982,5.1991811883266905,36.363636363636346,,
1997/98,2054/55,12.134852059301721,9.047194733559792,13.838936669272854,10.635168028457812,8.443243100871172,-9.78040638987197,22.23544946925027,9.481236284594814,13.333333333333329,,
1998/99,2055/56,37.434604529496795,-20.56327139700103,18.098799348799346,6.166763806668769,13.094641734901131,-19.73203692289468,7.218066252042604,-1.629221682867751,38.529411764705884,,
1999/00,2056/57,11.378904464660238,10.823717711735782,12.27733861761476,11.234663220262163,15.13677485168185,31.709567364953614,-0.3390611582397298,8.245840277091858,16.772823779193203,,
2000/01,2057/58,28.832095246928702,11.092709383965115,9.167993554204173,20.46489871364443,13.998731627247608,18.2390407290616,1.9621922907639942,7.267398763221806,27.272727272727266,,
2001/02,2058/59,6.602919456425212,-12.483749717386388,13.079464379854471,0.29698716479342124,3.1742395732774895,-0.9963092801060185,-36.07861690102629,-23.47447534242808,14.285714285714278,,
2002/03,2059/60,6.60323879182792,-9.757643278677946,48.557087134221206,4.912941070683715,11.466014875430147,69.59181231622432,-40.94563659252955,10.432651078412519,11.000000000000014,,
2003/04,2060/61,6.645357598794405,3.307822026203141,12.923270045504466,6.471553851446487,10.850671442316084,-0.4917125152105939,67.80202809989305,19.053840627301398,-36.84909909909909,,
2004/05,2061/62,11.042480842308393,18.380903721921072,25.36771994182439,14.66631113138483,12.502767483274766,27.542963595160685,21.459459246898987,25.08896289097406,59.386925353971264,,
2005/06,2062/63,8.642659333665463,8.287342204575012,5.4048526156183385,8.12069516411431,3.0774013498925683,-3.91679064315133,-11.351286891075347,-6.828746306636845,32.40174086215191,,
2006/07,2063/64,15.077524653234534,34.19269565668526,17.438226860344656,20.484817821414026,21.346917148228954,14.270853628038864,22.39014743182777,17.296665794535954,51.19146203376653,,
2007/08,2064/65,18.573721772144026,34.69981047020002,-2.181193030210764,20.766725097788566,22.699977366053247,28.605513644878755,-10.678868055900935,13.329697574484697,14.55430548336436,,
2008/09,2065/66,39.68646394793046,36.57359934673866,14.93395944321378,36.14010172922326,33.31236801862613,29.83247132234618,11.013051370282525,24.06479048210619,-10.1447083390254,,
2009/10,2066/67,46.07726628953344,-44.57463588433937,72.99346138573128,18.22217904880536,25.420156395972725,46.10228297023215,12.584396552424579,36.910556218950575,62.425137508076745,,
2010/11,2067/68,12.631555784657039,16.8302909848733,16.224697825017813,13.737342528338473,11.043985105205877,19.136124499237567,7.593281597293938,16.533122301188058,42.12667981547102,,
2011/12,2068/69,15.840814608039238,8.584904043787816,17.02943481686951,14.83055210940627,22.391307565955685,-11.131648029919134,-8.219323172627796,-10.525278544708456,-14.340851131138976,,
2012/13,2069/70,1.6411175902085517,6.241804332093693,27.680924615495698,5.74066548895172,21.35063840732414,-13.674191559719972,7.994516321828456,-9.04631851404939,-47.71125652073164,,
