,Annex 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Government Budgetary Operations (Monthly Series),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Based on FCGO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Rs. in Million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fiscal Year,Mid-Month,Total Resources of GoN,,,,,,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tax Revenue,Non Tax Revenue,Total Revenue,Other Receipts,Grants,Total Receipts of GON,Recurrent,Capital,Financing,Total Expenditure,,,,,,,,,,,,,,,,,,,,,,
,2019/20,August,63395.2,3377.7,66772.9,7038.5,0,73888.5,3590.4,596.5,109.1,4296,,,,,,,,,,,,,,,,,,,,,,
,,September,119630.3,6586.1,126216.4,9782.5,0,135998.9,53678,5134,593,59405,,,,,,,,,,,,,,,,,,,,,,
,,October,177410.1,12257.8,189667.9,11474.4,0,201142.3,156755.2,18367.6,2883.2,178006.00000000003,,,,,,,,,,,,,,,,,,,,,,
,,November,232235.5,15568.6,247804.1,12271.1,0,260075.2,196906.7,24835.5,4273.5,226015.7,,,,,,,,,,,,,,,,,,,,,,
,,December,288668.8,20151.3,308822.5,13259.3,0,322081.8,246928.1,37610.3,14168.6,298707,,,,,,,,,,,,,,,,,,,,,,
,,January,391975,41179.1,433154.1,26489.2,0,459643.3,309648.2,63143.7,37675.4,410467.30000000005,,,,,,,,,,,,,,,,,,,,,,
,,February,447814.6,44469.7,492284.3,32387.4,10492.4,535164.1,365750.3,77275.3,44061.6,487087.19999999995,,,,,,,,,,,,,,,,,,,,,,
,,March,497544.4,49174.4,546718.8,35376.1,10492.4,592587.3,450822.9,96848.7,63525.6,611197.2,,,,,,,,,,,,,,,,,,,,,,
,,April,539537.4,51097.7,590635.2,43973.8,10492.4,645101.4,495430.7,105592,74784.8,675807.5,,,,,,,,,,,,,,,,,,,,,,
,,May,551874.5,54824,606698.5,44253.9,10492.4,661444.8,572163.5,114646.9,74784.8,761595.2000000001,,,,,,,,,,,,,,,,,,,,,,
,,June,588351.3,59443.8,647795.1,44684.9,10492.4,702972.4,670549.9,126585.7,86756.1,883891.7,,,,,,,,,,,,,,,,,,,,,,
,,July,700054.8,93729.4,793784.2,47565.8,18421,859780.8,784291.3999999999,189140.1,117901.6,1091333.0999999999,,,,,,,,,,,,,,,,,,,,,,
,2020/21,August,56556.5,2258.4,58814.8,7809.8,0,66624.6,1728.3,133.3,117.5,1979.1,,,,,,,,,,,,,,,,,,,,,,
,,September,101516.7,3864.2,105380.8,11155.7,0,116536.5,63243.4,3752.5,1572.8,68568.7,,,,,,,,,,,,,,,,,,,,,,
,,October,163427.9,8936.1,172364,22564.8,5001.6,199930.4,182618.9,15045.8,3413.9,201078.59999999998,,,,,,,,,,,,,,,,,,,,,,
,,November,226039.3,14113.4,240152.8,24522.7,5001.6,269677.1,230122,29445.2,9503.1,269070.3,,,,,,,,,,,,,,,,,,,,,,
,,December,284584.6,16703.8,301288.4,25535.3,5001.6,331825.3,280742.8,35941.7,11773.6,328458.1,,,,,,,,,,,,,,,,,,,,,,
,,January,386534.2,35701.7,422235.9,27828.3,5307.7,455371.9,342356.3,50816.9,22572.2,415745.4,,,,,,,,,,,,,,,,,,,,,,
,,February,458101.5,40423.1,498524.6,32196.6,5307.8,536029,406725.6,62843.3,30113.2,499682.1,,,,,,,,,,,,,,,,,,,,,,
,,March,527669.2,43534.2,571203.4,32726.2,5307.8,609237.4,455816,79696.7,35508.3,571021,,,,,,,,,,,,,,,,,,,,,,
,,April,636697.5,47172.7,683870.2,35590.3,10075.4,729535.9,527046.3,105839.5,57588.5,690474.3,,,,,,,,,,,,,,,,,,,,,,
,,May,709619.1,51384.4,761003.5,36324.8,10075.4,807403.7,630204.2,125883.3,68721,824808.5,,,,,,,,,,,,,,,,,,,,,,2287259.1440195693
,,June,758375.6,53977.4,812353,37065.6,10075.4,859494,700614.1,143089.4,73150.5,916854,,,,,,,,,,,,,,,,,,,,,,81733.65618253002
,,July,870113.6,65775.7,935889.2999999999,40420.1,36481.4,1012790.7999999999,846217.3,228836.1,121622.59999999999,1196676.0000000002,,,,,,,,,,,,,,,,,,,,,,457817.3193316984
,2021/22,August,76188,17073.2,93261.2,12670.4,0,105931.6,9557.5,935,0,10492.5,,,,,,,,,,,,,,,,,,,,,,159991.09891090658
,,September,148560,20017.6,168577.6,16166.9,0,184744.5,58594.8,2608.7,28732.3,89935.8,,,,,,,,,,,,,,,,,,,,,,340016.66110985
,,October,229079.9,25959.4,255039.3,22814.8,0,277854.1,186523.4,14889.3,33111,234523.7,,,,,,,,,,,,,,,,,,,,,,85141.12641114001
,,November,305398.5,28915.4,334313.9,28268.9,0,362582.8,233507.9,20792.1,33239.2,287539.2,,,,,,,,,,,,,,,,,,,,,,1411.5530065399998
,,December,380230.2,32173.2,412403.4,31391.5,0,443794.9,317328.8,28403.5,41302,387034.3,,,,,,,,,,,,,,,,,,,,,,365
,,January,493992.9,48061.6,542054.5,34193.9,13883.3,590131.7,406410.2,50808,49474.8,506693,,,,,,,,,,,,,,,,,,,,,,13861.013716670004
,,February,560843.2,52567.7,613410.9,37067.6,13883.3,664361.8,475624,60789.6,54611.3,591024.9,,,,,,,,,,,,,,,,,,,,,,191823.7805795
,,March,627904.6,56794.8,684699.4,38046.1,13883.3,736628.8,538435.7,77146.8,59714.5,675297,,,,,,,,,,,,,,,,,,,,,,1523.8785222999998
,,April,727788,61472.4,789260.4,38615.3,13883.3,841759,625500.8,103789.6,64965.6,794256,,,,,,,,,,,,,,,,,,,,,,18155.771003454804
,,May,799657.1,66041.3,865698.4,42776.4,13883.3,922358.1,716874.7,118269.2,73713.7,908857.6,,,,,,,,,,,,,,,,,,,,,,20776.39321724
,,June,872539.7,69586,942125.7,43449.4,13883.3,999458.4,814541.1,137963.1,83103.5,1035607.7,,,,,,,,,,,,,,,,,,,,,,4705.10576196
,,July,984332,81011.6,1065343.6,48504.9,27488.1,1141336.6,954316.8,216213,139471,1310000.8,,,,,,,,,,,,,,,,,,,,,,474.48611257000005
,2022/23,August,70638.6,9083.9,79722.5,10484.8,793,91000.3,5657.2,1484.6,15116.9,22258.7,,,,,,,,,,,,,,,,,,,,,,
,,September,130703.6,13108,143811.6,18420.1,793,163024.7,108731.3,5860.5,19747.5,134339.3,,,,,,,,,,,,,,,,,,,,,,
,,October,189380.7,19203.5,208584.2,22749.4,793,232126.6,223752.7,19681.1,34732.5,278166.3,,,,,,,,,,,,,,,,,,,,,,
,,November,245786.8,22284.9,268071.7,23905.6,3415.9,295393.2,281386.1,26296.1,43305.1,350987.3,,,,,,,,,,,,,,,,,,,,,,
,,December,301464.5,25425.6,326890.1,27521.4,3415.9,357827.4,354256.9,33991.6,46962.6,435211.1,,,,,,,,,,,,,,,,,,,,,,
,,January,405269.3,53717.5,458986.8,31057,4802,494845.8,455127,53455.2,67765.4,576347.6,,,,,,,,,,,,,,,,,,,,,,
,,February,464190.8,50498.8,514689.6,34744.5,4802,554236.1,531501,66298.4,69858,667657.4,,,,,,,,,,,,,,,,,,,,,,
,,March,526472.5,56299,582771.5,35207.9,4802,622781.4,608844.5,84256,86129.6,779230.1,,,,,,,,,,,,,,,,,,,,,,
,,April,616118.2,67687.7,683805.9,35866.4,4802,724474.3,706765.9,107243.4,129042.3,943051.6,,,,,,,,,,,,,,,,,,,,,,
,,May,684634.6,71618.5,756253.1,36290.7,4802,797345.8,786742.6,125679.6,135338.8,1047761,,,,,,,,,,,,,,,,,,,,,,
,,June,759000.6,77853.7,836854.3,38731.6,4802,880387.9,877394.4,153084.2,145587.1,1176065.7,,,,,,,,,,,,,,,,,,,,,,
,,July,865628.3,91720.3,957348.6000000001,53302.5,23382.2,1034033.3,991506.7,234624.8,195195.4,1421326.9,,,,,,,,,,,,,,,,,,,,,,
,2023/24,August,70175.2,8698.9,78874.1,9264.9,0,88139,12135.8,823.1,22078.1,35037,,,,,,,,,,,,,,,,,,,,,,
,,September,127956.7,13120.4,141077.1,13158.8,0,154235.9,87663.5,8163.9,35313.9,131141.3,,,,,,,,,,,,,,,,,,,,,,
,,October,199462.1,19653,219115.1,15455.5,61.8,234632.4,213390.4,17833.1,49349,280572.5,,,,,,,,,,,,,,,,,,,,,,
,,November,254302.2,22337.8,276640,16257.9,2758,295655.9,271174.7,29989.4,54469.9,355634,,,,,,,,,,,,,,,,,,,,,,
,,December,337186.7,26242.5,363429.2,17737,2758,383924.2,359995.7,36060.3,56939.7,452995.7,,,,,,,,,,,,,,,,,,,,,,
,,January,443552,52947.8,496499.8,18897.8,2758,518155.6,437381.2,49235.8,80004.3,566621.3,,,,,,,,,,,,,,,,,,,,,,
,,February,510495.5,56907.5,567403,21398.3,2758,591559.3,509042.2,63578.9,114132.6,686753.7,,,,,,,,,,,,,,,,,,,,,,
,,March,578672.6,60373.5,639046.1,22028.8,2758,663832.9,582109.9,81214.8,138258.1,801582.8,,,,,,,,,,,,,,,,,,,,,,
,,April,671115.6,76925.6,748041.2,22237.4,2758,773036.6,644025.4,97377.4,167988.6,909391.4,,,,,,,,,,,,,,,,,,,,,,
,,May,746832.76778835,85100.36360004001,831933.13138839,22237.413354910004,2758,857028,752557.3,111882.9,192452.2,1056892.4,,,,,,,,,,,,,,,,,,,,,,
,,June,826818.8,90011.8,916830.6,22650.7,2758,942239.3,821766.4,133812.9,223508.8,1179088.1,,,,,,,,,,,,,,,,,,,,,,
,,July,944554.7,114311.9,1058896.3,23853.1,23288.8,1106038.2,929126.6,192027.4,272247.8,1393401.8,,,,,,,,,,,,,,,,,,,,,,
