Annex 18,,,,,,,,,,,,,,,,,,,
Monetary Statistics (A),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(Rs. In Million),,,,,,,
"Fiscal
 Year",Mid-Month,"Broad Money
 (M2)",% Change (Y on Y),"Money Supply
(M1+)",% Change (Y on Y),Currency with Public,% Change (Y on Y),Saving and Call Deposit,% Change (Y on Y),Time Deposit,% Change (Y on Y),"Total 
Deposits","% Change 
(Y on Y)",,,,,,
2015/16,August,1866360.2317567593,,1362659.2232283393,,268303.769064171,,950790.741497669,,503701.00852841994,,1675570.8252183264,,,,,,,
2015/16,September,1895795.5455795517,,1384743.7900708707,,269572.427751051,,973010.5865326537,,511051.755508681,,1703730.5259626617,,,,,,,
2015/16,October,1962194.3593943398,,1451849.3239387209,,312971.20817148103,,996181.5988981876,,510345.0354556192,,1731015.040498586,,,,,,,
2015/16,November,1999082.8772372429,,1491555.855263406,,312740.78595779,,1003649.6253792936,,507527.0219738368,,1740337.7878616909,,,,,,,
2015/16,December,2031571.1431763493,,1521306.3881864438,,306882.27135911,,1011763.2556780233,,510264.7549899057,,1767293.441302919,,,,,,,
2015/16,January,2047570.8333756023,,1533567.7325115462,,308108.881649718,,1036150.9460592483,,514003.10086405574,,1789748.5966942392,,,,,,,
2015/16,February,2052722.5647833562,,1543029.0055267103,,311430.62012907,,1070785.570141544,,509693.55925664573,,1826700.3712037331,,,,,,,
2015/16,March,2093186.6819856544,,1576626.1937340233,,311621.0637574,,1066734.0079232878,,516560.48825163103,,1830624.3210781119,,,,,,,
2015/16,April,2121430.3878746387,,1583649.7195882713,,317781.09141528,,1093906.7722021295,,537780.6682863673,,1893232.2626758383,,,,,,,
2015/16,May,2109088.407558451,,1553898.7583036409,,315406.7795911401,,1085665.9718993928,,555189.6492548102,,1889843.4590958427,,,,,,,
2015/16,June,2143679.8769240505,,1568417.0691888295,,316515.18408543,,1095226.413584571,,575262.8077352211,,1922956.691094702,,,,,,,
2015/16,July,2244578.57237777,,1634481.7499847095,,327482.67803008,,1131194.6351445443,,610096.8223930605,,2016816.1615412112,,,,,,,
2016/17,August,2248423.252647044,20.47102238835523,1638318.9226639052,20.229540499677363,320886.968950016,19.598382858821687,1143319.3335506036,20.249312877160214,610104.32998314,21.124301848348697,2019705.6913098048,20.53836584595806,,,,,,
,September,2278207.1369756605,20.17156292448214,1668463.4076806023,20.48896118141905,323052.97571360995,19.839027458679137,1171344.0319215497,20.38348278364185,609743.7292950582,19.311541878599563,2040717.305375532,19.779347395472772,,,,,,
,October,2364968.9167993534,20.526741169989698,1742358.2608635474,20.009578964895965,365161.18529377994,16.675648033956953,1203411.189528499,20.802390935499584,622610.655935806,21.9979842421627,2093868.0093048585,20.96186112292587,,,,,,
,November,2371071.938286305,18.60798595619785,1722999.9280382004,15.516956469184443,360616.26645163,15.308358437233597,1187100.1838393647,18.27834672789745,648072.0102481045,27.692119274294086,2096330.5892069302,20.45538537565393,,,,,,
,December,2389497.4916316015,17.618204002230335,1712720.444370923,12.582216026363028,359304.28639188,17.082125598394825,1188142.2973198637,17.432837242507055,676777.0472606788,32.63252863193876,2131445.648144739,20.605078835880963,,,,,,
,January,2425538.1450943802,18.459303363667537,1717913.715552873,12.020726514597477,356954.53706253995,15.853374674331361,1188950.434974364,14.746836790165752,707624.4295415072,37.66929194628743,2161200.5134773413,20.754418663559427,,,,,,
,February,2458777.8322609407,19.78130286303154,1691065.8790377728,9.593913852612921,356224.49940938,14.383261113420872,1162917.8725423566,8.604178555435128,767711.9532231684,50.622259057545364,2196480.6470557395,20.24307224552288,,,,,,
,March,2475105.830279433,18.245823536937458,1641966.5638398682,4.14431590477989,361859.18262527004,16.121541420249073,1110176.6456963825,4.072490185033906,833139.2664395649,61.28590656622569,2200651.8924451345,20.213189954184692,,,,,,
,April,2464390.3410096364,16.166448595025226,1579406.8398266707,-0.2679178172496206,354443.18212958996,11.536901252063329,1057396.9106542633,-3.3375660957257454,884983.5011829657,64.56216323337853,2195440.249789634,15.962541578848,,,,,,
,May,2477223.223606285,17.454688704775492,1564234.9146167098,0.6651756594717084,354766.2207026,12.47894581165355,1032153.4124248056,-4.929007711365033,912988.3089895754,64.4462050427294,2203389.795097944,16.591127402272306,,,,,,
