Annex 19,,,,,,,,,,,,,,,,,,
Monetary Statistics (B),,,,,,,,,,,,,,,,,,
(Rs. In Million),,,,,,,,,,,,,,,,,,
"Fiscal 
Year",Mid-Month,"Net Foreign
 Assets",% Change (Y on Y),"Net Domestic
 Assets","% Change 
(Y on Y)","Domestic
 Credit",% Change (Y on Y),Claims on Government,% Change (Y on Y),General Government Deposits,% Change (Y on Y),"Claims on
 Private Sector",% Change (Y on Y),,,,,
2015/16,August,761386.19648636,,1104974.0352703992,,1485920.206852548,,160997.43947425,,73830.9707267299,,1374207.9472096113,,,,,,
2015/16,September,797817.3482898974,,1097978.1972896545,,1490331.6466218212,,154874.11747429,,85762.27228996,,1396801.376991038,,,,,,
2015/16,October,819282.25861471,,1142912.10077963,,1504913.0621274498,,151539.63447428998,,84617.62120703002,,1414280.608976104,,,,,,
2015/16,November,846732.6482153581,,1152350.2290218847,,1516385.1947821002,,151539.63447429,,80815.47270144019,,1419164.074184929,,,,,,
2015/16,December,899313.7359886733,,1132257.4071876765,,1522371.8578006772,,146070.08447429002,,82076.88945714007,,1431372.2566010868,,,,,,
2015/16,January,902750.8189572064,,1144820.0144183955,,1544110.3174265623,,142261.07947429,,81894.76770468005,,1455358.173766803,,,,,,
2015/16,February,931701.8617506843,,1121020.703032672,,1569875.934691266,,141295.11447429,,76197.41775799006,,1478456.5531649431,,,,,,
2015/16,March,930794.172881934,,1162392.5091037205,,1612062.2424614911,,146357.78847425,,96088.17613262992,,1532969.0318797815,,,,,,
2015/16,April,928209.6686021022,,1193220.7192725362,,1616792.2144954938,,168085.68847425,,150768.7830912401,,1570964.480300507,,,,,,
2015/16,May,931995.5079676644,,1177092.8995907865,,1624779.3707057792,,205021.92687424997,,210216.03372714997,,1601023.5634234138,,,,,,
2015/16,June,939742.4360707409,,1203937.4408533098,,1662751.9908886857,,211433.42687424997,,217465.69470120998,,1640613.1749226695,,,,,,
2015/16,July,955980.8829491922,,1288597.689428578,,1805735.974832036,,202777.81187425,,115018.4562489799,,1692306.0682793078,,,,,,
2016/17,August,954172.6229269031,25.320452003229445,1294250.6297201414,17.12950607055886,1767404.0268099653,18.94340077342724,202797.89347425,25.963427826245404,172611.48391627008,133.79278670892177,1710544.7616483746,24.474957747239763,,,,,
,September,952629.9508315856,19.40451694532906,1325577.1861440751,20.728916969047827,1807355.305064003,21.272020839172857,203626.69347425,31.478840231682497,188537.29436024994,119.83710240653404,1764512.5026789661,26.325226459902566,,,,,
,October,971723.2937971894,18.606656445879295,1393245.6230021643,21.903129912770275,1812563.186617273,20.44304965064942,203626.65767425,34.37188124457105,184262.6491060501,117.7591930352464,1765046.889717098,24.801745743720414,,,,,
,November,976875.0387533251,15.369950693677106,1394196.89953298,20.987254084756408,1873119.9117085577,23.525336316523408,203627.46957425002,34.37241701199771,183603.48755300004,127.18853384833089,1824286.1686535927,28.546529738031744,,,,,
,December,985397.7928907349,9.572194158407225,1404099.6987408667,24.00887729481916,1905700.1076798423,25.179672621704093,196927.46957425002,34.817112130110026,186775.7484373301,127.56192354836129,1866117.4459997485,30.372615327266477,,,,,
,January,1006437.9793432481,11.485689983179817,1419163.3462111321,23.963883260034695,1914800.5099128229,24.006716897278327,196932.20537424998,38.43013570682232,217594.30937773,165.69989203998333,1904771.6748261056,30.879924211104452,,,,,
,February,996551.3983905953,6.9603313358264165,1462299.8884003458,30.44361129499384,1973489.1114274317,25.709877310498484,191964.20014425,35.860465422659566,201611.3826258598,164.59083333531845,1952610.079988376,32.070846167809854,,,,,
,March,997476.253935996,7.163998550571099,1477705.5117984372,27.126207389089537,1999671.1868674534,24.044291479348473,199176.27293025,36.088605195952944,195712.04799220996,103.67963663091058,1966192.4415676568,28.26041496458942,,,,,
,April,980711.7960873358,5.656278884091197,1483754.4829773009,24.348702550345642,1968430.5723282853,21.749137253392657,217614.81201525,29.46659170723369,234661.13859361975,55.64305407413872,1954922.0490185816,24.440881606987578,,,,,
,May,981153.0915033119,5.274444255943024,1496146.0701579733,27.105181815140067,1995072.4358219197,22.790359835458208,245828.71201525,19.90361995086937,262349.51710456,24.799955766017685,1980856.875088005,23.724404833393383,,,,,
,June,1004652.0514026189,6.9071708204727456,1500052.6893163305,24.595567710988725,2009790.8638556148,20.871355131046833,249952.45475525002,18.218040756587293,269072.99572035,23.73123774305947,1998058.3564058489,21.787291906882775,,,,,
