Annex 1,,,,,,,,,,
National Consumer Price Index (Annual Series) *,,,,,,,,,,
(2023/24 =100),,,,,,,,,,
Fiscal Year,Nepali Year,Index,,,% Change,,,,,
,,Overall,Food and Beverages,Non-Food and Services,Overall,Food and Beverages,Non-Food and Services,,,
1972/73,2029/30,1.8152036146407216,1.53046809661403,2.1287209169927723,-,-,-,,,
1973/74,2030/31,2.150909089241575,1.871171960904921,2.3414949625780075,18.49409465104553,22.261415644315363,9.995394130190618,,,
1974/75,2031/32,2.510703811628217,2.165740552956358,2.786071902090656,16.727565297216145,15.742465054306408,18.98688430331559,,,
1975/76,2032/33,2.493330183974004,2.0770994360351995,2.9886699420669007,-0.6919823666076184,-4.092877921141508,7.271816632737128,,,
1976/77,2033/34,2.560735554670142,2.071623647512786,3.1997851271866677,2.7034273731328966,-0.2636266915013863,7.063850783528295,,,
1977/78,2034/35,2.8467064353514226,2.3948862317271185,3.321021600239161,11.167528804750717,15.60431039694133,3.788894198626622,,,
1978/79,2035/36,2.94451849596997,2.431190187993307,3.588553834597906,3.4359728633722995,1.5158948172668403,8.055720996800474,,,
1979/80,2036/37,3.232549948859736,2.700196073804756,3.861975036029729,9.781954274832415,11.06478165056619,7.619258733022733,,,
1980/81,2037/38,3.6652335221416963,3.062230824881441,4.378032012794775,13.385209204101784,13.407720816605504,13.362514567043249,,,
1981/82,2038/39,4.047104521803162,3.39854239319356,4.789265393575197,10.418735869203985,10.982567531470806,9.393110410764336,,,
1982/83,2039/40,4.620499841635513,3.942796276377457,5.296833293037529,14.168038328223844,16.01433262312402,10.598032427754703,,,
1983/84,2040/41,4.908677400638705,4.160995142206966,5.744028394617018,6.236934723088012,5.534114636782192,8.442687863469445,,,
1984/85,2041/42,5.1120338332922675,4.203358602151778,6.3122429480512405,4.1427948112275885,1.0181088536994451,9.892265747967429,,,
1985/86,2042/43,5.922029703393066,4.986417820589349,6.991295952548823,15.8448847663268,18.629369810053987,10.757713384704616,,,
1986/87,2043/44,6.707999534138528,5.74061570888237,7.657750812195295,13.27196704695919,15.125043978041177,9.532636926970639,,,
1987/88,2044/45,7.431822295486685,6.434020647849874,8.34784385119214,10.790441437338501,12.078929754775402,9.011693588903952,,,
1988/89,2045/46,8.04972893189378,6.813997790731226,9.418621124843646,8.314335459586346,5.905749509963613,12.826992128016286,,,
1989/90,2046/47,8.830733625707929,7.560808021134998,10.177483382365986,9.702248366646685,10.95994236187785,8.05704197529164,,,
1990/91,2047/48,9.697229661598273,8.314632532154926,11.123691353726786,9.812276902655185,9.970158069253102,9.29707213278526,,,
1991/92,2048/49,11.738862305732523,10.353289547975589,12.769117225136839,21.05377221516433,24.518906974380755,14.792084921151513,,,
1992/93,2049/50,12.779297806795995,11.006373450371507,14.492991346808942,8.86317152349072,6.307984523852312,13.500339070257297,,,
1993/94,2050/51,13.923031599651644,12.007580315024748,15.800168206935405,8.94989544924303,9.096609970284476,9.019372390740273,,,
1994/95,2051/52,14.989224767110773,12.889307846819314,17.055334859958442,7.6577659098741435,7.343090853127919,7.944008168673108,,,
1995/96,2052/53,16.20852572864829,14.039821629412652,18.1941958717331,8.134516497563624,8.926109890976392,6.677447385969586,,,
1996/97,2053/54,17.51995631630911,15.188842784515847,19.651247724461058,8.090992417298537,8.184015334611217,8.008333333333326,,,
1997/98,2054/55,18.978602078073976,16.369456170971162,21.423665638965723,8.325624421831648,7.7728988521685665,9.019365789676698,,,
1998/99,2055/56,21.13820816424251,19.022033521906945,22.66845187319013,11.379163108454307,16.20443173695496,5.8103326256192815,,,
1999/00,2056/57,21.8553756637769,19.109789720107294,24.271057292891953,3.3927544565842283,0.46133973057760613,7.069761219985281,,,
2000/01,2057/58,22.38751124723557,18.675689059676248,26.231481898071202,2.43480410332468,-2.2716140093068873,8.077211394302864,,,
2001/02,2058/59,23.034447654536834,19.35550707506826,26.786404872159046,2.889720077220076,3.6401227993233505,2.115484654066208,,,
2002/03,2059/60,24.128431975860487,20.221368230645005,28.119129719763503,4.749340369393138,4.473461491959867,4.975377823059944,,,
2003/04,2060/61,25.084655308573012,20.89182558489565,29.43669273747484,3.963056255247693,3.3155884735562893,4.6856465005931085,,,
2004/05,2061/62,26.22320936150615,21.720244095906914,30.949843360807307,4.538846712970468,3.96527583309998,5.140355395312895,,,
2005/06,2062/63,28.311233757514,23.415693845137593,33.45609384213854,7.962505150391408,7.805850347465395,8.097780825944284,,,
2006/07,2063/64,29.981596549207325,25.05479241429723,35.09544244040334,5.90000000000002,7,4.90000000000002,,,
2007/08,2064/65,31.991694145990813,27.396361798810982,36.5340544756153,6.704438149197344,9.34579439252336,4.099142040038146,,,
2008/09,2065/66,36.01684380546536,32.149747649373914,39.81275167214488,12.630639531789086,17.115386301821857,8.883770354219095,,,
2009/10,2066/67,39.46585985797451,37.0241145848034,41.75933873219331,9.600000000000009,15.452698136243754,5.004561852769669,,,
2010/11,2067/68,43.238567683111235,42.48875213591237,44.04104433222715,9.643049498303185,14.700000000000003,5.400000000000006,,,
2011/12,2068/69,46.83385844336753,45.70353177006774,47.96209853052578,8.304270997564217,7.699999999999989,9.000000000000014,,,
2012/13,2069/70,51.44151173740292,50.10958482859446,52.79371608289464,9.899999999999991,9.600000000000009,10.000000000000014,,,
2013/14,2070/71,56.11286530739273,55.91667690218858,56.37351812400345,9.099999999999994,11.600000000000009,6.800000000000011,,,
2014/15,2071/72,60.16137173471724,61.302286486570225,59.284198288269494,7.21,9.63,5.16,,,
2015/16,2072/73,66.12922632655517,67.98872065224054,64.71425183779938,9.92,10.91,9.16,,,
2016/17,2073/74,69.08314282276501,69.28829767669957,68.92933364951386,4.47,1.91,6.51,,,
