Annex 20,,,,,,,,,,
Interest Rates,,,,,,,,,,
Fiscal Year,Mid-Month,Interbank Rate (Commercial Bank),Weighted Average 91 Days TB rate,"Weighted Average Deposit Rate
(Commercial Bank)","Weighted Average Lending Rate
(Commercial Bank)","Base Rate 
(Commercial Bank)",,,,
2016/17,August,0.82,0.4399,3.29,8.88,6.1,,,,
,September,2.56,2.0504,3.27,8.77,6.23,,,,
,October,3.2654353261213163,2.1162,3.3,8.62,6.43,,,,
,November,3.589799225401636,3.0040184818481848,3.46,8.88,6.55,,,,
,December,2.6727,2.341998235369885,3.74,9.11,6.78,,,,
,January,2.71,1.7373,3.98,9.31,7.1,,,,
,February,4.1268,2.6432,4.7,10.12,7.8,,,,
,March,0.8963,0.7442,5.04,10.6,8.3,,,,
,April,0.75,0.9261,5.0843628028065915,10.768996824709188,8.6,,,,
,May,2.7259,0.7763,5.51,10.69,9,,,,
,June,2.46,1.03,5.91,11.29,9.4,,,,
,July,0.6364510804822362,0.7103356715606308,6.15,11.33,9.89,,,,
2017/18,August,0.2874,0.5507,6.25,11.68,9.67,,,,
,September,0.39,0.48,6.19,11.78,10.13,,,,
,October,1.13,1.1832,6.17,11.1,10.08,,,,
,November,2.6753,2.5548,6.1,11.64,10.11,,,,
,December,4.830197125196867,5.514917653171501,6.17,11.25,9.87,,,,
,January,4.4,5.822,6.21,11.79,9.94,,,,
,February,4.306233046784593,3.9250794520547947,6.38,11.9,10.19,,,,
,March,4.87,4.7,6.45,11.96,10.36,,,,
,April,4.1199,4.9849,6.641243527460768,12.095760392136375,10.4,,,,
,May,4.53,5.1452,6.610084063948026,12.317973192508507,10.32,,,,
,June,4.182555020306552,4.378436918671626,6.61,12.42,10.41,,,,
,July,2.96,3.7411,6.49,12.47,10.47,,,,
2018/19,August,1.88,3.34,6.399307637143035,12.474039051717256,10.12,,,,
,September,1.677883782251205,2.74,6.3,12.31,10.03,,,,
,October,1.8590457492096282,1.7708,6.57,12.26,10.23,,,,
,November,1.6787,2.2,6.61,12.26,10.21,,,,
,December,1.1969024903247523,0.9969,6.616102125717974,12.32211286437455,10.3,,,,
,January,2.839016408473598,0.86,6.72,12.29,9.8,,,,
,February,5.794494593284597,3.4394,6.67,12.34,9.69,,,,
,March,5.15,3.5544,6.62,12.33,9.65,,,,
,April,5.28,4.438165007012622,6.67,12.28,9.64,,,,
,May,6.120786501868353,4.291315662650602,6.67,12.23,9.589497430439526,,,,
,June,6.905687666430333,5.503210042397539,6.635271966795244,12.199304661279438,9.479638,,,,
,July,4.518719271801942,4.96851578690127,6.60176688176995,12.134092700177552,9.56529325618439,,,,
2019/20,August,1.1887814391479412,0.20724,6.765710515990232,12.084038186426156,9.45475948198986,,,,
,September,1.6882129461871012,2.728978654806981,6.796934455638009,11.96590336030568,9.527979765420787,,,,
,October,4.617371094062601,4.327365985282094,6.752836530381439,11.98479244278075,9.56386875,,,,
,November,2.589154460713186,3.8337399999999997,6.81,12.073929961045465,9.5000099773974,,,,
,December,0.7810882746587091,1.63758383074237,6.799075280104169,11.932860907827484,9.464769906053156,,,,
,January,1.7622490321978828,3.1710930596285434,6.786162197889281,11.938543027385922,9.432791295990633,,,,
,February,4.587902172601086,3.9069000000000003,6.780041240180373,11.93890115549449,9.453117732961099,,,,
,March,4.3541351930413725,3.965110528722254,6.773224127474397,11.795105403448739,9.452060260371313,,,,
,April,2.1265040008082443,2.130922235722965,6.744584785551735,11.771392780728133,9.360530532979851,,,,
,May,4.062320319457563,3.5118599999999995,6.443110071759753,10.987853651584457,8.957508304252602,,,,
,June,2.8046806924460426,2.807883550083574,6.170650490235054,10.426250629386633,8.662545589125886,,,,
,July,0.3455945331015957,1.2727017155928326,6.0117202188965875,10.109165203675886,8.504858919970221,,,,
2020/21,August,0.02,0.21474000000000001,5.767150436258543,10.466635724383908,8.083993748896267,,,,
,September,0.08270105032136697,0.1289363303870771,5.605723681566924,10.178098954428284,7.8336111428311135,,,,
,October,0.10538818783282233,0.6288843904633379,5.448534678129671,9.831864981290702,7.734984874224413,,,,
,November,0.13902292584665743,0.7864200000000001,5.3083686809997035,9.517731632300432,7.565152851903175,,,,
,December,0.10294872021182701,0.5988099918723967,5.143364303457323,9.369728994641058,7.363262032503893,,,,
,January,0.14140719079261957,0.8661787674313991,5.000981577404195,9.09422022011081,7.177026309280699,,,,
,February,0.5791285364788119,1.1301,4.864351689582626,8.89127454358934,6.971835736059872,,,,
,March,1.2601731088716375,2.03,4.764646585627345,8.727605094208064,6.835133023878162,,,,
,April,2.0315,2.7635,4.785174100990238,8.613269184147743,6.896793466017893,,,,
,May,4.12,2.2838475,4.814180209380089,8.534244808580496,6.828902157493114,,,,
,June,3.211711217074554,3.790593860328591,4.718386809484225,8.459129253330053,6.6641308725619615,,,,
,July,4.122358931019374,4.551687215267802,4.65,8.434801897175857,6.864127077806029,,,,
2021/22,August,2.131736344475936,0.6561925,4.756080599332158,8.481912703311691,6.713518466601397,,,,
,September,4.749088131055331,3.9754420183839456,4.920085619390994,8.565492039727948,6.892596275430902,,,,
,October,4.952031844604364,4.855656925207756,5.427251270331453,8.69,7.570251835158348,,,,
,November,4.959429114927667,4.806610000000001,5.803276373638211,9.022107652741095,7.8163103691076605,,,,
,December,4.96,5.0384472400021885,6.24,9.29,8.25,,,,
,January,4.76,5.067183958398991,6.367261862048495,9.440224456843413,8.424928454915309,,,,
,February,4.777457131096934,5.315436875,6.486204180187182,10.31266549161676,8.527133106831023,,,,
,March,6.558013114312641,6.816769571202423,6.929281879736388,10.603007556868986,8.975187988281675,,,,
,April,6.989906975523742,7.580763708140485,7.1057230357513985,10.78427637181439,9.174848675380607,,,,
,May,6.993991071256389,8.300474516129032,7.253697766488381,11.418644910857113,9.300706488697939,,,,
,June,7.005783651856961,9.903367968707258,7.344963502511258,11.53937423853144,9.38952555910231,,,,
