Annex 21,,,,,,,,,,,,,,,,,,
Monetary Indicators,,,,,,,,,,,,,,,,,,
(Rs. In million),,,,,,,,,,,,,,,,,,
Fiscal Year,Nepalese Year,M1,M2,Domestic Credit,Private Sector Credit,Deposits,Annual Growth Rate (in percent),,,,,,,,,,,
,,,,,,,M1,M2,Domestic Credit,Private Sector Credit,Deposits,,,,,,,
1974/75,2031/32,1337.7,2064.4,1637.8000000000002,783.4,1166.1999999999998,4.418078214034844,8.027210884353773,68.81055452484026,11.643152344306673,24.474330238018982,,,,,,,
1975/76,2032/33,1452.5000000000002,2524,1763.3,716.2,1600.6,8.581894296180023,22.26312730091067,7.6627182806203304,-8.577993362267032,37.249185388441106,,,,,,,
1976/77,2033/34,1852.8999999999999,3223,2125,864.2,2132.9,27.566265060240937,27.694136291600636,20.51267509782794,20.66461882155822,33.25627889541423,,,,,,,
1977/78,2034/35,2060.6000000000004,3772.1000000000004,2905.2999999999997,1071.1,2517.8,11.209455448216337,17.036922122246363,36.719999999999985,23.941217310807666,18.045853063903607,,,,,,,
1978/79,2035/36,2504.900000000001,4511.4000000000015,3540.7999999999997,1331.6,2902.2,21.561681063767864,19.599162270353414,21.87381681754036,24.32079170945757,15.267296846453238,,,,,,,
1979/80,2036/37,2830.3999999999996,5285.299999999999,4305.8,1916.5,3329.7,12.994530719789154,17.15432016668878,21.60528694080435,43.92460198257736,14.730204672317553,,,,,,,
1980/81,2037/38,3207.8,6307.700000000001,5161.4,2498.1,4143.200000000001,13.333804409270794,19.344218871208856,19.870871847275755,30.346986694495172,24.4316304772202,,,,,,,
1981/82,2038/39,3611.5,7458,6043.1,2638.2,4907,12.584949186358246,18.236441175071725,17.08257449529199,5.60826227933229,18.435026066808245,,,,,,,
1982/83,2039/40,4348.9000000000015,9222.400000000001,8490.9,2699.1,6286.5,20.418108819050296,23.657817109144563,40.505700716519655,2.3083920855128532,28.11289993886285,,,,,,,
1983/84,2040/41,4931.5,10455.2,9824.5,3174,7067,13.396491066706487,13.367453157529482,15.70622666619558,17.5947538068245,12.415493517855722,,,,,,,
1984/85,2041/42,5480.000000000002,12296.600000000002,12550.900000000001,4036.6,8536.1,11.122376558856368,17.61228862192977,27.751030586798326,27.17706364209199,20.788170369322206,,,,,,,
1985/86,2042/43,7029.300000000001,15159,15322.9,5167.9,10275.7,28.271897810218956,23.27797927882502,22.086065541116557,28.026061536937018,20.37933013905648,,,,,,,
1986/87,2043/44,8120.2,17498.2,17803.1,6132.5,11812.4,15.519326248701843,15.431097038063202,16.186231065920936,18.66522185026801,14.95469894994987,,,,,,,
1987/88,2044/45,9596.600000000002,21422.600000000002,20469.300000000003,7947.1,14951.9,18.18181818181821,22.427449680538576,14.976043498042502,29.58988993069711,26.578002776743087,,,,,,,
1988/89,2045/46,11775.400000000001,26605.100000000002,26584.3,10357,18954.6,22.703874288810606,24.191741431945697,29.874006438910932,30.324269230285257,26.77051077120633,,,,,,,
1989/90,2046/47,14222.999999999998,31552.4,29661.6,11687.6,21885,20.78570579343374,18.595306914839632,11.575629224767999,12.847349618615434,15.460099395397432,,,,,,,
1990/91,2047/48,16283.600000000004,37712.50000000001,34491.399999999994,14108.7,26687.5,14.487801448358336,19.523396001572006,16.283005636917753,20.71511687600534,21.94425405528901,,,,,,,
1991/92,2048/49,19457.699999999997,45670.5,41609.1,17780.2,33328.5,19.492618339924785,21.101756711965507,20.636158578660204,26.022950378135473,24.88430913348946,,,,,,,
1992/93,2049/50,23832.999999999993,58322.49999999999,49404.9,21208.9,43543.100000000006,22.486213684042802,27.70278407286978,18.735805388725073,19.283810080876485,30.64824399537935,,,,,,,
1993/94,2050/51,28510.400000000016,69777.1,57828.100000000006,29606.9,52168.5,19.625729031175364,19.640104590852612,17.049321018765355,39.596584452753326,19.808879018719367,,,,,,,
1994/95,2051/52,32985.39999999998,80984.69999999998,72184.7,41943.1,61045.49999999999,15.696026713058957,16.062003150030563,24.82633875226748,41.6666385200747,17.01601541159894,,,,,,,
1995/96,2052/53,36498.00000000001,92652.20000000001,89265.7,55524.7,71211.4,10.648953779551043,14.407042317869958,23.66290917604423,32.38101141784942,16.652988344759244,,,,,,,
1996/97,2053/54,38460.29999999999,103720.59999999999,100916.7,64658.7,81544.7,5.376458984053868,11.946181526180682,13.052045746574553,16.450336516901487,14.510738449180897,,,,,,,
1997/98,2054/55,45163.79999999999,126462.59999999999,115812.1,76830.1,102405.2,17.429661235091775,21.926213307674658,14.760094216319015,18.8240716253188,25.581674836010187,,,,,,,
1998/99,2055/56,51062.49999999999,152800.19999999998,134832.7,90800.5,126889.6,13.060681342136856,20.82639452296568,16.423672483272476,18.183498394509435,23.909332729197356,,,,,,,
1999/00,2056/57,60979.7,186120.8,158001.1,109447.6,154610.30000000002,19.421689106487158,21.806646849938684,17.18307205892932,20.536340658917084,21.846313645878,,,,,,,
2000/01,2057/58,70576.99999999999,214454.2,187871.4,126757.9,181203.4,15.738516260329238,15.223123906624098,18.905121546622137,15.81606175009775,17.200083047507167,,,,,,,
2001/02,2058/59,77156.19999999997,223988.3,207323,133315.3,183728.09999999998,9.322017087719772,4.445751120752113,10.353678101084043,5.173168694022222,1.3932961522796938,,,,,,,
2002/03,2059/60,83754.09999999998,245911.19999999998,228443.8,150956.9,202733.74000000002,8.551354265762196,9.787520151722209,10.187388760533075,13.2329897618653,10.344438330337082,,,,,,,
2003/04,2060/61,93969.69999999995,277306.1,251089,172516.5,232576.26999999996,12.197134229846634,12.766762961589384,9.91281006532023,14.281957300395018,14.720060903527918,,,,,,,
2004/05,2061/62,100205.79999999996,300440,285157.5,197016.9,250464.905,6.636288080093912,8.342369677407033,13.568296500444067,14.201772004416965,7.6915134119229105,,,,,,,
2005/06,2062/63,113060.80000000005,346824.10000000003,327634.39999999997,243570.4,289975.958,12.828598743785383,15.438723205964596,14.895943469836832,23.629191201363945,15.775085535436586,,,,,,,
2006/07,2063/64,126887.99000000002,395518.22,365225.12,273477.4,334453.303,12.229871007457906,14.040004717088555,11.47337398026582,12.278585575258747,15.338287114133797,,,,,,,
2007/08,2064/65,154343.89999999994,495377.1,442282.3,339834.2,421523.649,21.637910727406044,25.247605533823453,21.098543276541328,24.26408909840447,26.033633161637503,,,,,,,
2008/09,2065/66,196459.3765561,630521.1675561001,560670.6960404599,438354.35884814995,550676.9790197001,27.286777485925967,27.281048630649273,26.767608841787233,28.990654515687336,30.639640344283535,,,,,,,
2009/10,2066/67,218159.01777419643,719599.1188342865,654666.4006327871,500650.5566693571,620608.6580664652,11.04535787422698,14.127670229288658,16.76486844348009,14.211378662892947,12.699219635303354,,,,,,,
2010/11*,2067/68*,222351.33831141551,921320.1383114156,910224.8589662816,727322.4,823234.47743076,1.9216810654869698,28.03241613245813,39.03644025208517,45.27546016099669,32.64953150920984,,,,,,,
2011/12,2068/69,263705.70088052825,1130302.292475211,994691.470325891,809825.8493982473,1011822.9419802342,18.59865691979494,22.682903094554664,9.279752198323381,11.343449534655784,22.90823206749572,,,,,,,
2012/13,2069/70,301590.19350571884,1315376.2767305411,1165866.2782705703,973026.0783209736,1188090.242883178,14.366201602275613,16.37384843748683,17.208834402550696,20.15250921466566,17.420765391815664,,,,,,,
2013/14,2070/71,354830.02748561837,1565967.1585125797,1314304.964722467,1150824.6093921112,1406769.5015122239,17.653038834265008,19.050889560278492,12.73205076932909,18.27274058039038,18.40594684948929,,,,,,,
2014/15,2071/72,424744.6343087906,1877801.5328829002,1527345.878273834,1373945.132353008,1688829.864876353,19.703689487216796,19.913212909682834,16.209397306534072,19.387882492255148,20.050218821272775,,,,,,,
2015/16,2072/73,503287.114840165,2244578.57237777,1805735.974832036,1692306.0682793078,2016816.1615412112,18.49169458236729,19.532257966142698,18.22704997723444,23.17129908827416,19.420919980525785,,,,,,,
2016/17,2073/74,569402.3867268417,2591701.9945694054,2177792.0340676117,1997159.9994325647,2299807.59813133,13.136690755072022,15.464970861942861,20.60412288514012,18.01411321908361,14.031593061702885,,,,,,,
2017/18,2074/75,669394.9252370901,3094466.6136414213,2755893.0441511483,2442783.993167292,2742102.9318979895,17.560962307349378,19.399013471668333,26.545280772460984,22.312883988330345,19.23184070380665,,,,,,,
2018/19,2075/76,726642.7574513776,3582137.649764204,3417982.9569227807,2910275.9432925903,3235066.7569785174,8.552176010896874,15.759453793198775,24.02451409269277,19.13767043802971,17.977582801361702,,,,,,,
2019/20,2076/77,856260.8454954503,4230969.78441469,3897627.871115015,3276891.9931538226,3839727.4096063534,17.837938236820122,18.11298716903022,14.03298144657982,12.597295136434896,18.690824581084563,,,,,,,
2020/21,2077/78,1051668.3988898676,5190928.76912911,4955476.515742663,4139555.3970571724,4662729.30257872,22.821031754656293,22.68886410511721,27.14083231155221,26.32565875548082,21.433862490169336,,,,,,,
2021/22,2078/79,953853.9361766644,5544372.7339004325,5673573.569199191,4688998.946028264,5082769.302173119,-9.300884462864463,6.8088771873211575,14.490978842806784,13.273008723634756,9.008457758036604,,,,,,,
2022/23,2079/80,965162.4346215271,6179055.313091658,6182656.646106428,4903348.808411826,5710015.92490781,1.1855587124995837,11.447328844082426,8.972882270725394,4.571335264750347,12.340647104847235,,,,,,,
