Annex 22,,,,,,,,,,,,,,,,,,,,,,,,,,
Monetary Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,
(As percentage of Nominal GDP at Producers' Price),,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Year,Nepalese Year,M1,M2,Domestic Credit,Claims on Private Sector,Deposits,,GDP,,,,,,,,,,,,,,,,,,
1974/75,2031/32,8.072536358698933,12.457908394182608,9.883531470641485,4.72753605696699,7.037595799891376,,,,,,,,,,,,,,,,,,,,
1975/76,2032/33,8.350580659997702,14.51075083362079,10.137403702426123,4.117511785673221,9.202023686328618,,,,,,,,,,,,,,,,,,,,
1976/77,2033/34,10.722800925925926,18.65162037037037,12.297453703703704,5.001157407407407,12.343171296296298,,,,,,,,,,,,,,,,,,,,
1977/78,2034/35,10.44293533346848,19.116663288060007,14.723798905331439,5.4282383944861134,12.75998378268802,,,,,,,,,,,,,,,,,,,,
1978/79,2035/36,11.27571460724736,20.30790006752195,15.938780103533649,5.994148098131893,13.064145847400404,,,,,,,,,,,,,,,,,,,,
1979/80,2036/37,12.121108303712901,22.634148430474067,18.439467260502763,8.207357286625841,14.259346494796796,,,,,,,,,,,,,,,,,,,,
1980/81,2037/38,11.747171055040832,23.099205331966168,18.901380598381365,9.148203757278353,15.17266634928773,,,,,,,,,,,,,,,,,,,,
1981/82,2038/39,11.654511423776945,24.06738092164709,19.501419904479153,8.513618174777331,15.835161998192849,,,,,,,,,,,,,,,,,,,,
1982/83,2039/40,12.88143123722639,27.31672640028436,25.15002517697935,7.994727644323331,18.62059773110986,,,,,,,,,,,,,,,,,,,,
1983/84,2040/41,12.519675044427519,26.542777354658543,24.941609545569943,8.057882711348057,17.941101802487943,,,,,,,,,,,,,,,,,,,,
1984/85,2041/42,11.762938158713808,26.39491703694164,26.94077747010969,8.664648936398565,18.32292270375856,,,,,,,,,,,,,,,,,,,,
1985/86,2042/43,12.61222951878566,27.198837334481645,27.49291276420138,9.272436932572576,18.437040226791545,,,,,,,,,,,,,,,,,,,,
1986/87,2043/44,12.714831516973568,27.399160716522612,27.87658148565702,9.602436427408243,18.49617938118502,,,,,,,,,,,,,,,,,,,,
1987/88,2044/45,12.478350193743013,27.855563935193615,26.615998751722884,10.3335240423374,19.441786076508986,,,,,,,,,,,,,,,,,,,,
1988/89,2045/46,13.19076957544528,29.80295732048841,29.779657219670664,11.601881931219895,21.23288898846197,,,,,,,,,,,,,,,,,,,,
1989/90,2046/47,13.753190995590622,30.51017250715557,28.681828730563936,11.301539413630387,21.162102576003715,,,,,,,,,,,,,,,,,,,,
1990/91,2047/48,13.527955470632222,31.330481016864674,28.654482013790805,11.721109911107419,22.17122206529866,,,,,,,,,,,,,,,,,,,,
1991/92,2048/49,13.016315800036121,30.551486082401812,27.834594312548916,11.89414464134005,22.295249754159226,,,,,,,,,,,,,,,,,,,,
1992/93,2049/50,13.898900124800257,34.01244503539895,28.811889849189964,12.368580659458578,25.39341241237739,,,,,,,,,,,,,,,,,,,,
1993/94,2050/51,14.307278493717138,35.01600827010318,29.01968164117388,14.85753141434823,26.179543538480065,,,,,,,,,,,,,,,,,,,,
1994/95,2051/52,15.049800387817944,36.94978898140754,32.93473251967606,19.13680848636934,27.85240104938975,,,,,,,,,,,,,,,,,,,,
1995/96,2052/53,14.66295452628027,37.22272440571606,35.86220888422862,22.306870271942405,28.60895172208763,,,,,,,,,,,,,,,,,,,,
1996/97,2053/54,16.10043028308848,45.08261649192728,35.975765829034664,23.050161668086684,29.069847030262412,,,,,,,,,,,,,,,,,,,,
1997/98,2054/55,16.97302597683192,50.79034054081004,38.495604048596455,25.538101015473085,34.03918961591517,,,,,,,,,,,,,,,,,,,,
1998/99,2055/56,17.828444959010163,54.41555859617117,39.42061654328784,26.54705937386708,37.09831713620789,,,,,,,,,,,,,,,,,,,,
1999/00,2056/57,18.597953031452903,56.51145754279451,41.635334977654104,28.840859263007,40.74181528796695,,,,,,,,,,,,,,,,,,,,
2000/01,2057/58,17.47517094394578,50.73129355701567,42.551147289244625,28.70950061039276,41.04090650685474,,,,,,,,,,,,,,,,,,,,
2001/02,2058/59,18.2294865739602,53.52376682199967,45.1248577081379,29.016722422585605,39.98931314657096,,,,,,,,,,,,,,,,,,,,
2002/03,2059/60,19.090569265243342,56.33657774500184,46.409876663599,30.667897795953525,41.18670705420829,,,,,,,,,,,,,,,,,,,,
2003/04,2060/61,18.669024068978228,55.974021376844675,46.77959344125466,32.14100072845967,43.33054556226467,,,,,,,,,,,,,,,,,,,,
2004/05,2061/62,19.181964398417414,58.842388685673185,48.379995656688365,33.42600761436822,42.49402879479888,,,,,,,,,,,,,,,,,,,,
2005/06,2062/63,19.399341674769605,60.46902538511873,50.09056940698747,37.2383975146923,44.333137334042725,,,,,,,,,,,,,,,,,,,,
2006/07,2063/64,21.206125506385558,68.06248225935275,50.18021271203287,37.574507755473384,45.95230987064083,,,,,,,,,,,,,,,,,,,,
2007/08,2064/65,24.085992920489684,77.30213056864947,54.22397512096313,41.66379980852141,51.67895675742302,,,,,,,,,,,,,,,,,,,,
2008/09,2065/66,22.074805539459252,72.81390783980676,56.732454670183785,44.35566004868484,55.72122276191587,,,,,,,,,,,,,,,,,,,,
2009/10,2066/67,18.64153794008439,77.24183017617706,54.88605842525768,41.973645932388976,52.03071829092253,,,,,,,,,,,,,,,,,,,,
2010/11*,2067/68*,14.262323989917292,59.09641206040001,58.384725456754275,46.652778403320525,52.8048849444904,,1559221.7637687016,,,,,,,,,,,,,,,,,,
2011/12,2068/69,14.997089603952707,64.28091885462747,56.56865611533824,46.05524562597502,57.54293241877,,1758379.177857447,,,,,,,,,,,,,,,,,,
2012/13,2069/70,15.471758845441855,67.47959642860278,59.80964332347574,49.916824745240454,60.94974611355328,,1949294.8185045589,,,,,,,,,,,,,,,,,,
2013/14,2070/71,15.893662217564183,70.14331125684257,58.87077626487842,51.548110916514254,63.01247792765413,,2232525.2835277542,,,,,,,,,,,,,,,,,,
2014/15,2071/72,17.52508211578144,77.47861515535573,63.01871706868856,56.68935949302546,69.68159141011098,,2423638.482847995,,,,,,,,,,,,,,,,,,
2015/16,2072/73,19.296454175586508,86.0590432146197,69.23344640488232,64.88444773315813,77.32643950982478,,2608184.437723869,,,,,,,,,,,,,,,,,,
2016/17,2073/74,18.50424343533076,84.22424235877169,70.77313845058309,64.90302055325598,74.7383583951517,,3077144.919308957,,,,,,,,,,,,,,,,,,
2017/18,2074/75,19.3693503317971,89.54027834680909,79.74344566508326,70.68344435357825,79.34442035838313,,3455949.2898334255,,,,,,,,,,,,,,,,,,
2018/19,2075/76,18.830159699231896,92.82721573703245,88.57332474330134,75.41664761545383,83.83324962219537,,3858930.402385372,,,,,,,,,,,,,,,,,,
2019/20,2076/77,22.019184858538438,108.80154838799365,100.22949087928272,84.26695082264145,98.74055094694678,,3888703.6509138336,,,,,,,,,,,,,,,,,,
2020/21,2077/78,24.162119692140735,119.26177715853275,113.85225307840174,95.10643571825806,107.12637521473822,,4352550.240995396,,,,,,,,,,,,,,,,,,
2021/22,2078/79,19.16694218173548,111.4097951418194,114.0059839775329,94.2217338316846,102.13423842265162,,4976557.695705937,,,,,,,,,,,,,,,,,,
2022/23,2079/80,17.983288842546578,115.13060650042101,115.19770796386348,91.36113751878891,106.39127880419849,,5366996.232291248,,,,,,,,,,,,,,,,,,
2023/24,2080/81,16.619217515691297,122.15703603579125,114.90799598710967,91.12640033671669,113.01938420486422,,5709097.1433324395,,,,,,,,,,,,,,,,,,
2024/25,2081/82,18.947834048419185,128.46441617015327,114.01436525655075,92.09900971414595,118.93912402037603,,,,,,,,,,,,,,,,,,,,
* GDP rebasing 2010/11 by CBS.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: The ratio indicators before 2010/11 are not updated due to unavailability of rebased GDP series.,,,,,,,,,,,,,,,,,,,,,,,,,,
