Annex 2,,,,,,,,,,,,,,,,
Price Statistics,,,,,,,,,,,,,,,,
Fiscal Year,Mid-Month,CPI  (Base Year 2023/24 = 100)*,,,,,,WPI (Base year 2017/18=100),,,,,,,,
,,Overall Index,% Change,Food & Beverage,% Change,Non-food & Services,% Change,Overall Index,% Change,,,,,,,
2019/20,August,78.87668574559937,6.95,78.4456624429067,8.281204591226782,79.20958515723899,6.07164240247053,114.2,8.26,,,,,,,
,September,78.60736179168187,6.16,78.02633497160433,6.60992221157646,79.10222535088648,5.8668234842755425,114.24,6.4,,,,,,,
,October,79.18196215969644,6.21,79.86202627352122,7.8141461892619475,79.00109296087558,5.372516426476807,115.61,7.29,,,,,,,
,November,79.28080087638162,5.76,79.42295052313817,8.159543017487607,79.23625990710543,4.1898226006029375,114.5,7.57,,,,,,,
,December,79.52999073721621,6.55,79.77061849541121,10.14798321823909,79.27925421799337,4.2187473487250315,114.38,8.98,,,,,,,
,January,79.70010192023047,6.82,80.04424144159177,10.629511577358414,79.32131169871192,4.367524717034698,112.84,7.88,,,,,,,
,February,80.12593068271221,6.87,79.33977163262463,10.127481391458915,80.46604172777542,4.7679331365256985,111.69,7.13,,,,,,,
,March,80.0459924641452,6.7,79.22522813252677,9.600808094143318,80.47938443862917,4.817660409765679,111.72,6.57,,,,,,,
,April,80.35757240209807,6.74,80.39755264737381,9.999195518180443,80.30218158026481,4.623444984148833,113,7.77,,,,,,,
,May,80.85696994498046,5.83,81.01211536879755,8.86646374578477,80.75303241954833,3.8634656954101416,112.38,5.16,,,,,,,
,June,80.79441723410027,4.54,80.65365552892425,5.326872544214382,80.94956305540649,4.023832106062869,112.21762,3.96385,,,,,,,
,July,81.64076573193458,4.78,82.64324626563929,5.651557410275501,81.12502608007395,4.197831418927109,115.496,5.599947,,,,,,,
2020/21,August,81.63310558918282,3.49,82.7477470786519,5.484158717986844,80.94775547792813,2.1943939199261138,122.57,7.33,,,,,,,
,September,82.15940379654059,4.52,84.02537135090215,7.688476437450305,81.08831335028754,2.5107865051723195,124.29,8.8,,,,,,,
,October,82.18061460566726,3.79,83.84225353675018,4.983879634605046,81.19712230066236,2.7797455167795277,125.15913,8.255152,,,,,,,
,November,82.48824635211162,4.05,84.07852955253232,5.86175532227027,81.50018489544783,2.85718305103822,125.28,9.41,,,,,,,
,December,81.8575194880529,2.93,84.57408163821314,6.021594458463724,80.01006404252492,0.9218172291606663,122.91,7.46,,,,,,,
,January,82.35005688652892,3.56,84.13792054314045,5.114270593139253,81.49728932365348,2.743244631665462,119.81252,6.1791387,,,,,,,
,February,82.28700087245537,2.7,81.60484101993201,2.854897790474581,82.55211613440254,2.5924903994712736,118.53217,6.1231256,,,,,,,
,March,82.46760554810902,3.03,82.16968761329558,3.7165680051351586,82.54678366170096,2.568855660977775,118.75336,6.299467,,,,,,,
,April,82.84567822358075,3.1,83.059456072211,3.3109259388931775,82.67434899998007,2.9540510270498714,119.9481,6.1449594,,,,,,,
,May,83.80530500532294,3.65,84.81297892546527,4.691722391601246,83.14173585600018,2.9580355868761075,121.43,8.05,,,,,,,
,June,84.18324238203486,4.19,85.7766723966466,6.351871882465531,83.205023379101,2.7862538580359484,122.31239,9,,,,,,,
,July,85.05902989041203,4.19,87.55387048857864,5.941954660342347,83.5895407553881,3.037921581537063,124.98284,8.21,,,,,,,
2021/22,August,85.1849352602509,4.35,85.78216935336852,3.667075397028512,84.83943093498583,4.807638499771443,127.78,4.25,,,,,,,
,September,85.02704280392544,3.49,85.49091162200568,1.7441639918295664,84.83497642895655,4.620472326861801,128.15,3.11,,,,,,,
,October,85.66656823396971,4.24,86.70341929111534,3.4125582670688175,85.09127246220729,4.795921396235457,129.95624,3.83,,,,,,,
,November,87.47210112842829,6.04,88.59244877505976,5.368694298711716,86.7905379966885,6.49121607273328,133.64684,6.68,,,,,,,
,December,87.68021247740143,7.11,88.69950143628766,4.877877144113768,86.90980997740864,8.623597565446943,131.78209,7.2209597,,,,,,,
,January,87.2016046017853,5.65,87.42802189620755,3.9103668498440527,86.88607771339232,6.612230215827353,129.5,8.08,,,,,,,
,February,87.42222075025823,6.24,86.44170274028782,5.9271749811685766,87.87613467040596,6.449281720816714,130.79031,10.34162,,,,,,,
,March,88.35405508773829,7.14,88.40918679489366,7.593431790762324,88.19015477249857,6.836572983782958,134.3,13.13,,,,,,,
,April,88.87295156354082,7.28,89.27575588547549,7.484156659851109,88.57469019450974,7.136846272029416,137.24484,14.420198,,,,,,,
,May,90.39907428963916,7.87,90.84710514657382,7.114625965928425,90.10160760731263,8.371092664419251,140.93,16.06,,,,,,,
,June,91.3862277154856,8.56,92.12850786693599,7.405084964030024,90.96587987385503,9.327389356522147,140.37593,14.76836,,,,,,,
,July,91.93562475124209,8.08,93.42433528689087,6.704974623683853,91.12110516590896,9.010175606252972,140.91,12.74,,,,,,,
2022/23,August,92.22543075986756,8.26,91.53434384079583,6.70555959447934,92.74038160781843,9.31282846402786,143.85,12.58,,,,,,,
,September,92.37667370204223,8.64,92.19044548000068,7.8365451144288585,92.62554024606885,9.18319795094935,146.1,14,,,,,,,
,October,92.94568191135562,8.5,93.1646599905072,7.452117519953404,92.91666608811607,9.196470330590458,147.8,13.73,,,,,,,
