Annex 5,,,,,,,,,,,,,,,,,,,,,,,
National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,,,,,,,,,,
(2023/24 =100),,,,,,,,,,,,,,,,,,,,,,,
English Year and Month,Nepali Year and Month,Others,% Growth,Managers,% Growth,Professionals,% Growth,Technicians And Associate Professionals,% Growth,Clerical Support Workers,% Growth,Service And Sales Workers,% Growth,"Skilled Agricultural, Forestry & Fishery Workers",% Growth,Craft And Related Trades Workers,% Growth,Plant And Machine Operators & Assemblers,% Growth,Elementary Occupations,% Growth,Overall Index,% Growth
2004 October,2061 Asojh,16.350216672476638,-,-,-,18.59563294501629,-,23.346049211914952,-,17.015158248133744,-,-,-,-,-,16.450029891369454,-,-,-,13.195459970128988,-,14.77558300535857,-
2005 January,2061 Poush,16.350216672476638,-,-,-,18.777530192209966,-,23.397678614276597,-,17.1968378156681,-,-,-,-,-,16.332708649026042,-,-,-,13.257614076108252,-,14.83536375969576,-
2005 April,2061 Chaitra,16.350216672476638,-,-,-,18.834586210305467,-,23.51060943673481,-,17.227277924787256,-,-,-,-,-,16.414499973280815,-,-,-,13.340809702052546,-,14.892683281312106,-
2005 July,2062 Asadh,16.350216672476638,-,-,-,18.975188540612237,-,23.512725190614326,-,17.30377023723998,-,-,-,-,-,16.427404083637555,-,-,-,13.240319782784363,-,14.823975944536475,-
2005 October,2062 Asojh,16.350216672476638,0,-,-,18.59563294501629,0,23.372750160729314,0.11437030981985154,17.02457950618019,0.05536979385706083,-,-,-,-,16.718142807203023,1.6298627881170928,-,-,13.651408462215265,3.4553436797081947,15.101240351441684,2.204023665022285
2006 January,2062 Poush,16.350216672476638,0,-,-,18.777530192209966,0,23.599073547405453,0.8607474974289587,17.287107924475805,0.5249227199517986,-,-,-,-,16.878997873366636,3.3447558275838736,-,-,14.121886505876368,6.519064628119129,15.47182865569393,4.290187327440513
2006 April,2062 Chaitra,16.350216672476638,0,-,-,18.834586210305467,0,23.712976419091802,0.8607474974289601,17.317707820643705,0.5249227199517978,-,-,-,-,17.168762524916946,4.595099167589048,-,-,14.308881722209192,7.256471247076577,15.625666221154665,4.921765446810605
2006 July,2063 Asadh,16.350216672476638,0,-,-,18.975188540612237,0,23.715110384269884,0.8607474974289483,17.39460165862351,0.5249227199518014,-,-,-,-,17.247116818828204,4.98991034138571,-,-,14.492963573366294,9.460827314840788,15.743558084002176,6.203343441100379
2006 October,2063 Asojh,17.985238339724297,9.999999999999975,-,-,19.80118110662144,6.482963850543412,24.279835805328723,3.8809538388147664,18.163531663655263,6.690045748628429,-,-,-,-,17.686028770336517,5.789434713504657,-,-,14.927787889890006,9.349800287695864,16.30611905542349,7.978673777394582
2007 January,2063 Poush,17.985238339724297,9.999999999999975,-,-,19.994870686595814,6.482963850543418,24.333530261323794,3.112226895021857,18.357473002867398,6.191695470797201,-,-,-,-,18.204708680992127,7.854203297918115,-,-,15.794180019375993,11.841856346910546,16.967305984888778,9.665808499271895
