,Annex 6,,,,,,,,,,
,Balance of Payments Indicators*(Annual Series),,,,,,,,,,
,Fiscal Year,Nepali Year,Rs. in million,,,,As percentage of GDP,,,,
,,,Net exports of Goods and Services,Current Account,Balance of Payments*,Workers' Remittances,Net exports of Goods and Services,Current Account,Balance of Payments,Workers' Remittances,
,1974/75,2031/32,-644.1999999999998,-120.3,422.4,,-3.8875143322672128,-0.7259670508720053,2.549031440468288,,
,1975/76,2032/33,-528.5999999999999,60,358.2,,-3.038978958261469,0.3449465332873405,2.0593308037254223,,
,1976/77,2033/34,-363.2000000000003,254.7,310.8,,-2.1018518518518534,1.47395833333333,1.7986111111111112,,
,1977/78,2034/35,-879,-291.5,10.8,,-4.454692884654369,-1.4772957632272452,0.054733427934319887,,
,1978/79,2035/36,-830.2000000000003,39.4,583.4,,-3.7371145622327266,0.17735764123340086,2.6261534998874634,,
,1979/80,2036/37,-1529.8000000000002,-341.6,26.40000000000009,,-6.551325425035332,-1.4628923814825918,0.11305725664853793,,
,1980/81,2037/38,-1713.1999999999998,-295.7,194,,-6.273849196176803,-1.0828725235287655,0.710440546380049,,
,1981/82,2038/39,-2074,-392.3,501.5,,-6.692913385826772,-1.2659739253904738,1.6183684006712278,,
,1982/83,2039/40,-3562.0999999999995,-1671.4,-675,,-10.550931548236129,-4.950682740440153,-1.9993483605343445,,
,1983/84,2040/41,-3416.8,-1343.4,-126,,-8.674282812896674,-3.410510281797411,-0.3198781416603199,,
,1984/85,2041/42,-3942.7,-1849,-866,,-8.463090561744693,-3.968918367785004,-1.8588876725266705,,
,1985/86,2042/43,-4711.799999999999,-2470.9,563,,-8.45408547744644,-4.433379983493021,1.0101553809164963,,
,1986/87,2043/44,-5596.699999999998,-2904.4,376.5,,-8.763466115495424,-4.547789051734937,0.5895340097707629,,
,1987/88,2044/45,-7553.799999999999,-4575.1,2273,,-9.822120510753386,-5.948950667048085,2.9555561334616285,,
,1988/89,2045/46,-9096.2,-6334.8,75.9,,-10.18953735857511,-7.096224935588665,0.08502296404167134,,
,1989/90,2046/47,-10433.699999999999,-7643.6,2649.6,,-10.08905778602924,-7.3911193625744565,2.5620793687630536,,
,1990/91,2047/48,-13160.900000000001,-9499.7,4132.2,,-10.93370441139819,-7.8920827448699855,3.4329151782005485,,
,1991/92,2048/49,-14368.3,-10074.000000000004,3394.4,,-9.611738813408524,-6.739047542595681,2.2706991243385715,,
,1992/93,2049/50,-16909.100000000006,-9971.800000000001,7740.2,,-9.861028494115729,-5.815342267632411,4.513920477740065,,
,1993/94,2050/51,-14836.199999999997,-8027.200000000001,6283.3,,-7.44520052992894,-4.028262876871814,3.153127383676583,,
,1994/95,2051/52,-22494.899999999994,-11786.09999999999,-313.9,,-10.263442454659517,-5.377483745865171,-0.14321888901562677,,
,1995/96,2052/53,-33735.40000000001,-21542.200000000008,-1080.5,,-13.553088830233861,-8.654509808648005,-0.4340874120676702,,
,1996/97,2053/54,-31638.09999999999,-16507.99999999998,3202.1,,-11.278657317129683,-5.8849322491292675,1.1415157229789707,,
,1997/98,2054/55,-32486.100000000006,-15188.2,10965.9,,-10.798284831059185,-5.048513354052751,3.645033156608885,,
,1998/99,2055/56,-21801,235.09999999999127,9840,,-6.373890467670069,0.06873545474745094,2.8768901519138335,,
,1999/00,2056/57,-32333.999999999985,-8965.799999999997,14434.099999999999,,-8.520427523399945,-2.3626043511257264,3.803572181465553,,
,2000/01,2057/58,-47147.2,20148.499999999993,5221.4,47216.1,-10.678407950733716,4.563450270543282,1.1825991633429138,10.694013168176228,
,2001/02,2058/59,-49420.100000000006,18161.10000000001,-3342.9000000000005,47536.3,-10.756524748445402,3.952851605095738,-0.7275984180845069,10.346506530733954,
,2002/03,2059/60,-63242.600000000006,11614.7,4363.5,54203.3,-12.848154626587924,2.35960351948577,0.8864740335330363,11.011760738352521,
,2003/04,2060/61,-68606.69999999998,14598,16005.2,58587.6,-12.78189619356533,2.7197069766315356,2.9818779354968523,10.915269520762964,
,2004/05,2061/62,-87796.30000000002,11544.6,5742.1,65541.2,-14.89557389398248,1.9586638887569305,0.9742081939288648,11.119760032031923,
,2005/06,2062/63,-116876.69999999998,14224.5,25597.8,97688.5,-17.868759975782925,2.174720678078045,3.9135340414992568,14.935161233113789,
,2006/07,2063/64,-137326,-902.2000000000116,5904.299999999999,100144.8,-18.867946133860194,-0.1239580341812103,0.8112230339349484,13.759424231290524,
,2007/08,2064/65,-167083.69999999995,23679.600000000006,29674.699999999997,142682.7,-20.48452400631557,2.9031278015746027,3.6381293000466997,17.49295229538204,
,2008/09,2065/66,-219798.99999999997,41437.29999999999,44758.399999999994,209698.5,-22.240750037615424,4.192906389627257,4.528957759059897,21.21871310498637,
,2009/10,2066/67,-319900.3,-28135.199999999983,-3325.7,231725.3,-26.81986816351991,-2.35880477371939,-0.2788207311822407,19.427434097911444,
,2010/11**,2067/68,-328344.5,-12936.399999999994,4089.699999999997,253551.59999999998,-21.011614253855036,-0.8278337131688521,0.26171048643723555,16.225423031747905,
,2011/12,2068/69,-359084.3,75979.20000000001,131626.6,359554.4,-20.421323484820704,4.320979283465998,7.4856778138367535,20.448058332794325,
,2012/13,2069/70,-453718.70000000007,57060.73999999999,68939.62,434581.7,-23.276042992207795,2.9272503809236663,3.536644090240204,22.294303348807862,
,2013/14,2070/71,-574530.5,89721.50000000006,127127.13000000002,543294.1000000001,-25.734557374962765,4.0188346650312265,5.69431983314959,24.33540636733604,
,2014/15,2071/72,-635879.2000000001,108319.79999999999,145035.95,617278.8,-26.23655320296715,4.469305169338391,5.984223762182948,25.46909550943594,
,2015/16,2072/73,-671772.380389569,140418.61221132224,188912.3,665064.3482211164,-25.756321933115153,5.383768501197863,7.2430575563460335,25.49913029929394,
,2016/17,2073/74,-892926.9,-10130.6,82106.1,695452.4,-29.018032085421805,-0.3292207635861056,2.6682558720191443,22.600573526325164,
,2017/18,2074/75,-1134107.9443190622,-246822.22110370582,960.190000000031,755058.5839359085,-32.81610490221416,-7.141951469884053,0.027783683135186036,21.848080530495917,
,2018/19,2075/76,-1299546.5055090443,-266970.39985171054,-67400.493227382,879367.1494966634,-33.67633955527517,-6.918248634043375,-1.746610749593173,22.787846833233594,
,2019/20,2076/77,-1061937.9808374112,-33763.12008589145,282409.5390680887,875026.9567769951,-27.308277414964728,-0.8682358728456261,7.262305498690375,22.501764992335335,
,2020/21,2077/78,-1428309.46262121,-333671.93453037995,1226.714971320098,961054.5772737779,-32.81546182209183,-7.666124824651574,0.02818382105658492,22.08026384674176,
,2021/22,2078/79,-1770092.8833312273,-623376.5267471734,-252362.750996445,1007306.8741835592,-35.56861974811557,-12.5262594119035,-5.071030347225718,20.241036792414203,
,2022/23R,2079/80R,-1479048.4205060815,-45918.16237007268,285823.24604839983,1240686.4144137052,-27.558216113646395,-0.8555653923101332,5.325571952681953,23.11696078616471,
,2023/24R,2080/81R,-1443604.812925795,221706.88654475892,502491.0804746291,1445315.0904247544,-25.286043952006622,3.8833966383579015,8.80158574743259,25.316001009243887,
,2024/25P,2081/82P,-1543566.630013002,409197.7060588002,594539.421095588,1723270.0629754942,-25.27445272118227,6.700227819327935,9.735024194733297,28.216927527214064,
,*(-Deficits),,,,,,,,,,
,"** Since 2010/11, GDP based on data published by CBS following SNA 2008.",,,,,,,,,,
