,Annex 8,,,,,,,,,,,,,,
,Direction of Foreign Trade (Annual Series),,,,,,,,,,,,,,
,Fiscal Year,Nepali Year,Rs. in million,,,,Ànnual Percent Change,,,,As percent of GDP,,,,
,,,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,Exports,Imports,Trade Balance,Total Trade,
,1974/75,2031/32,889.6,1814.6,-924.9999999999999,2704.2,-,-,-,,5.36841470038018,10.950455615231428,-5.5820409148512455,16.31887031561161,
,1975/76,2032/33,1185.8,1981.7,-795.9000000000001,3167.5,33.29586330935251,9.208641022814959,13.956756756756736,17.13260853487168,6.817293319535472,11.393009083592045,-4.5757157640565715,18.210302403127514,
,1976/77,2033/34,1164.7,2008,-843.3,3172.7,-1.7793894417270906,1.3271433617600934,-5.95552205050884,0.16416732438830195,6.740162037037037,11.62037037037037,-4.880208333333333,18.36053240740741,
,1977/78,2034/35,1046.2,2469.6,-1423.3999999999999,3515.8,-10.174293809564688,22.988047808764932,-68.7892802087039,10.814133072777139,5.302047435637544,12.515710520981147,-7.213663085343604,17.817757956618692,
,1978/79,2035/36,1296.8,2884.7,-1587.8999999999999,4181.5,23.953354999044137,16.808390022675738,-11.556835745398343,18.93452414813129,5.83749718658564,12.98537024532973,-7.14787305874409,18.822867431915373,
,1979/80,2036/37,1150.5,3480.1,-2329.6,4630.6,-11.28161628624305,20.639927895448395,-46.70949052207318,10.740165012555309,4.926983855081153,14.90343025994604,-9.976446404864888,19.830414115027196,
,1980/81,2037/38,1608.7,4428.2,-2819.5,6036.9,39.82616253802695,27.243470015229448,-21.02936126373627,30.36971450783915,5.8911634379463145,16.21635478082543,-10.325191342879116,22.107518218771745,
,1981/82,2038/39,1491.5,4930.3,-3438.8,6421.8,-7.285385715173746,11.338692922632234,-21.964887391381456,6.375788898275616,4.813153478765974,15.91035239447528,-11.097198915709306,20.723505873241255,
,1982/83,2039/40,1132,6314,-5182,7446,-24.103251759973176,28.065229296391692,-50.692101896010236,15.948799402036812,3.3529812505553744,18.702052664316817,-15.349071413761441,22.05503391487219,
,1983/84,2040/41,1703.9,6514.3,-4810.4,8218.2,50.521201413427576,3.1723154893886516,7.17097645696643,10.37066881547139,4.325717187103326,16.53795379537954,-12.21223660827621,20.863670982482866,
,1984/85,2041/42,2740.6,7742.1,-5001.5,10482.7,60.84277246317271,18.847765684724365,-3.9726426076833605,27.554695675452038,5.882756992293987,16.618584583682143,-10.735827591388155,22.501341575976134,
,1985/86,2042/43,3078,9341.2,-6263.200000000001,12419.2,12.311172735897259,20.654602756358088,-25.226432070378902,18.47329409407881,5.522661212186457,16.760325833423046,-11.23766462123659,22.282987045609502,
,1986/87,2043/44,2991.4,10905.2,-7913.800000000001,13896.6,-2.8135152696556247,16.74303087397763,-26.35394047771108,11.896096366915728,4.684016034072404,17.075660779155708,-12.391644745083303,21.75967681322811,
,1987/88,2044/45,4114.5,13869.6,-9755.1,17984.1,37.544293641773066,27.18336206580348,-23.266951401349527,29.413669530676543,5.350037708371259,18.034483655371492,-12.684445947000233,23.38452136374275,
,1988/89,2045/46,4195.3,16263.7,-12068.400000000001,20459,1.9637866083363775,17.261492761146684,-23.713749730909996,13.761600524908118,4.699563123109667,18.21855046488182,-13.518987341772155,22.91811358799149,
,1989/90,2046/47,5156.2,18324.9,-13168.7,23481.100000000002,22.904202321645656,12.673622853348249,-9.117198634450292,14.771494207928072,4.98588226193239,17.7195985147366,-12.733716252804209,22.705480776668992,
,1990/91,2047/48,7387.5,23226.5,-15839,30614,43.2741165974943,26.74830421994116,-20.27762801187664,30.377196979698567,6.137326576389466,19.29592091052588,-13.158594334136412,25.433247486915345,
,1991/92,2048/49,13706.5,31940,-18233.5,45646.5,85.53637901861254,37.51533808365443,-15.117747332533622,49.103351407852614,9.169024731247532,21.366406443369655,-12.197381712122123,30.535431174617187,
,1992/93,2049/50,17266.5,39205.6,-21939.1,56472.1,25.973078466421057,22.74765184721352,-20.323031782159205,23.716166628328565,10.069456594002588,22.86387440661558,-12.794417812612991,32.93333100061817,
,1993/94,2050/51,19293.4,51570.8,-32277.4,70864.20000000001,11.73891639880695,31.539371926459495,-47.122716975628,25.48532815319426,9.681942269862299,25.87960175037135,-16.197659480509053,35.561544020233654,
