,Annexes,,,,,,,,,,,,,,,
,Time Series Data of Some Macroeconomic Variables,,,,,,,,,,,,,,,
,Annex,Heads,,,,,,,,,,,,,,
,1,National Consumer Price Index (Annual Series),,,,,,,,,,,,,,
,2,Price Statistics,,,,,,,,,,,,,,
,3,National Salary and Wage Index (Quarterly Series-Provincial),,,,,,,,,,,,,,
,4,National Salary and Wage Index (Quarterly Series-NSIC),,,,,,,,,,,,,,
,5,National Salary and Wage Index (Quarterly Series-NSCO),,,,,,,,,,,,,,
,6,Balance of Payments Indicators*(Annual Series),,,,,,,,,,,,,,
,7,Balance of Payments Indicators (Monthly Series),,,,,,,,,,,,,,
,8,Direction of Foreign Trade (Annual Series),,,,,,,,,,,,,,
,9,Direction of Foreign Trade (Monthly Series),,,,,,,,,,,,,,
,10,Foreign Exchange Reserves,,,,,,,,,,,,,,
,11,Migrant Workers Monthly,,,,,,,,,,,,,,
,12,Government Budgetary Operations (Annual Series),,,,,,,,,,,,,,
,13,Government Budgetary Operations( Growth Rate in Percent),,,,,,,,,,,,,,
,14,Government Budgetary Operations (As percentage of Nominal GDP at Producers' Prices),,,,,,,,,,,,,,
,15,Outstanding Debt of Government of Nepal,,,,,,,,,,,,,,
,16,Government Budgetary Operations (Monthly Series),,,,,,,,,,,,,,
,17,Government Budgetary Opeartions (Monthly Series) Based on FCGO,,,,,,,,,,,,,,
,18,Monetary Statistics (A),,,,,,,,,,,,,,
,19,Monetary Statistics (B),,,,,,,,,,,,,,
,20,Interest Rates,,,,,,,,,,,,,,
,21,Monetary Indicators (Annual Series),,,,,,,,,,,,,,
,22,Monetary Indicators (Annual Series) As percentage of GDP,,,,,,,,,,,,,,
