,Nepal Rastra Bank,,,,,,,,,
,"Economic Research Department, Baluwatar, Kathmandu",,,,,,,,,
,Current Macroeconomic and Financial Situation,,,,,,,,,
,"(Based on Ten-month Data Ending Mid-May, 2025/26)",,,,,,,,,
,Table No.,Headings,,,,,,,,
,1,Selected Macroeconomic Indicators,,,,,,,,
,,Prices,,,,,,,,
,2(A),National Consumer Price Index  (A),,,,,,,,
,2(B),National Consumer Price Index (B),,,,,,,,
,3,Provincial Consumer Price Index,,,,,,,,
,4,Cosumer Price Index by Ecological Belts,,,,,,,,
,5,National Consumer Price Index (Monthly Series),,,,,,,,
,6,Consumer Price Index-Nepal and India,,,,,,,,
,7,Wholesale Price Index,,,,,,,,
,8,Wholesale Price Index-(Y-O-Y),,,,,,,,
,9,Salary and Wage  Index-Chait Province,,,,,,,,
,10,Salary and Wage Index-Chait NSIC,,,,,,,,
,11,Salary and Wage Index Chait-NSCO,,,,,,,,
,12,Salary and Wage Index-(Y-O-Y),,,,,,,,
,,External Sector,,,,,,,,
,13,Direction of Foreign Trade,,,,,,,,
,14,Exports of Major Commodities,,,,,,,,
,15,Exports of Major Commodities to India,,,,,,,,
,16,Exports of Major Commodities to China,,,,,,,,
,17,Exports of Major Commodities to Other Countries,,,,,,,,
,18,Imports of Major Commodities,,,,,,,,
,19,Imports of Major Commodities from India,,,,,,,,
,20,Imports of Major Commodities from China,,,,,,,,
,21,Imports of Major Commodities from Other Countries,,,,,,,,
,22 (A),Composition of Exports (Based on Broad Economic Classification),,,,,,,,
,22 (B),Composition of Imports (Based on Broad Economic Classification),,,,,,,,
,23,Custom-wise Foreign Trade,,,,,,,,
,24,Imports from India against Payment in Convertible Currency,,,,,,,,
,25,Export and Import Unit Value Price Index and Terms of Trade,,,,,,,,
,26,Number of Nepalese going for Foreign Employment,,,,,,,,
,27,Monthly Tourist Arrival,,,,,,,,
,28(A),Summary of Balance of Payments as per BPM6,,,,,,,,
,28(B),Summary of Balance of Payments in US Dollar as per BPM6 (B),,,,,,,,
,29(A),Summary of Balance of Payments as per BPM6,,,,,,,,
,29(B),Summary of Balance of Payments as per BPM6,,,,,,,,
,30,Gross Foreign Assets of the Banking Sector,,,,,,,,
,31,Gross Foreign Assets of the Banking Sector in US Dollar,,,,,,,,
,32,Exchange Rate of US Dollar,,,,,,,,
,33,Price of Oil and Gold in the International Market,,,,,,,,
,,Government Finance,,,,,,,,
,34,Government Budgetary Operations,,,,,,,,
,35,Government Revenue Collection,,,,,,,,
,36,Outstanding Domestic Government Debt,,,,,,,,
,,Monetary and Credit Aggregates,,,,,,,,
,37,Monetary Survey,,,,,,,,
,38,Monetary Survey (y-o-y),,,,,,,,
,39,Central Bank Survey,,,,,,,,
,40,Central Bank Survey (y-o-y),,,,,,,,
,41,Other Depository Corporation Survey,,,,,,,,
,42,Other Depository Corporation Survey (y-o-y),,,,,,,,
,43,Condensed Assets and Liabilities of Commercial Banks,,,,,,,,
,44,Condensed Assets and Liabilities of Development Banks,,,,,,,,
,45,Condensed Assets and Liabilities of Finance Companies,,,,,,,,
,46,Deposit Details of Banks and Financial Institutions,,,,,,,,
,47,Sectorwise Outstanding Credit  of  Banks and Financial Institutions,,,,,,,,
,48,Securitywise Outstanding Credit of Banks and Financial Institutions,,,,,,,,
,49,Productwise Outstanding Credit of Banks and Financial Institutions,,,,,,,,
,50,Loan of Commercial Banks to Government Enterprises,,,,,,,,
,51,Interest Subsidized Concessional Loan,,,,,,,,
,,Monetary Operations,,,,,,,,
,52,Summary of Monetary Operations,,,,,,,,
,53,Monetary Operations,,,,,,,,
,54,Purchase/Sale of Foreign Currency,,,,,,,,
,,Inter-bank Transaction and Interest Rates,,,,,,,,
,55,Structure of Interest Rates,,,,,,,,
,56,Inter-bank Transaction Amount & Weighted Average Interest Rate,,,,,,,,
,57,Weighted Average Treasury Bills Rate,,,,,,,,
,,Stock Market,,,,,,,,
,58,Stock Market Indicators,,,,,,,,
,59,Public Issue Approved by SEBON,,,,,,,,
,60,Listed Companies and Market Capitalization,,,,,,,,
,61,Structure of Share Price Indices,,,,,,,,
,62,Securities Market Turnover,,,,,,,,
,63,Securities Listed  in Nepal Stock Exchange Limited,,,,,,,,
,64,Electronic Payment Transactions,,,,,,,,
,65,Monthly Situation of Major Economic Indicators,,,,,,,,
,,Annexes: Time Series Data of Some Macroeconomic Variables,,,,,,,,
